userid,key,value,boardSize,condition,boardType,time
9ad23291,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,2,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558197090511
9ad23291,clickPos_practice,3_4_2,6,full,easy,1558197090511
9ad23291,clickPos_practice,3_0_1,6,full,easy,1558197091377
9ad23291,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[1,1,1,1,2,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558197091377
9ad23291,reset_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558197094448
9ad23291,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558197095339
9ad23291,clickPos_practice,3_1_1,6,full,easy,1558197095339
9ad23291,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[2,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558197096130
9ad23291,clickPos_practice,3_0_2,6,full,easy,1558197096131
9ad23291,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[2,1,1,1,1,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558197096781
9ad23291,clickPos_practice,3_4_1,6,full,easy,1558197096782
9ad23291,timeQuiz,144374,6,full,easy,1558197106514
9ad23291,quiz1,2,6,full,easy,1558197106515
9ad23291,quiz2,2,6,full,easy,1558197106516
9ad23291,quiz3,3,6,full,easy,1558197106517
9ad23291,quiz4,c1,6,full,easy,1558197106517
9ad23291,quiz6,b3,6,full,easy,1558197106518
9ad23291,quiz5,b4,6,full,easy,1558197106518
9ad23291,quiz6v,0,6,full,easy,1558197106519
9ad23291,passedQuiz,TRUE,6,full,easy,1558197106519
9ad23291,board,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]],nextPlayer:1,streak:4,turns:4,winPath:[[[3,5],[1,5],[2,5],[4,5]],[[1,5],[3,5],[2,5],[4,5]]],losePath:[[[0,2],[1,4],[0,5]],[[1,4],[0,2],[0,5]]],winMove:[f3,F3,3F,3F,f5,F5,5F,5F]}",6,full,easy,1558197106520
