,userid,board_size,condition,board_type,solved_correct,validated_correct,time_solution,time_validation,actions_solution,actions_validation,time,AssignmentId,WorkerId,bonus
96,c4b1b32d,10,full,hard,FALSE,FALSE,33064,32212,6,0,1.5621E+12,31LVTDXBL8H7HDBH4A3806L3OF1LRH,A17K1CHOI773VZ,0
97,79c1b235,10,pruned,easy,TRUE,FALSE,147078,48732,12,3,1.5621E+12,3H7Z272LX8EM50V2RIZJVBLONXDLPP,A369RF97DE3FAI,0
98,dba1b189,10,full,medium,FALSE,FALSE,564726,87743,131,0,1.5621E+12,3OE22WJIGJVAO2JB0969M37H5KYQUL,AVK1TZJ6OT9HY,0
99,59e1b4a9,10,full,easy,FALSE,FALSE,588042,10789,82,0,1.5621E+12,3IO1LGZLKA4JGNTEIXR6K6818SO68I,A322TINLQJUMOG,0
100,b3b1b79a,10,pruned,hard,FALSE,FALSE,73662,50310,10,0,1.5621E+12,33F859I567KIFAB2HS2K8ZNSPCSBHQ,A3CF3E5AG7LA05,0
101,e0b1b70d,10,full,medium,FALSE,FALSE,119554,117873,8,0,1.5621E+12,3B3WTRP3DC9VCRTN0NLHUPM0CT492T,A2N8FYNKM133KF,0
102,92e1b770,10,pruned,hard,TRUE,FALSE,93094,100426,2,7,1.5621E+12,30MVJZJNHNKVINRV78R9T68HE4QJ9Q,ATGF05HW5Q63J,0
103,5fa1b8b9,10,full,easy,FALSE,FALSE,97262,14711,8,0,1.5621E+12,34V1S5K3GT8JUSCONPXKK23CSYJ96N,A1GKU0Q21BSIDX,0
104,33c1b7cd,10,pruned,medium,TRUE,TRUE,481557,18851,54,3,1.5621E+12,3EICBYG6453XGLYYJS10VW9PKPVCJ2,A13E5NKCFSG8GO,1
105,68a1b7d8,10,full,hard,FALSE,FALSE,602698,16744,47,0,1.5621E+12,3NXNZ5RS1B42YSQT6Z2CQG38N9Q979,A38RNGF4CCP1XI,0
106,3fa1bb85,10,pruned,hard,TRUE,TRUE,180851,43716,16,4,1.5621E+12,3PJUZCGDJ7N6Y6VCG4UI4GZ3YTW98W,A3D9DWZK2IS3RE,1
107,98e1bc02,10,pruned,medium,FALSE,FALSE,69580,16126,14,0,1.5621E+12,3RRCEFRB7NJO3YN72LI1EAEOK73B41,AWTGJ45ZWUCHH,0
108,63a1bb31,10,pruned,hard,TRUE,FALSE,124545,116436,1,0,1.5621E+12,3PXX5PX6LY535N3OBMSSRD0OCIGBAV,A3E4TBBYCJYZQD,0
109,68e1bb60,10,pruned,easy,FALSE,FALSE,99422,29377,9,0,1.5621E+12,3VELCLL3GLQXOG24K5LVZ2Y6NM11FE,A22AHPN2HZHFSV,0
110,8eb1ba3b,10,pruned,easy,FALSE,FALSE,287380,38563,42,0,1.5621E+12,3P529IW9KZSAEN68DF3EJH7KLR2LFY,ACON9O9NMFOHE,0
111,f0c1bd6a,6,pruned,easy,TRUE,TRUE,49434,25345,2,4,1.5621E+12,3IXQG4FA2U5P04TJJGESVIP46ZHB9X,A1WL3NZ50YEOWP,1
112,21f1bc74,6,pruned,easy,TRUE,TRUE,283103,27388,27,3,1.5621E+12,3QRYMNZ7FZOALSRUKCOIDDQAHWETNM,A3OUPE9I9IGVB9,1
113,20e1bd34,10,full,hard,TRUE,TRUE,127103,84595,20,18,1.5621E+12,37W3JXSD67FWP8Z2MJ24HDVGPA4WY9,AX5YKKRJ8IMN4,1
114,ecc1bf78,10,full,medium,TRUE,FALSE,80661,103169,16,4,1.5621E+12,3DI28L7YXBL5I228PU1PHKD6BKF1EN,AN7VKUM6J7KMS,0
115,a2d1c30b,10,full,easy,FALSE,FALSE,239738,57982,19,0,1.5621E+12,3180JW2OT5JCH0PJ4IESHQ3FS87J5Z,A13P6LC1SFXYGS,0
116,6ad1c45d,10,full,easy,FALSE,FALSE,223045,29064,28,0,1.5621E+12,3L4D84MIL0ZOXT9E5KF16N65XHYJHG,A1S9BK4MRNVPL2,0
117,fda1c679,10,full,medium,FALSE,FALSE,104585,22174,27,0,1.5621E+12,37TRT2X24RYE6G6S5S55KC3724TJB0,A7QCRGQN5N9H0,0
118,48f1c6a9,10,pruned,easy,TRUE,TRUE,169080,26749,11,3,1.5621E+12,30MVJZJNHNKVINRV78R9T68HE5G9J8,AD1ILDUXZHASF,1
119,f4f1c2a3,10,full,medium,FALSE,FALSE,587525,119891,15,0,1.5621E+12,3OWEPKL08AJNNUUN79LH8HYSSZW7NX,A82VN0BRUIMNO,0
120,faa1cbda,10,full,hard,TRUE,FALSE,23947,34640,1,4,1.5621E+12,30JNVC0ORAR5JGDR0AZA3OIRBDFQH5,AYPOAY43REHC8,0
121,c7b1e912,10,full,medium,FALSE,FALSE,54746,36055,19,0,1.56211E+12,3ATTHHXXWBVPO8PNS6CNX8FZ8S4IX8,AN6L87Z4LP6R5,0
122,7fa28d81,10,full,hard,TRUE,TRUE,32287,45645,1,5,1.56215E+12,3TMSXRD2X77ZZ2OZAUVV3QK6ISF1W6,A1IYHQPPOACU83,1
123,fec28d64,10,full,hard,FALSE,FALSE,137671,14328,14,0,1.56215E+12,3VJ40NV2QJUS3DR6LROVS2QF796OTP,AMYURTQIMAC8T,0
124,bda28d31,10,pruned,medium,TRUE,TRUE,193270,49430,47,3,1.56215E+12,34HJIJKLP633CCLD7291FM8VN3N4VC,A9JPMRRBFO4NL,1
125,e7c28d87,6,full,easy,FALSE,FALSE,383246,23360,36,0,1.56215E+12,3E337GFOLAF6GN5O0CPBEUBLR5TNG0,A150XGQ7KWLBWN,0
126,54c28d9c,10,full,medium,FALSE,FALSE,197500,75447,3,0,1.56215E+12,3L2IS5HSFBPPL56JKHESI9CC0D8UN7,A2HOUSKURBF8UA,0
127,edd28ea2,10,full,easy,FALSE,FALSE,86482,25695,4,0,1.56215E+12,39GAF6DQWS7MKDOUKKQZHO1SBJD1VW,A2P76QVLSGJR45,0
128,8ca28d2c,10,full,hard,TRUE,TRUE,276859,58594,28,5,1.56215E+12,32RIADZISTBNKK49D74W4ZOOOZT4S7,AYGFIU5LDCXW4,1
129,bdb28da4,6,full,easy,FALSE,FALSE,530803,71070,83,0,1.56215E+12,3018Q3ZVOJXQLUKD7JEIRS5SU75RAG,A3K415WNTD33IK,0
130,fee29090,10,full,easy,FALSE,FALSE,344068,45672,55,0,1.56215E+12,34HJIJKLP633CCLD7291FM8VN3MV42,A2ZDK0Y5466BXN,0
131,bcf290e5,10,pruned,medium,FALSE,FALSE,298786,22863,30,0,1.56215E+12,382M9COHEIMLRZT6RIB9SMI3ML7UEI,A1OSRAPSRT934Z,0
132,21d292ce,10,full,medium,FALSE,FALSE,190133,55539,64,0,1.56215E+12,3DYGAII7PMFXWXBFJN7FCXKIX74QPV,A2KVKODD1QM7LA,0
133,d6a29462,10,full,easy,FALSE,FALSE,137596,35806,12,0,1.56215E+12,3IKZ72A5B5N02N9TPSJTW9B9QQTNF1,A1YFVXP4A1CXSF,0
134,f5f2942a,6,pruned,easy,TRUE,FALSE,119178,23131,6,2,1.56215E+12,3X31TUMD7YTJO8C06GOTUF3QKLDL1Z,A21C7LCEX3EYQH,0
135,62e2950a,6,pruned,easy,TRUE,TRUE,165680,69205,26,5,1.56215E+12,3LRKMWOKB6OAIIB04LFG7DOTR002ZH,A1X1OL9L162X8Q,1
136,abd29616,10,pruned,medium,TRUE,TRUE,112919,20362,10,3,1.56216E+12,3QBD8R3Z22Q8MSCG6QNNKUENRAQ4OA,A2YHF0DPCO832L,1
137,cfc29495,10,full,hard,FALSE,FALSE,587408,99444,46,0,1.56216E+12,3OVR4I9USQQB74PWL3FR9Z9N6B84QI,A122LRCSBAD6DC,0
138,bae297ee,10,full,easy,FALSE,FALSE,238720,37815,10,0,1.56216E+12,3YWRV122CT64IYJFEFP90CMHBI9U8J,A27NBGO9FXJS8Q,0
139,65b29750,6,full,easy,TRUE,TRUE,303789,25770,61,4,1.56216E+12,34Z02EIMITK70WZNJ6MK21UX96U0TF,A3P7Y9YBJ875WK,1
140,f4a298dc,10,pruned,medium,FALSE,FALSE,508819,30834,31,0,1.56216E+12,3D3VGR7TA1MQ19LSY4Z84KRMOXIR3P,A5EU1AQJNC7F2,0
141,f0f29bcd,10,pruned,medium,FALSE,FALSE,212705,49576,42,0,1.56216E+12,3Z7ISHFUH12L4XDPK2OHH41WD0OZ8D,A1SISA8WAJTX2A,0
142,86f29ab1,10,full,hard,TRUE,TRUE,278823,112954,17,5,1.56216E+12,3A4NIXBJ776GKXYPZ27RE7RTIW7ML7,A2CLGYPCKVH59J,1
143,e0d29b7b,10,full,hard,FALSE,FALSE,435943,67701,44,0,1.56216E+12,3E1QT0TDFQGZ97OFKY0VH9Y6HNTI86,A3DQL1IS7JPEL8,0
144,c1f29bae,6,pruned,easy,TRUE,TRUE,409195,29711,44,3,1.56216E+12,35K3O9HUACKW8HWGWTGA6MH0CYZFEB,A184EIWAV7P9EH,1
145,6df29cec,10,pruned,easy,TRUE,TRUE,268686,46394,22,3,1.56216E+12,39DD6S19JQI2DYNGX5AH9EXIO3MZEC,ABNWTOY9KL2KF,1
146,40a29d8c,10,pruned,easy,TRUE,TRUE,243128,26922,36,3,1.56216E+12,3YW4XOSQKRSM7YZUFUGUL2Z9XC3U1Z,A1QDDGYC5UB9YA,1
147,83e29fb7,10,pruned,easy,TRUE,TRUE,39682,20362,8,3,1.56216E+12,3IHR8NYAM88Q7SOHLQ029UJD1FSP4I,A2VA0NCPWJ8XZG,1
148,78f29cf9,10,pruned,hard,TRUE,TRUE,533661,43987,60,4,1.56216E+12,3GD6L00D3T43UQUL6SP8USIFKQ8M17,AY2U544TCVPMQ,1
