,Unnamed: 0,userid,board_size,condition,board_type,solved_correct,validated_correct,time_solution,time_validation,actions_solution,actions_validation,time,AssignmentId,WorkerId,bonus,board_name
45,45,e0e580d6,10,pruned,hard,FALSE,FALSE,158490,102731,14,0,1.55448E+12,3M1CVSFP61CQ9T5DU4PIM2UMHM2QAV,A1GFS4DE38SYBL,0,10_pruned_hard
46,46,9be580e5,10,pruned,hard,TRUE,TRUE,230651,50781,19,4,1.55448E+12,3F6HPJW4JE76ON6VTYV989TATZRW2Y,AIK9IRPT4M848,0,10_pruned_hard
47,47,b7c58103,6,pruned,easy,TRUE,TRUE,81269,39175,6,4,1.55448E+12,3TXMY6UCAFVE282BEIL9SXKAHPNQCX,A15LHHN76OW2UM,0,6_pruned_easy
48,48,eef58225,10,full,medium,FALSE,FALSE,88365,32652,8,0,1.55448E+12,3KOPY89HM9993L2FQZQZ2T4UXHJ3JM,A34UER5ZQ5APMB,0,10_full_medium
49,49,7ab580f1,10,full,medium,FALSE,FALSE,321811,33628,19,0,1.55448E+12,37U1UTWH9WTC26RYALU4V1YWNK58RB,A19ZWBQT8A3LIR,0,10_full_medium
50,50,32a581e0,10,pruned,medium,TRUE,TRUE,166012,28443,31,6,1.55448E+12,3OXV7EAXLFXXFQN86GWATPZPBBZ63J,AZXRWSMDC8FJN,0,10_pruned_medium
51,51,28a580c4,10,full,medium,TRUE,FALSE,404950,45146,74,4,1.55448E+12,386CSBG1O0TPMRTA4R866XS0L3CQ65,A2OFN0A5CPLH57,0,10_full_medium
52,52,d3c580d5,10,full,easy,TRUE,TRUE,488504,34832,45,4,1.55448E+12,3RWE2M8QWIH95JU3MA08T2N43P40NS,AECIP6RO3TXXW,0,10_full_easy
53,53,22f580c9,6,full,easy,FALSE,FALSE,600542,86416,42,0,1.55448E+12,3FK0YFF9P0N26P4SRYAOOC77JOIVVV,A20OTKDR12JSD7,0,6_full_easy
54,54,f4f58309,10,pruned,medium,TRUE,TRUE,64552,19381,2,3,1.55448E+12,3NG53N1RLWQRQTBJXTQFQ6YHM2H8PJ,A23Q978GYHTPD3,0,10_pruned_medium
