userid,board_size,condition,board_type,solved_correct,validated_correct,timeSolution,timeValidation,actionsSolution,actionsValidation,timestamp
94a1a7e0,10,pruned,hard,TRUE,TRUE,89641,21139,18,4,1.56209E+12
38a1a872,10,full,medium,FALSE,FALSE,70328,14256,26,0,1.56209E+12
a2e1a84e,10,pruned,medium,TRUE,TRUE,206519,28020,21,3,1.56209E+12
16c1a872,10,pruned,easy,TRUE,TRUE,146326,46981,8,6,1.56209E+12
2dc1a9c9,10,pruned,hard,FALSE,FALSE,34985,22201,3,0,1.56209E+12
19a1a95d,10,pruned,hard,TRUE,TRUE,173740,82461,22,8,1.56209E+12
58e1a94c,10,pruned,easy,TRUE,TRUE,109762,34524,12,3,1.56209E+12
95a1aa19,10,full,hard,FALSE,FALSE,124633,39565,2,0,1.56209E+12
1fd1a960,6,pruned,easy,FALSE,FALSE,222577,107151,37,0,1.56209E+12
2ce1ab22,10,pruned,easy,TRUE,TRUE,56287,22836,16,3,1.56209E+12
38c1ac46,10,pruned,easy,TRUE,TRUE,193182,21922,15,3,1.5621E+12
f9d1ac6a,10,pruned,medium,FALSE,FALSE,278848,118374,29,0,1.5621E+12
55e1abb3,10,full,easy,TRUE,TRUE,495543,23333,79,4,1.5621E+12
32a1ae42,10,full,medium,FALSE,FALSE,58362,16016,4,0,1.5621E+12
36c1af0c,10,full,medium,FALSE,FALSE,145992,50838,20,0,1.5621E+12
f6c1aeee,10,full,medium,TRUE,FALSE,149969,41775,25,4,1.5621E+12
e9e1b017,6,pruned,easy,TRUE,TRUE,78933,45471,25,6,1.5621E+12
72c1b0e6,10,full,hard,TRUE,TRUE,394345,50178,74,5,1.5621E+12
22c1b18a,10,pruned,hard,TRUE,TRUE,183950,60263,10,4,1.5621E+12
c4b1b32d,10,full,hard,FALSE,FALSE,33064,32212,6,0,1.5621E+12
79c1b235,10,pruned,easy,TRUE,FALSE,147078,48732,12,3,1.5621E+12
dba1b189,10,full,medium,FALSE,FALSE,564726,87743,131,0,1.5621E+12
