,userid,board_size,condition,board_type,solved_correct,validated_correct,timeSolution,timeValidation,actionsSolution,actionsValidation,timestamp,AssignmentId,WorkerId,bonus
93,77b6ced8,10,pruned,medium,FALSE,FALSE,100728,45164,9,0,1.56E+12,3H8DHMCCWAI2WXAU19WNGHRKK3PKD5,A2J6S7QR4CGXTW,0
94,52e6cdec,10,full,medium,FALSE,FALSE,119114,86986,4,0,1.56E+12,3E47SOBEYR31LAES1AG0JVUP7ZOCIM,A1SMYB7YESWB29,0
95,25f6ce98,10,full,hard,FALSE,FALSE,173684,50041,20,0,1.56E+12,3QY7M81QH8TMFO9KAWT1GPHOYSMK7C,A15E4I3BZKHNUV,0
96,84a6ce10,10,full,medium,FALSE,FALSE,295351,85642,34,0,1.56E+12,3C44YUNSI2W37O7AE11VCYDJEDVPDB,A1UZN21EAN1HZ4,0
97,63e6cf13,10,pruned,medium,TRUE,FALSE,151502,78218,26,3,1.56E+12,3Z4GS9HPNWHYK920R24SCKC2S8M77T,A3PBA2ZHVZFGA3,0
98,86c6cdf8,10,pruned,medium,TRUE,FALSE,120607,53981,2,3,1.56E+12,3JZQSN0I3RHUSVS72O6Y6P2CPZOFG8,AWB9R056A02YM,0
99,4de6cf95,10,full,hard,FALSE,FALSE,93475,76552,10,0,1.56E+12,3XIQGXAUMDFSZO8R9F8Q6JPQU11X7E,A1T1CQSJWP9ZP3,0
100,5eb6ce3d,10,full,hard,FALSE,FALSE,367508,79918,2,0,1.56E+12,3N4BPTXIO9ZODZLGN4MCQHV863KKUF,A1NY4BKZLOB92H,0
101,15e6cf5b,10,full,hard,FALSE,FALSE,111012,44160,2,0,1.56E+12,3QEMNNSB2Y6E1I3AIF7ECCMYEJP7DM,A2B8EAPA608JDH,0
102,67e6ce01,10,full,hard,TRUE,FALSE,602004,132727,106,13,1.56E+12,3GNCZX450JU59H4YURATMX5DTAYPA9,A6KOTWP7N7RLU,0
103,9ae6cdf8,10,full,hard,FALSE,FALSE,582229,19491,72,0,1.56E+12,3SNVL38CI5ZSR54G1D1CWB92Z3DKC5,A34FISA5G0P8RM,0
104,d6f6d11d,10,pruned,medium,TRUE,FALSE,14981,15453,1,0,1.56E+12,3LBXNTKX0S2WD7WKOC6AKFGWPRP9X2,A17TS8M18R9TZS,0
105,d5d6cf7e,10,pruned,medium,TRUE,TRUE,100227,42064,14,3,1.56E+12,3VNXK88KKDP49IRPOX5SWUJB9GH9VZ,A2FV2U7RGBVK2T,1
106,d2b6cfbb,10,full,medium,TRUE,FALSE,334187,68508,25,4,1.56E+12,3VFJCI1K406RVLXGTJ6SNEGVSNZRGF,A2LMJ9PGUL962L,0
107,93c6d00d,10,full,medium,TRUE,FALSE,534785,47465,82,5,1.56E+12,3VHP9MDGRORHBJC202AFGYHXR7WFCY,A21OS9KG7JNHR7,0
108,1fe6d227,10,pruned,medium,TRUE,TRUE,95962,19832,15,3,1.56E+12,32EYX73OY1GA03YBDOV9RTHM1VFRUG,A341XKSRZ58FJK,1
109,61c6d297,10,pruned,medium,TRUE,FALSE,99479,15438,23,1,1.56E+12,3R2PKQ87NXFEUWQJEZAEMRZ11DSMIE,AZJKB1D4AFMQY,0
110,d6c6d18c,10,pruned,medium,TRUE,TRUE,102384,53117,18,3,1.56E+12,38F5OAUN5OJVDY8C4BQ43X1W6BI7HV,ALB9Q6PW38CHZ,1
111,e9f6d068,10,full,hard,FALSE,FALSE,491018,90662,37,0,1.56E+12,3DY4FPOOA2VADINBIE5ENFJ5F2NRV4,A18MHXGNZMORFP,0
112,14c6d368,10,pruned,medium,TRUE,TRUE,82111,33017,15,3,1.56E+12,33ISQZVXPQTA87SS90KE8SWUUU4CCK,A1E3MR98PNWZBD,1
113,6db6d284,10,full,medium,FALSE,FALSE,81687,35552,9,0,1.56E+12,3XXU1SWE8N22L00ED6V37W45L2MA0N,AHJKTXYX66U23,0
114,c3d6d0e6,10,full,hard,FALSE,FALSE,369804,36439,54,0,1.56E+12,3S4AW7T80CP0G79JTY7VSDATWQ14LF,A2287HLNN9EZ56,0
115,e7f6d472,10,full,medium,FALSE,FALSE,404451,53058,41,0,1.56E+12,3TMFV4NEP9LHA28K9F4AI07EWJ38WL,A2SUSP7BO7ZCPM,0
116,46e6d530,10,pruned,medium,TRUE,TRUE,242913,41568,12,3,1.56E+12,3WJEQKOXA992SPLW9PZ3L1NFQUSA1Q,A3TFKABX2WVOZ6,1
117,c1b6d6a4,10,full,hard,TRUE,FALSE,71347,10470,14,0,1.56E+12,3ZPBJO59KQ8BU79MVOTQ3PBSSMLDHU,A2DFSLUXNR2HDC,0
118,f5f6d6ce,10,full,medium,FALSE,FALSE,129303,38012,19,0,1.56E+12,3LYA37P8IRU9H0CAND5HLR3KHIDKBY,A1TWZEOYQV4LGI,0
119,8fa6d75f,10,full,medium,TRUE,FALSE,131698,42411,21,4,1.56E+12,3IHR8NYAM88Q7SOHLQ029UJD103P4Z,A9HQ3E0F2AGVO,0
120,f7b6d848,10,pruned,medium,FALSE,FALSE,226459,17963,28,0,1.56E+12,3NG53N1RLWQRQTBJXTQFQ6ZI3MYP85,AZJ6AT27OKHJL,0
121,85a6d8cb,10,full,medium,TRUE,FALSE,76264,137891,2,33,1.56E+12,3A4TN5196LP1PF38VSYFJJTA7M9CHT,A2E9CAL66UNGV9,0
122,1ab6da15,10,full,medium,FALSE,FALSE,579396,71122,80,0,1.56E+12,33TIN5LC05HLDCMUT8SC3TN5RXJ9Y8,A27UX65DOP34DT,0
123,37e6e013,10,pruned,medium,TRUE,TRUE,69853,26439,8,3,1.56E+12,3FE2ERCCZYFUBLYZ4AFBNSPIIR3PO9,AD1DGG7ZDRAIT,1
124,8fb6dff4,10,full,hard,TRUE,TRUE,85418,59878,2,5,1.56E+12,3ERET4BTVNGQT7XDPTRLUL8UTIAK9O,A2JP8W265WCC35,1
125,71a6e4eb,10,pruned,medium,FALSE,FALSE,115657,44182,11,0,1.56E+12,3DL65MZB8EMP55C65RQ9YGWXF6HCED,A3JEQR9F5AJ6Y8,0
126,eac6e690,10,pruned,medium,TRUE,TRUE,107455,53347,4,3,1.56E+12,38SKSKU7R24UOE8YEN9ZMEKC182IL8,A2R8IV2PWFTY00,1
127,acf6e7eb,10,full,hard,TRUE,FALSE,48065,80727,16,13,1.56E+12,38F71OA9GU3UK5OTDR4TJUM9LL0MFN,A309RFIHZPQ6GN,0
128,d8e6ea40,10,full,medium,FALSE,FALSE,556431,30191,38,0,1.56E+12,3YMTUJH0DTNOZKHO279ME4KAQ3N4TI,A1QICXSNBZLODT,0
129,64e6ee98,10,full,hard,FALSE,FALSE,26791,24153,2,0,1.56E+12,3JMSRU9HQJ1L4EI6W8LEO8KM0D1VEZ,A1O2W62UGPV9TE,0
130,8bd700c4,10,pruned,medium,FALSE,FALSE,183436,38476,18,0,1.56E+12,3DBQWDE4Y7580QG4JG6KAXKW1H7N5G,ALBIU0ZCAUNON,0
131,fdd70310,10,full,hard,FALSE,FALSE,227848,38793,28,0,1.56E+12,32Z9ZLUT1MR2Y40BLX76EJNRW06OHG,A2DXEPC4QFV4R1,0
