userid,board_name,board_size,board_type,condition,player,blocking_score,win_score,heuristic,prob_move,prob_move_to_best_ratio,log_move,rank_move,move_number,move_number_in_path,path_number,prob_path,path
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.043478260869565216,1.0,-3.1354942159291497,0.0,52,3,13,0.00038929774693928965,"[[2, 3, 1], [2, 2, 2], [4, 5, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.015432098765432098,0.05,-4.171305603358229,10.0,53,4,13,6.007681279927309e-06,"[[2, 3, 1], [2, 2, 2], [4, 5, 1], [3, 0, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.4366812227074236,1.0,-0.8285518175661483,0.0,54,5,13,2.623441606955157e-06,"[[2, 3, 1], [2, 2, 2], [4, 5, 1], [3, 0, 2], [3, 4, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.0963855421686747,1.0,-2.339399066116762,0.0,55,2,13,0.008953848179603662,"[[2, 3, 1], [2, 2, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.043478260869565216,1.0,-3.1354942159291497,0.0,56,3,13,0.00038929774693928965,"[[2, 3, 1], [2, 2, 2], [4, 5, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.030864197530864196,0.1,-3.4781584227982836,4.0,57,4,13,1.2015362559854619e-05,"[[2, 3, 1], [2, 2, 2], [4, 5, 1], [3, 4, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.09289617486338798,1.0,-2.3762728087852047,0.0,58,1,13,0.09289617486338798,"[[2, 3, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.0963855421686747,1.0,-2.339399066116762,0.0,59,2,14,0.008953848179603662,"[[2, 3, 1], [2, 2, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.043478260869565216,1.0,-3.1354942159291497,0.0,60,3,14,0.00038929774693928965,"[[2, 3, 1], [2, 2, 2], [3, 0, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.018518518518518517,0.06,-3.9889840465642745,9.0,61,4,14,7.2092175359127705e-06,"[[2, 3, 1], [2, 2, 2], [3, 0, 1], [0, 3, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.047619047619047616,1.0,-3.044522437723423,0.0,62,5,14,3.4329607313870334e-07,"[[2, 3, 1], [2, 2, 2], [3, 0, 1], [0, 3, 2], [4, 5, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.03194888178913738,0.1,-3.4436180975461075,4.0,63,6,14,1.0967925659383493e-08,"[[2, 3, 1], [2, 2, 2], [3, 0, 1], [0, 3, 2], [4, 5, 1], [3, 4, 2]]"
22dac859,6_hard_full,6,hard,full,1,10,100,linear,0.09289617486338798,1.0,-2.3762728087852047,0.0,64,1,14,0.09289617486338798,"[[2, 3, 1]]"
22dac859,6_hard_full,6,hard,full,2,10,100,linear,0.0963855421686747,1.0,-2.339399066116762,0.0,65,2,15,0.008953848179603662,"[[2, 3, 1], [2, 2, 2]]"
