run,chosen_moves,num_nodes_rollouts,board,num_nodes,correct
177,44,111,10_hard_full,51,0
178,85,81,10_hard_full,50,0
179,62,102,10_hard_full,51,0
180,66,107,10_hard_full,51,0
181,45,103,10_hard_full,51,0
182,45,113,10_hard_full,51,0
183,92,84,10_hard_full,51,0
184,50,116,10_hard_full,51,0
185,45,128,10_hard_full,51,0
186,45,120,10_hard_full,51,0
187,72,106,10_hard_full,51,0
188,25,102,10_hard_full,50,1
189,41,102,10_hard_full,51,0
190,46,94,10_hard_full,52,0
191,74,115,10_hard_full,51,0
192,64,107,10_hard_full,52,0
193,44,120,10_hard_full,51,0
194,72,101,10_hard_full,51,0
195,25,105,10_hard_full,52,1
196,75,121,10_hard_full,51,0
197,68,105,10_hard_full,51,0
198,44,105,10_hard_full,50,0
199,75,144,10_hard_full,51,0
0,45,115,10_hard_pruned,51,0
1,51,116,10_hard_pruned,51,0
2,74,113,10_hard_pruned,51,0
3,44,113,10_hard_pruned,51,0
4,3,120,10_hard_pruned,51,0
5,44,119,10_hard_pruned,51,0
6,74,135,10_hard_pruned,51,0
7,64,109,10_hard_pruned,51,0
8,44,115,10_hard_pruned,51,0
9,44,133,10_hard_pruned,51,0
10,74,109,10_hard_pruned,51,0
11,13,109,10_hard_pruned,51,0
12,24,77,10_hard_pruned,50,1
13,45,113,10_hard_pruned,51,0
14,54,115,10_hard_pruned,51,0
15,76,119,10_hard_pruned,51,0
16,75,111,10_hard_pruned,51,0
17,24,76,10_hard_pruned,50,1
18,78,113,10_hard_pruned,51,0
19,64,112,10_hard_pruned,51,0
20,31,108,10_hard_pruned,51,0
21,45,117,10_hard_pruned,51,0
22,13,94,10_hard_pruned,50,0
23,77,116,10_hard_pruned,51,0
24,44,117,10_hard_pruned,51,0
25,76,125,10_hard_pruned,51,0
26,45,106,10_hard_pruned,51,0
27,92,137,10_hard_pruned,51,0
28,45,104,10_hard_pruned,51,0
29,54,111,10_hard_pruned,51,0
30,24,80,10_hard_pruned,50,1
31,44,118,10_hard_pruned,51,0
32,74,115,10_hard_pruned,51,0
33,44,123,10_hard_pruned,51,0
34,49,128,10_hard_pruned,51,0
35,24,78,10_hard_pruned,50,1
36,74,101,10_hard_pruned,51,0
37,44,125,10_hard_pruned,51,0
38,62,116,10_hard_pruned,51,0
39,60,121,10_hard_pruned,51,0
40,36,105,10_hard_pruned,51,0
41,54,116,10_hard_pruned,51,0
42,24,74,10_hard_pruned,50,1
43,44,120,10_hard_pruned,51,0
44,96,118,10_hard_pruned,51,0
45,72,108,10_hard_pruned,51,0
46,54,118,10_hard_pruned,51,0
47,66,120,10_hard_pruned,51,0
48,44,122,10_hard_pruned,51,0
49,54,109,10_hard_pruned,51,0
50,54,130,10_hard_pruned,51,0
51,44,125,10_hard_pruned,51,0
52,36,108,10_hard_pruned,51,0
53,62,108,10_hard_pruned,51,0
54,72,100,10_hard_pruned,51,0
55,74,117,10_hard_pruned,51,0
56,36,113,10_hard_pruned,51,0
57,24,80,10_hard_pruned,50,1
58,44,115,10_hard_pruned,51,0
59,44,128,10_hard_pruned,51,0
60,24,77,10_hard_pruned,50,1
61,67,111,10_hard_pruned,51,0
62,85,89,10_hard_pruned,51,0
63,54,116,10_hard_pruned,51,0
64,77,113,10_hard_pruned,50,0
65,45,100,10_hard_pruned,51,0
66,45,109,10_hard_pruned,51,0
67,48,118,10_hard_pruned,51,0
68,56,106,10_hard_pruned,51,0
69,47,116,10_hard_pruned,50,0
70,59,129,10_hard_pruned,51,0
71,32,104,10_hard_pruned,51,0
72,47,109,10_hard_pruned,51,0
73,45,101,10_hard_pruned,51,0
74,36,117,10_hard_pruned,51,0
75,7,121,10_hard_pruned,51,0
76,47,110,10_hard_pruned,51,0
77,45,112,10_hard_pruned,51,0
78,36,120,10_hard_pruned,51,0
79,9,106,10_hard_pruned,51,0
80,36,126,10_hard_pruned,51,0
81,45,120,10_hard_pruned,51,0
82,44,115,10_hard_pruned,51,0
83,72,119,10_hard_pruned,51,0
84,93,117,10_hard_pruned,51,0
85,72,117,10_hard_pruned,51,0
86,24,76,10_hard_pruned,50,1
87,44,115,10_hard_pruned,51,0
88,72,119,10_hard_pruned,51,0
89,94,108,10_hard_pruned,51,0
90,44,122,10_hard_pruned,51,0
91,24,69,10_hard_pruned,50,1
92,47,111,10_hard_pruned,51,0
93,44,114,10_hard_pruned,51,0
94,36,105,10_hard_pruned,51,0
95,45,91,10_hard_pruned,51,0
96,96,107,10_hard_pruned,51,0
97,54,118,10_hard_pruned,51,0
98,37,109,10_hard_pruned,51,0
99,24,72,10_hard_pruned,50,1
100,62,121,10_hard_pruned,51,0
101,36,119,10_hard_pruned,51,0
102,45,107,10_hard_pruned,51,0
103,44,123,10_hard_pruned,51,0
104,45,127,10_hard_pruned,51,0
105,64,116,10_hard_pruned,51,0
106,24,80,10_hard_pruned,50,1
107,58,128,10_hard_pruned,51,0
108,44,123,10_hard_pruned,51,0
109,44,115,10_hard_pruned,51,0
110,74,107,10_hard_pruned,51,0
111,72,102,10_hard_pruned,51,0
112,77,119,10_hard_pruned,51,0
113,62,117,10_hard_pruned,51,0
114,44,122,10_hard_pruned,51,0
115,77,111,10_hard_pruned,51,0
116,44,119,10_hard_pruned,51,0
117,24,73,10_hard_pruned,50,1
118,76,109,10_hard_pruned,51,0
119,44,124,10_hard_pruned,51,0
120,54,118,10_hard_pruned,51,0
121,38,114,10_hard_pruned,51,0
122,48,120,10_hard_pruned,51,0
123,72,107,10_hard_pruned,51,0
124,85,106,10_hard_pruned,51,0
125,47,108,10_hard_pruned,51,0
126,47,103,10_hard_pruned,51,0
127,44,130,10_hard_pruned,51,0
128,41,105,10_hard_pruned,51,0
129,45,98,10_hard_pruned,51,0
130,45,98,10_hard_pruned,51,0
131,62,124,10_hard_pruned,51,0
132,78,109,10_hard_pruned,51,0
133,44,120,10_hard_pruned,51,0
134,54,107,10_hard_pruned,51,0
135,44,130,10_hard_pruned,51,0
136,47,109,10_hard_pruned,51,0
137,92,105,10_hard_pruned,51,0
138,44,124,10_hard_pruned,51,0
139,74,114,10_hard_pruned,51,0
140,24,81,10_hard_pruned,50,1
141,44,119,10_hard_pruned,51,0
142,45,90,10_hard_pruned,51,0
143,45,96,10_hard_pruned,50,0
144,54,110,10_hard_pruned,51,0
145,45,114,10_hard_pruned,51,0
146,72,113,10_hard_pruned,51,0
147,45,99,10_hard_pruned,51,0
148,45,110,10_hard_pruned,51,0
149,36,116,10_hard_pruned,51,0
150,24,73,10_hard_pruned,50,1
151,57,110,10_hard_pruned,51,0
152,94,110,10_hard_pruned,51,0
153,62,107,10_hard_pruned,51,0
154,47,112,10_hard_pruned,51,0
155,44,104,10_hard_pruned,52,0
156,75,107,10_hard_pruned,51,0
157,44,125,10_hard_pruned,51,0
158,36,112,10_hard_pruned,51,0
159,44,119,10_hard_pruned,51,0
160,11,139,10_hard_pruned,51,0
161,47,120,10_hard_pruned,51,0
162,47,106,10_hard_pruned,51,0
163,88,112,10_hard_pruned,51,0
164,28,79,10_hard_pruned,50,0
165,44,130,10_hard_pruned,51,0
166,54,98,10_hard_pruned,51,0
167,45,103,10_hard_pruned,51,0
168,74,116,10_hard_pruned,50,0
169,36,116,10_hard_pruned,51,0
170,56,117,10_hard_pruned,51,0
