,move_limit,noise,k,board,tradeoff
330,50,0.0,3,10_easy_full,0
331,50,0.0,3,10_easy_pruned,0
332,50,0.0,3,10_hard_full,0
333,50,0.0,3,10_hard_pruned,0
334,50,0.0,3,10_medium_full,0
335,50,0.0,3,10_medium_pruned,0
336,50,0.0,3,6_easy_full,0
337,50,0.0,3,6_easy_pruned,0
338,50,0.0,3,6_hard_full,0
339,50,0.0,3,6_hard_pruned,0
340,50,0.0,5,10_easy_full,0
341,50,0.0,5,10_easy_pruned,0
342,50,0.0,5,10_hard_full,0
343,50,0.0,5,10_hard_pruned,0
344,50,0.0,5,10_medium_full,0
345,50,0.0,5,10_medium_pruned,0
346,50,0.0,5,6_easy_full,0
347,50,0.0,5,6_easy_pruned,0
348,50,0.0,5,6_hard_full,0
349,50,0.0,5,6_hard_pruned,0
350,50,0.0,10,10_easy_full,1
351,50,0.0,10,10_easy_pruned,0
352,50,0.0,10,10_hard_full,0
353,50,0.0,10,10_hard_pruned,0
354,50,0.0,10,10_medium_full,0
355,50,0.0,10,10_medium_pruned,1
356,50,0.0,10,6_easy_full,0
357,50,0.0,10,6_easy_pruned,0
358,50,0.0,10,6_hard_full,0
359,50,0.0,10,6_hard_pruned,0
360,50,0.25,3,10_easy_full,0
361,50,0.25,3,10_easy_pruned,1
362,50,0.25,3,10_hard_full,0
363,50,0.25,3,10_hard_pruned,0
364,50,0.25,3,10_medium_full,0
365,50,0.25,3,10_medium_pruned,0
366,50,0.25,3,6_easy_full,0
367,50,0.25,3,6_easy_pruned,0
368,50,0.25,3,6_hard_full,0
369,50,0.25,3,6_hard_pruned,0
370,50,0.25,5,10_easy_full,1
371,50,0.25,5,10_easy_pruned,0
372,50,0.25,5,10_hard_full,0
373,50,0.25,5,10_hard_pruned,0
374,50,0.25,5,10_medium_full,0
375,50,0.25,5,10_medium_pruned,0
376,50,0.25,5,6_easy_full,1
377,50,0.25,5,6_easy_pruned,0
378,50,0.25,5,6_hard_full,0
379,50,0.25,5,6_hard_pruned,0
380,50,0.25,10,10_easy_full,0
381,50,0.25,10,10_easy_pruned,0
382,50,0.25,10,10_hard_full,0
383,50,0.25,10,10_hard_pruned,0
384,50,0.25,10,10_medium_full,0
385,50,0.25,10,10_medium_pruned,0
386,50,0.25,10,6_easy_full,0
387,50,0.25,10,6_easy_pruned,0
388,50,0.25,10,6_hard_full,0
389,50,0.25,10,6_hard_pruned,0
390,50,0.5,3,10_easy_full,1
391,50,0.5,3,10_easy_pruned,1
392,50,0.5,3,10_hard_full,0
393,50,0.5,3,10_hard_pruned,0
394,50,0.5,3,10_medium_full,0
395,50,0.5,3,10_medium_pruned,0
396,50,0.5,3,6_easy_full,1
397,50,0.5,3,6_easy_pruned,0
398,50,0.5,3,6_hard_full,0
399,50,0.5,3,6_hard_pruned,0
400,50,0.5,5,10_easy_full,0
401,50,0.5,5,10_easy_pruned,0
402,50,0.5,5,10_hard_full,0
403,50,0.5,5,10_hard_pruned,0
404,50,0.5,5,10_medium_full,0
405,50,0.5,5,10_medium_pruned,1
406,50,0.5,5,6_easy_full,1
407,50,0.5,5,6_easy_pruned,0
408,50,0.5,5,6_hard_full,0
409,50,0.5,5,6_hard_pruned,0
410,50,0.5,10,10_easy_full,0
411,50,0.5,10,10_easy_pruned,0
412,50,0.5,10,10_hard_full,0
413,50,0.5,10,10_hard_pruned,0
414,50,0.5,10,10_medium_full,0
415,50,0.5,10,10_medium_pruned,0
416,50,0.5,10,6_easy_full,1
417,50,0.5,10,6_easy_pruned,0
418,50,0.5,10,6_hard_full,0
419,50,0.5,10,6_hard_pruned,0
420,50,0.75,3,10_easy_full,0
421,50,0.75,3,10_easy_pruned,0
422,50,0.75,3,10_hard_full,0
423,50,0.75,3,10_hard_pruned,0
424,50,0.75,3,10_medium_full,1
425,50,0.75,3,10_medium_pruned,0
426,50,0.75,3,6_easy_full,0
427,50,0.75,3,6_easy_pruned,0
428,50,0.75,3,6_hard_full,0
429,50,0.75,3,6_hard_pruned,0
430,50,0.75,5,10_easy_full,0
431,50,0.75,5,10_easy_pruned,1
432,50,0.75,5,10_hard_full,0
433,50,0.75,5,10_hard_pruned,0
434,50,0.75,5,10_medium_full,1
435,50,0.75,5,10_medium_pruned,1
436,50,0.75,5,6_easy_full,1
437,50,0.75,5,6_easy_pruned,0
438,50,0.75,5,6_hard_full,0
439,50,0.75,5,6_hard_pruned,0
440,50,0.75,10,10_easy_full,0
441,50,0.75,10,10_easy_pruned,0
442,50,0.75,10,10_hard_full,0
443,50,0.75,10,10_hard_pruned,0
444,50,0.75,10,10_medium_full,0
445,50,0.75,10,10_medium_pruned,1
446,50,0.75,10,6_easy_full,0
447,50,0.75,10,6_easy_pruned,0
448,50,0.75,10,6_hard_full,0
449,50,0.75,10,6_hard_pruned,0
450,50,1.0,3,10_easy_full,0
451,50,1.0,3,10_easy_pruned,0
452,50,1.0,3,10_hard_full,0
453,50,1.0,3,10_hard_pruned,0
454,50,1.0,3,10_medium_full,0
455,50,1.0,3,10_medium_pruned,0
456,50,1.0,3,6_easy_full,1
457,50,1.0,3,6_easy_pruned,0
458,50,1.0,3,6_hard_full,0
459,50,1.0,3,6_hard_pruned,0
460,50,1.0,5,10_easy_full,0
461,50,1.0,5,10_easy_pruned,0
462,50,1.0,5,10_hard_full,0
463,50,1.0,5,10_hard_pruned,0
464,50,1.0,5,10_medium_full,0
465,50,1.0,5,10_medium_pruned,0
466,50,1.0,5,6_easy_full,1
467,50,1.0,5,6_easy_pruned,1
468,50,1.0,5,6_hard_full,0
469,50,1.0,5,6_hard_pruned,0
470,50,1.0,10,10_easy_full,0
471,50,1.0,10,10_easy_pruned,0
472,50,1.0,10,10_hard_full,0
473,50,1.0,10,10_hard_pruned,1
474,50,1.0,10,10_medium_full,0
475,50,1.0,10,10_medium_pruned,0
476,50,1.0,10,6_easy_full,1
477,50,1.0,10,6_easy_pruned,1
478,50,1.0,10,6_hard_full,0
479,50,1.0,10,6_hard_pruned,0
480,50,1.25,3,10_easy_full,1
481,50,1.25,3,10_easy_pruned,0
482,50,1.25,3,10_hard_full,0
483,50,1.25,3,10_hard_pruned,0
484,50,1.25,3,10_medium_full,0
485,50,1.25,3,10_medium_pruned,0
486,50,1.25,3,6_easy_full,0
487,50,1.25,3,6_easy_pruned,0
488,50,1.25,3,6_hard_full,0
489,50,1.25,3,6_hard_pruned,0
490,50,1.25,5,10_easy_full,0
491,50,1.25,5,10_easy_pruned,0
492,50,1.25,5,10_hard_full,0
493,50,1.25,5,10_hard_pruned,0
494,50,1.25,5,10_medium_full,0
495,50,1.25,5,10_medium_pruned,0
496,50,1.25,5,6_easy_full,1
497,50,1.25,5,6_easy_pruned,1
498,50,1.25,5,6_hard_full,0
499,50,1.25,5,6_hard_pruned,0
500,50,1.25,10,10_easy_full,1
501,50,1.25,10,10_easy_pruned,0
502,50,1.25,10,10_hard_full,0
503,50,1.25,10,10_hard_pruned,0
504,50,1.25,10,10_medium_full,0
505,50,1.25,10,10_medium_pruned,0
506,50,1.25,10,6_easy_full,1
507,50,1.25,10,6_easy_pruned,1
508,50,1.25,10,6_hard_full,0
509,50,1.25,10,6_hard_pruned,0
510,50,1.5,3,10_easy_full,0
511,50,1.5,3,10_easy_pruned,1
512,50,1.5,3,10_hard_full,0
513,50,1.5,3,10_hard_pruned,1
514,50,1.5,3,10_medium_full,0
515,50,1.5,3,10_medium_pruned,0
516,50,1.5,3,6_easy_full,0
517,50,1.5,3,6_easy_pruned,1
518,50,1.5,3,6_hard_full,0
519,50,1.5,3,6_hard_pruned,0
520,50,1.5,5,10_easy_full,0
521,50,1.5,5,10_easy_pruned,0
522,50,1.5,5,10_hard_full,0
523,50,1.5,5,10_hard_pruned,0
524,50,1.5,5,10_medium_full,0
525,50,1.5,5,10_medium_pruned,0
526,50,1.5,5,6_easy_full,0
527,50,1.5,5,6_easy_pruned,1
528,50,1.5,5,6_hard_full,0
529,50,1.5,5,6_hard_pruned,0
