,board,correct,fitted_heuristic,o_prob_mean,o_prob_median,o_prob_ratio_mean,o_prob_ratio_median,o_rank_mean,o_rank_median,userid,x_prob_mean,x_prob_median,x_prob_ratio_mean,x_prob_ratio_median,x_rank_mean,x_rank_median
144,10_medium_pruned,1,interaction,0.019437555,0.013333333,0.429412399,0.092355022,2.846153846,3,9da51cdd,0.20551501,0.174990408,0.697329113,1,2.148148148,0
145,6_easy_pruned,1,interaction,0.035764286,0.035764286,0.5,0.5,0.5,0.5,9db10b00,0.767204255,0.927128343,1,1,0,0
146,10_medium_pruned,0,blocking,0.012023782,0.003323008,0.263345552,0.010727778,15.46153846,7,9dd11e8e,0.096889578,0.073885534,0.439262334,0.358150538,4.964285714,3
147,6_easy_full,0,density,0.170213728,0.084337349,0.681656793,0.636363636,3.578947368,1,9defd82d,0.072641992,0.08,0.600999514,0.666666667,3.826086957,3
148,10_medium_full,0,interaction,0.056664348,0.047182134,0.771400348,1,1.666666667,0,9ea4fe94,0.270784721,0.221022479,0.767378879,1,1.333333333,0
149,6_hard_pruned,0,interaction,0.347528092,0.347528092,0.529019274,0.529019274,1.5,1.5,a2ebe618,0.273736484,0.148997441,1,1,0,0
150,6_hard_full,0,density,0.06741573,0.06741573,0.857142857,0.857142857,1,1,a2f6ba1d,0.509333097,0.509333097,0.8125,0.8125,2.5,2.5
151,10_hard_full,0,blocking,0.117785485,0.051580854,0.469055079,0.254238501,13.71428571,4,a3eacaa9,0.111870518,0.020915804,0.613665517,1,8.769230769,0
152,10_hard_full,0,blocking,0.064852211,0.022637318,0.315616008,0.127352126,13,5.5,a4f74985,0.092349451,0.02931851,0.465625985,0.306111111,13.26666667,3
153,10_medium_full,0,density,0.260063116,0.053321541,0.770833333,0.791666667,3.75,3,a5e116c5,0.294138675,0.045454545,0.846666667,0.9,2.6,2
154,6_easy_full,0,density,0.067262129,0.076932367,0.515411932,0.636363636,4.583333333,2,a6bff327,0.075212091,0.077935223,0.594444444,0.666666667,4.611111111,2.5
155,10_medium_full,0,blocking,0.100357908,0.107018881,0.690312696,0.856254431,1.916666667,1,a7b511d6,0.113878413,0.110536004,0.64455185,1,5.613636364,0
156,10_medium_pruned,1,blocking,0.012987013,0.012987013,1,1,0,0,a9cbcabb,0.177818339,0.206297426,0.644094673,1,1.4,0
157,6_hard_pruned,0,blocking,0.122474576,0.129623274,0.447147454,0.526231368,2.166666667,2,aafbd6ab,0.132787205,0.077892545,0.445346724,0.355255656,4.777777778,4
158,10_hard_full,1,blocking,0.014285714,0.014285714,1,1,0,0,abc728e1,0.249784318,0.170286488,0.891498073,1,0.625,0
159,10_medium_pruned,1,blocking,0.011814054,0.011814054,0.041704356,0.041704356,4,4,abd12ee2,0.171001623,0.188630318,0.792221519,1,1.666666667,0
160,10_easy_full,0,blocking,0.153726711,0.097431419,0.48985743,0.354791606,4.655172414,2,abdacc98,0.079900884,0.024364711,0.450409217,0.244496597,11.59090909,5.5
161,10_easy_pruned,1,blocking,0.015873016,0.015873016,1,1,0,0,acb11b17,0.443472283,0.496681982,1,1,0,0
162,10_easy_full,1,blocking,0.004523315,0.002890043,0.120293294,0.009444444,24.88888889,25,acc6e9d4,0.098199853,0.105887117,0.560339511,0.758300619,11.18604651,2
163,10_hard_pruned,0,blocking,0.089922967,0.063381667,0.381400961,0.226451771,4.727272727,1.5,acdac85f,0.040829395,0.014492754,0.356008572,0.12430402,8.086956522,2
164,10_hard_full,0,interaction,0.381157074,0.432628993,0.883526247,1,1.6875,0,aceaccbc,0.057746425,0.076905861,0.73936606,0.819736898,2.961538462,1
165,6_easy_pruned,0,linear,0.133333333,0.133333333,0.933333333,0.933333333,1,1,adfac866,0.095959596,0.106060606,0.791666667,0.875,3,1
166,6_easy_full,1,blocking,0.071428571,0.071428571,1,1,0,0,aedbea55,0.437243448,0.225598324,0.974503657,0.970114943,0.727272727,1
167,10_medium_pruned,0,blocking,0.009923644,0.007642233,0.27399418,0.02612136,12.16666667,12,b0c6f3a8,0.148033928,0.10853626,0.539616454,0.526115433,4.92,1
168,6_hard_full,0,interaction,0.201664058,0.03761226,0.406377411,0.108901257,5.571428571,3,b0d518a1,0.090134083,0.080055369,0.519729053,0.647315676,3.055555556,1
169,6_hard_pruned,0,interaction,0.242595173,0.18862346,0.773260075,1,0.666666667,0,b0e1157c,0.319683137,0.109012461,0.743917065,0.731639817,2.142857143,2
