,userid,player,missed_win,board,fitted_heuristic,correct
178,7dea8d37,1.0,0.5,10_hard_pruned,blocking,0
179,7dea8d37,2.0,0.785714285714,10_hard_pruned,blocking,0
180,81a10227,1.0,0.0,10_medium_full,blocking,0
181,81a10227,2.0,1.0,10_medium_full,blocking,0
182,81c11c9f,1.0,0.333333333333,6_hard_pruned,interaction,1
183,84dbf4f9,1.0,0.0,10_hard_full,blocking,1
184,84dbf4f9,2.0,1.0,10_hard_full,blocking,1
185,85e50169,1.0,0.25,10_medium_full,blocking,0
186,86f6e2cb,1.0,0.5,6_easy_full,density,0
187,86f6e2cb,2.0,0.666666666667,6_easy_full,density,0
188,87b50908,1.0,0.0,6_hard_full,interaction,0
189,87b50908,2.0,0.375,6_hard_full,interaction,0
190,8aa6d830,1.0,0.222222222222,10_hard_pruned,blocking,1
191,8aa6d830,2.0,0.714285714286,10_hard_pruned,blocking,1
192,8ab71c6b,1.0,0.0,6_easy_pruned,interaction,1
193,8de6a2af,1.0,0.0,10_easy_full,blocking,1
194,8df4f6e8,1.0,0.0,6_easy_full,interaction,1
195,8df4f6e8,2.0,0.5,6_easy_full,interaction,1
196,8ea50714,1.0,0.6,10_hard_pruned,blocking,0
197,8ea50714,2.0,0.5,10_hard_pruned,blocking,0
198,8fc76287,1.0,0.5,6_hard_full,blocking,1
199,8fc76287,2.0,0.285714285714,6_hard_full,blocking,1
200,91cfd7fb,1.0,0.0,6_hard_full,blocking,1
201,91cfd7fb,2.0,0.0,6_hard_full,blocking,1
202,92a70054,2.0,0.538461538462,10_easy_full,blocking,0
203,92a74a76,1.0,0.333333333333,6_hard_pruned,interaction,0
204,92a74a76,2.0,1.0,6_hard_pruned,interaction,0
205,92b722f3,1.0,0.5,6_hard_full,blocking,0
206,92b722f3,2.0,0.666666666667,6_hard_full,blocking,0
207,92e6f512,1.0,0.0,10_hard_full,blocking,1
208,92f69945,1.0,0.333333333333,10_easy_pruned,blocking,1
209,92f69945,2.0,1.0,10_easy_pruned,blocking,1
210,93c70cc1,1.0,0.2,10_medium_full,blocking,1
211,93c70cc1,2.0,1.0,10_medium_full,blocking,1
212,93ebead7,1.0,0.0,10_medium_pruned,blocking,1
213,93ebead7,2.0,1.0,10_medium_pruned,blocking,1
214,94a4f5d4,1.0,0.0,10_medium_pruned,blocking,1
215,94a4f5d4,2.0,0.0,10_medium_pruned,blocking,1
216,94abbfb2,1.0,0.0,6_easy_pruned,blocking,1
