,board_name,path,path_length,probability
79,6_hard_full,"[[0, 2, 1], [4, 3, 2], [2, 3, 1], [2, 2, 2], [4, 4, 1], [5, 2, 2], [3, 5, 1], [4, 2, 2], [5, 0, 1], [5, 3, 2]]",10,0.002
80,6_hard_full,"[[0, 3, 1], [3, 0, 2], [4, 2, 1], [2, 2, 2], [3, 5, 1], [2, 3, 2], [2, 0, 1]]",7,0.002
81,6_hard_full,"[[0, 3, 1], [3, 0, 2], [3, 2, 1], [2, 2, 2], [0, 5, 1], [0, 0, 2], [2, 3, 1], [1, 0, 2]]",8,0.002
82,6_hard_full,"[[2, 3, 1], [2, 2, 2], [1, 5, 1], [4, 4, 2], [2, 0, 1]]",5,0.002
83,6_hard_full,"[[4, 3, 1], [0, 0, 2], [2, 2, 1], [0, 3, 2], [3, 5, 1]]",5,0.002
84,6_hard_full,"[[2, 3, 1], [4, 2, 2], [2, 4, 1], [2, 2, 2]]",4,0.002
85,6_hard_full,"[[4, 3, 1], [2, 4, 2], [4, 2, 1]]",3,0.004
86,6_hard_full,"[[0, 3, 1], [3, 0, 2], [5, 3, 1]]",3,0.002
87,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [1, 0, 1]]",7,0.002
88,6_hard_full,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [0, 0, 2], [5, 0, 1], [5, 3, 2], [2, 4, 1], [2, 2, 2], [3, 4, 1]]",9,0.002
89,6_hard_full,"[[0, 5, 1], [5, 2, 2], [5, 3, 1], [2, 3, 2], [3, 2, 1], [4, 3, 2], [0, 3, 1]]",7,0.002
90,6_hard_full,"[[0, 3, 1], [3, 0, 2], [4, 2, 1], [5, 3, 2], [5, 2, 1], [2, 2, 2], [2, 0, 1], [0, 0, 2]]",8,0.002
91,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2], [2, 3, 1], [5, 2, 2], [3, 4, 1]]",9,0.002
92,6_hard_full,"[[0, 3, 1], [3, 0, 2], [5, 3, 1], [2, 2, 2]]",4,0.002
93,6_hard_full,"[[3, 2, 1], [2, 2, 2], [2, 5, 1]]",3,0.002
94,6_hard_full,"[[4, 2, 1], [2, 2, 2], [5, 0, 1], [4, 4, 2], [3, 2, 1]]",5,0.002
95,6_hard_full,"[[2, 3, 1], [2, 2, 2], [1, 0, 1], [0, 0, 2], [4, 4, 1], [4, 5, 2], [4, 3, 1], [2, 0, 2]]",8,0.002
96,6_hard_full,"[[4, 3, 1], [5, 2, 2], [5, 3, 1], [2, 2, 2], [3, 0, 1], [0, 0, 2], [4, 2, 1]]",7,0.002
97,6_hard_full,"[[3, 2, 1], [5, 3, 2], [5, 2, 1], [2, 3, 2], [2, 5, 1], [0, 0, 2], [4, 3, 1], [4, 4, 2], [1, 0, 1], [2, 4, 2]]",10,0.002
98,6_hard_full,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [0, 0, 2]]",4,0.06
99,6_hard_full,"[[4, 3, 1], [2, 4, 2], [4, 2, 1], [2, 0, 2], [1, 0, 1], [2, 5, 2], [4, 0, 1], [3, 2, 2]]",8,0.002
100,6_hard_full,"[[2, 2, 1], [3, 5, 2], [2, 3, 1], [4, 3, 2], [2, 4, 1], [5, 5, 2]]",6,0.002
101,6_hard_full,"[[2, 3, 1], [5, 0, 2], [2, 2, 1], [4, 5, 2], [2, 0, 1], [2, 4, 2]]",6,0.002
102,6_hard_full,"[[0, 3, 1], [3, 0, 2], [2, 5, 1], [0, 0, 2], [2, 2, 1], [1, 0, 2]]",6,0.002
103,6_hard_full,"[[2, 2, 1], [5, 3, 2], [5, 2, 1], [2, 3, 2], [1, 4, 1], [0, 3, 2], [2, 5, 1], [4, 2, 2], [5, 5, 1], [0, 2, 2]]",10,0.002
104,6_hard_full,"[[4, 2, 1], [2, 3, 2], [0, 3, 1], [2, 2, 2], [4, 3, 1], [5, 5, 2], [3, 0, 1], [4, 4, 2], [5, 3, 1], [0, 0, 2]]",10,0.002
105,6_hard_full,"[[2, 3, 1], [2, 4, 2], [4, 2, 1], [2, 2, 2], [3, 2, 1], [0, 0, 2], [4, 3, 1], [3, 5, 2]]",8,0.002
106,6_hard_full,"[[4, 2, 1], [2, 3, 2], [0, 2, 1], [4, 4, 2], [5, 5, 1], [2, 2, 2], [3, 5, 1], [4, 3, 2], [1, 4, 1]]",9,0.002
107,6_hard_full,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [0, 0, 2], [4, 0, 1], [0, 2, 2], [2, 2, 1]]",7,0.002
108,6_hard_full,"[[5, 2, 1], [2, 2, 2], [5, 5, 1], [2, 3, 2], [4, 0, 1], [4, 4, 2], [2, 4, 1]]",7,0.002
109,6_hard_full,"[[0, 3, 1], [3, 0, 2], [2, 3, 1], [2, 2, 2], [4, 2, 1], [2, 4, 2]]",6,0.002
110,6_hard_full,"[[1, 5, 1], [2, 4, 2], [4, 2, 1], [0, 3, 2], [2, 3, 1], [4, 4, 2], [3, 5, 1], [2, 2, 2], [1, 0, 1]]",9,0.002
111,6_hard_full,"[[0, 3, 1], [3, 0, 2], [4, 3, 1], [2, 2, 2], [2, 3, 1], [2, 4, 2], [5, 5, 1]]",7,0.002
112,6_hard_full,"[[3, 2, 1], [0, 0, 2], [2, 2, 1], [4, 5, 2], [4, 2, 1], [2, 3, 2], [0, 2, 1], [5, 3, 2], [5, 2, 1], [0, 3, 2]]",10,0.002
113,6_hard_full,"[[2, 2, 1], [5, 3, 2], [5, 2, 1], [2, 3, 2], [0, 0, 1], [2, 4, 2], [3, 5, 1], [4, 3, 2], [4, 0, 1]]",9,0.002
114,6_hard_full,"[[0, 3, 1], [3, 0, 2], [3, 2, 1], [2, 2, 2], [5, 3, 1], [2, 4, 2], [4, 3, 1], [4, 4, 2], [4, 2, 1], [1, 4, 2]]",10,0.002
115,6_hard_full,"[[0, 3, 1], [3, 0, 2], [4, 2, 1], [2, 2, 2]]",4,0.008
116,6_hard_full,"[[0, 5, 1], [5, 2, 2], [5, 3, 1], [2, 3, 2], [3, 2, 1], [4, 3, 2], [0, 3, 1], [2, 2, 2], [0, 2, 1], [4, 4, 2]]",10,0.002
117,6_hard_full,"[[3, 2, 1]]",1,0.118
118,6_hard_full,"[[2, 2, 1], [3, 2, 2], [2, 3, 1], [3, 4, 2], [2, 0, 1], [4, 2, 2], [2, 4, 1]]",7,0.002
119,6_hard_full,"[[2, 3, 1], [2, 2, 2], [4, 0, 1], [4, 4, 2], [0, 2, 1], [2, 4, 2]]",6,0.002
120,6_hard_full,"[[3, 2, 1], [2, 2, 2], [4, 3, 1], [0, 0, 2], [4, 2, 1], [4, 4, 2], [2, 3, 1], [5, 5, 2]]",8,0.002
121,6_hard_full,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [2, 2, 2], [3, 5, 1], [0, 0, 2], [2, 5, 1], [0, 2, 2], [4, 4, 1]]",9,0.002
122,6_hard_full,"[[0, 5, 1], [2, 3, 2], [2, 2, 1], [0, 3, 2], [4, 3, 1], [4, 2, 2]]",6,0.002
123,6_hard_full,"[[0, 3, 1], [3, 0, 2], [3, 2, 1], [2, 2, 2], [2, 4, 1], [4, 4, 2]]",6,0.002
124,6_hard_full,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [5, 3, 2], [5, 2, 1], [0, 0, 2], [3, 4, 1]]",7,0.002
125,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 3, 1], [2, 4, 2]]",6,0.002
126,6_hard_full,"[[0, 3, 1], [3, 0, 2], [3, 2, 1], [2, 2, 2], [4, 0, 1], [5, 2, 2], [0, 5, 1], [5, 3, 2]]",8,0.002
127,6_hard_full,"[[3, 2, 1], [2, 2, 2], [1, 5, 1], [0, 0, 2], [4, 4, 1], [0, 3, 2]]",6,0.002
128,6_hard_full,"[[3, 2, 1], [2, 4, 2], [4, 2, 1], [2, 2, 2], [1, 5, 1], [0, 2, 2], [2, 5, 1], [3, 5, 2], [5, 5, 1]]",9,0.002
129,6_hard_full,"[[0, 3, 1], [3, 0, 2], [3, 2, 1], [2, 2, 2], [2, 3, 1], [4, 4, 2]]",6,0.002
130,6_hard_full,"[[2, 3, 1], [5, 2, 2], [5, 3, 1], [4, 4, 2], [2, 2, 1]]",5,0.002
