,entropy,condition
422,1.2148896539491205,Full
423,1.2854157424107466,Full
424,1.1839720541255268,Full
425,1.5343904570397706,Full
426,1.2618975081062875,Full
427,1.3421367343601134,Full
428,1.2679409862309954,Full
429,1.2373273689502797,Full
430,1.2121794179055008,Full
431,1.1245438855273016,Full
432,1.5826879538876897,Full
433,1.4155971814641388,Full
434,1.1768831138366238,Full
435,1.2726191254719674,Full
436,1.1279709941621774,Full
437,1.2071590853004792,Full
438,1.2306836697709078,Full
439,1.290599260414447,Full
440,1.257798712338696,Full
441,1.1677782262488892,Full
442,1.195991669505554,Full
443,1.3227819020505507,Full
444,1.2395831529748664,Full
445,1.2745536298890838,Full
446,1.0582306253041878,Full
447,1.5301791614018356,Full
448,1.3158008954358855,Full
449,1.3627109180675345,Full
450,1.2673386840055088,Full
451,1.256447381469834,Full
452,1.1781622063131516,Full
453,1.2348595460063798,Full
454,0.906071405179236,Full
455,1.3368242054461872,Full
456,1.3123331655709856,Full
457,1.4122209708180653,Full
458,1.5098188420335157,Full
459,1.2973957938448033,Full
460,1.0349816301872523,Full
461,1.2970594806146098,Full
462,1.2658957011179015,Full
463,1.136719559961097,Full
464,1.2926295894236959,Full
465,1.2438526087826691,Full
466,1.3662608159195182,Full
467,1.1615439586356076,Full
468,1.5494779479405436,Full
469,1.172112173100438,Full
470,1.24994549866765,Full
471,1.3666519567684778,Full
472,1.3255783433664596,Full
473,1.3241403089228783,Full
474,1.314640446265129,Full
475,1.0570449273182034,Full
476,1.377253997812398,Full
477,1.2207848729993938,Full
478,1.2173036165995046,Full
479,1.2104963602975964,Full
480,1.2503344858347976,Full
481,1.1152383008999815,Full
482,1.1597508552413052,Full
483,1.2746412425741684,Full
484,1.3243083020961133,Full
485,1.3295502135949757,Full
486,1.1255034452199109,Full
487,1.0680867489055503,Full
488,1.1481954400754109,Full
489,1.1627393191910258,Full
490,1.195028576721381,Full
491,1.1570515130125234,Full
492,0.9936281777451953,Full
493,1.368640848866718,Full
494,1.1434989887205138,Full
495,1.367013480836734,Full
496,1.266351055545895,Full
497,1.2502257493961129,Full
498,1.0620618296407323,Full
499,1.1810927339361101,Full
500,1.4309753791684008,Full
501,1.3286793738618046,Full
502,1.0739150334101661,Full
503,1.1778922337704987,Full
