,board,continued,count,path_length,probability,state
59,6_easy_full,29.0,36.0,0,0.805555555556,"[[0 1 0 2 0 0]
 [0 2 1 1 0 1]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 0 2 2 0 0]
 [0 0 0 0 0 0]]"
60,6_easy_full,0.0,1.0,6,0.0,"[[0 1 2 2 0 0]
 [0 2 1 1 2 1]
 [1 2 2 2 1 0]
 [2 2 1 1 2 0]
 [1 1 2 2 1 1]
 [0 0 0 0 0 0]]"
61,6_easy_full,1.0,2.0,2,0.5,"[[0 1 0 2 0 0]
 [0 2 1 1 0 2]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 1 2 2 0 0]
 [0 0 0 0 0 0]]"
62,6_easy_full,1.0,1.0,6,1.0,"[[0 1 2 2 1 1]
 [0 2 1 1 2 1]
 [1 2 2 2 1 2]
 [2 0 1 1 2 0]
 [1 0 2 2 0 0]
 [0 0 0 0 0 0]]"
63,6_easy_full,1.0,1.0,5,1.0,"[[0 1 0 2 0 0]
 [0 2 1 1 1 2]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 0 2 2 0 0]
 [1 2 0 0 0 1]]"
64,6_easy_full,1.0,2.0,6,0.5,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 1]
 [2 1 1 1 2 2]
 [1 2 2 2 1 0]
 [0 0 2 0 0 0]]"
65,6_easy_full,0.0,1.0,5,0.0,"[[0 1 0 2 0 0]
 [0 2 1 1 2 1]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 1 2 2 2 1]
 [0 0 0 0 0 0]]"
66,6_easy_full,1.0,1.0,3,1.0,"[[0 1 2 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 1]
 [1 1 2 2 0 0]
 [0 0 0 0 0 0]]"
67,6_easy_full,2.0,3.0,5,0.666666666667,"[[0 1 2 2 0 1]
 [0 2 1 1 2 1]
 [1 2 2 2 1 0]
 [2 0 1 1 2 1]
 [1 0 2 2 0 0]
 [0 0 0 0 0 0]]"
68,6_easy_full,1.0,1.0,6,1.0,"[[0 1 0 2 0 0]
 [0 2 1 1 2 1]
 [1 2 2 2 1 1]
 [2 0 1 1 2 0]
 [1 2 2 2 1 0]
 [0 0 0 2 0 0]]"
69,6_easy_full,1.0,1.0,6,1.0,"[[0 1 2 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 1]
 [1 0 2 2 0 2]
 [0 0 0 2 1 1]]"
70,6_easy_full,0.0,1.0,2,0.0,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 0 2 2 1 0]
 [0 0 0 0 2 1]]"
