,board,heuristic,likelihoods_block,likelihoods_density,likelihoods_interaction,userid
145,6_hard_pruned,density,-3.39863933224,-2.84175588842,-3.46162789645,43e64821
146,6_hard_pruned,interaction,-1.19327057953,-2.74364169116,-0.871812090328,44a65230
147,6_hard_pruned,interaction,-0.826947785224,-2.57464472827,-0.588709248576,45b64f9c
148,6_hard_pruned,interaction,-1.1464462833,-2.27737534424,-0.840473519864,49c72e9b
149,6_hard_pruned,blocking,-1.18970521903,-2.28878401844,-1.41162649396,4bca7fc9
150,6_hard_pruned,interaction,-2.20197190285,-2.42377190883,-1.83791328806,4ca649a6
151,6_hard_pruned,blocking,-2.53418152164,-2.7798050446,-2.55286464466,4ca65156
152,6_hard_pruned,density,-2.68536536368,-2.16994157321,-2.51333176762,4cb651bd
153,6_hard_pruned,blocking,-2.30301852397,-2.36138940556,-2.45071517888,4ee64c2a
154,6_hard_pruned,density,-4.0166382581,-2.5342628802,-4.22847185291,53a654e5
155,6_hard_pruned,blocking,-2.15207913427,-2.55588419473,-2.15381361453,53d65632
156,6_hard_pruned,blocking,-1.95732012033,-2.35981875002,-1.96428699938,5adff9a5
157,6_hard_pruned,interaction,-1.66618882435,-2.48614239297,-1.63812407687,5dbfe29c
158,6_hard_pruned,density,-3.53266617214,-2.6465881467,-3.4242415352,5fa651bb
159,6_hard_pruned,density,-3.38412672657,-2.59842129797,-3.42688178155,61e65cc1
160,6_hard_pruned,density,-6.35378955354,-4.73485304461,-6.17458966194,65afea1f
161,6_hard_pruned,density,-3.76876964327,-2.22517675701,-3.60098443236,67f64a50
162,6_hard_pruned,density,-2.76640717725,-2.46597706654,-2.97520898197,68c659b8
163,6_hard_pruned,blocking,-0.82791236686,-2.21315479946,-0.97817910739,6bb10472
164,6_hard_pruned,interaction,-2.24984844497,-2.46910710998,-2.24339357389,6dd103e2
165,6_hard_pruned,blocking,-1.45278388095,-2.5778849788,-2.13399490414,74e11ee8
166,6_hard_pruned,interaction,-1.5148513108,-2.43912190676,-1.48206891172,7dd704e0
167,6_hard_pruned,blocking,-0.970201210232,-2.28637509982,-1.02877516039,81c11c9f
168,6_hard_pruned,interaction,-1.43236917503,-2.36903763569,-1.17491760731,83c64bf9
169,6_hard_pruned,density,-2.39025702517,-2.26963710172,-2.45819763051,92a74a76
