time_before,time_before_sec
177,0.177
181,0.181
7447,7.447
11869,11.869
5804,5.804
534,0.534
7649,7.649
4437,4.437
1603,1.603
2330,2.33
991,0.991
228,0.228
1471,1.471
3823,3.823
5417,5.417
708,0.708
168,0.168
9626,9.626
3107,3.107
172,0.172
160,0.16
152,0.152
5493,5.493
213,0.213
399,0.399
531,0.531
4303,4.303
12797,12.797
5455,5.455
694,0.694
843,0.843
1534,1.534
3837,3.837
2407,2.407
231,0.231
184,0.184
207,0.207
192,0.192
183,0.183
3273,3.273
217,0.217
181,0.181
210,0.21
216,0.216
192,0.192
6357,6.357
623,0.623
160,0.16
230,0.23
184,0.184
194,0.194
231,0.231
255,0.255
247,0.247
6428,6.428
232,0.232
192,0.192
159,0.159
185,0.185
182,0.182
1469,1.469
511,0.511
208,0.208
215,0.215
192,0.192
192,0.192
215,0.215
256,0.256
3500,3.5
208,0.208
175,0.175
192,0.192
191,0.191
185,0.185
192,0.192
223,0.223
2716,2.716
431,0.431
2379,2.379
272,0.272
599,0.599
369,0.369
1055,1.055
2843,2.843
191,0.191
168,0.168
192,0.192
167,0.167
12667,12.667
1739,1.739
1372,1.372
1300,1.3
3132,3.132
270,0.27
225,0.225
183,0.183
183,0.183
169,0.169
175,0.175
1904,1.904
1096,1.096
156,0.156
130,0.13
165,0.165
5447,5.447
200,0.2
175,0.175
150,0.15
5955,5.955
140,0.14
126,0.126
129,0.129
136,0.136
133,0.133
2279,2.279
150,0.15
122,0.122
143,0.143
152,0.152
147,0.147
150,0.15
816,0.816
154,0.154
118,0.118
132,0.132
146,0.146
151,0.151
4255,4.255
3660,3.66
146,0.146
130,0.13
145,0.145
2049,2.049
168,0.168
122,0.122
147,0.147
1882,1.882
149,0.149
131,0.131
139,0.139
119,0.119
1727,1.727
162,0.162
3080,3.08
167,0.167
130,0.13
137,0.137
154,0.154
2586,2.586
186,0.186
2943,2.943
153,0.153
139,0.139
11050,11.05
3645,3.645
1990,1.99
236,0.236
197,0.197
269,0.269
528,0.528
2934,2.934
500,0.5
838,0.838
659,0.659
397,0.397
26672,26.672
519,0.519
401,0.401
421,0.421
368,0.368
491,0.491
942,0.942
6123,6.123
1868,1.868
305,0.305
479,0.479
337,0.337
1972,1.972
1501,1.501
398,0.398
377,0.377
406,0.406
2640,2.64
5025,5.025
6230,6.23
2430,2.43
4478,4.478
347,0.347
627,0.627
727,0.727
27063,27.063
5759,5.759
10268,10.268
8749,8.749
531,0.531
2484,2.484
5382,5.382
7365,7.365
3123,3.123
9507,9.507
383,0.383
19628,19.628
190,0.19
1475,1.475
463,0.463
1188,1.188
191,0.191
232,0.232
20224,20.224
200,0.2
8107,8.107
159,0.159
1891,1.891
21746,21.746
1738,1.738
13683,13.683
294,0.294
193,0.193
174,0.174
5898,5.898
4071,4.071
16955,16.955
168,0.168
185,0.185
168,0.168
279,0.279
12450,12.45
4307,4.307
383,0.383
9057,9.057
1767,1.767
754,0.754
502,0.502
558,0.558
1588,1.588
7325,7.325
28889,28.889
17158,17.158
6566,6.566
2580,2.58
178,0.178
844,0.844
792,0.792
3113,3.113
862,0.862
625,0.625
514,0.514
521,0.521
8196,8.196
674,0.674
570,0.57
15592,15.592
616,0.616
5117,5.117
536,0.536
527,0.527
1075,1.075
18019,18.019
616,0.616
571,0.571
530,0.53
1539,1.539
622,0.622
379,0.379
211,0.211
589,0.589
4377,4.377
1761,1.761
425,0.425
162,0.162
3099,3.099
1065,1.065
149,0.149
152,0.152
274,0.274
423,0.423
2832,2.832
1026,1.026
595,0.595
931,0.931
3499,3.499
577,0.577
558,0.558
762,0.762
10976,10.976
1154,1.154
859,0.859
2075,2.075
993,0.993
459,0.459
282,0.282
4996,4.996
171,0.171
491,0.491
181,0.181
171,0.171
4833,4.833
241,0.241
194,0.194
212,0.212
561,0.561
3386,3.386
5525,5.525
4715,4.715
2518,2.518
1190,1.19
320,0.32
368,0.368
382,0.382
368,0.368
592,0.592
2338,2.338
1731,1.731
1876,1.876
5747,5.747
1532,1.532
1199,1.199
4178,4.178
1272,1.272
5793,5.793
992,0.992
216,0.216
167,0.167
