userid,board_name,board_size,board_type,condition,blocking_score,win_score,heuristic,prob_move,log_move,rank_move,move_number,move_number_in_path,path_number
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.49617257636028106,-0.700831476562732,0.0,49,4,12
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.15222555036920668,-1.8823919739958799,0.0,50,0,12
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.10652989667055424,-2.2393296133158116,2.0,50,0,12
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.2060630100870005,-1.5795732827537945,1.0,51,1,13
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.2060630100870005,-1.5795732827537945,1.0,51,1,13
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.015709807215537986,-4.153470098238789,6.0,52,2,13
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.06225288705178402,-2.77655036637085,4.0,52,2,13
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.0012061438753644762,-6.72032688815391,8.0,53,3,13
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.0012061438753644762,-6.72032688815391,8.0,53,3,13
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.6247175197322665,-0.47045569984262503,0.0,54,4,13
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.587985062729469,-0.5310537349274962,0.0,54,4,13
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.2060630100870005,-1.5795732827537945,1.0,55,1,13
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.2060630100870005,-1.5795732827537945,1.0,55,1,13
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.015709807215537986,-4.153470098238789,6.0,56,2,13
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.06225288705178402,-2.77655036637085,4.0,56,2,13
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.0065667833214288155,-5.025731167379503,3.0,57,3,13
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.0065667833214288155,-5.025731167379503,3.0,57,3,13
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.15222555036920668,-1.8823919739958799,0.0,58,0,13
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.10652989667055424,-2.2393296133158116,2.0,58,0,13
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.2060630100870005,-1.5795732827537945,1.0,59,1,14
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.2060630100870005,-1.5795732827537945,1.0,59,1,14
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.015477642576884717,-4.16835871073254,7.0,60,2,14
