,userid,solved,board_name,board_size,board_type,condition,action
285,53d65632,solvedCorrect,6_hard_pruned,6,hard,pruned,25
286,53d72c88,wrong,10_medium_full,10,medium,full,1
287,53e6ac01,wrong,10_easy_pruned,10,easy,pruned,23
288,54d4fd9d,wrong,10_medium_full,10,medium,full,94
289,54f4bf95,validatedCorrect,6_hard_full,6,hard,full,11
290,54f6b927,wrong,10_medium_full,10,medium,full,25
291,55a59255,wrong,6_easy_full,6,easy,full,3
292,55a709fd,wrong,6_easy_pruned,6,easy,pruned,21
293,55c68fc5,wrong,10_easy_full,10,easy,full,85
294,55e1abb3,validatedCorrect,10_easy_full,10,easy,full,76
295,55f5fe54,wrong,6_hard_full,6,hard,full,9
296,56b1504d,solvedCorrect,10_medium_pruned,10,medium,pruned,3
297,56b584cf,validatedCorrect,10_hard_pruned,10,hard,pruned,14
298,56e6f5d2,wrong,10_easy_full,10,easy,full,30
299,57a4bf4b,validatedCorrect,6_hard_full,6,hard,full,10
300,57aedfe7,wrong,10_hard_full,10,hard,full,7
301,57f14696,wrong,10_easy_full,10,easy,full,31
302,58d72aaf,wrong,10_easy_full,10,easy,full,33
303,58e1a94c,validatedCorrect,10_easy_pruned,10,easy,pruned,9
304,58e72ee8,validatedCorrect,6_easy_pruned,6,easy,pruned,20
305,59d4e268,wrong,6_hard_pruned,6,hard,pruned,79
306,59d51c4c,wrong,6_easy_full,6,easy,full,35
307,59e1b4a9,wrong,10_easy_full,10,easy,full,79
308,59f235f8,validatedCorrect,10_easy_pruned,10,easy,pruned,6
309,5aa6aa9a,wrong,10_easy_pruned,10,easy,pruned,22
310,5ac2feee,validatedCorrect,10_medium_pruned,10,medium,pruned,8
311,5acfeabc,validatedCorrect,6_easy_full,6,easy,full,7
312,5adff9a5,wrong,6_hard_pruned,6,hard,pruned,22
313,5aebf3c2,wrong,10_easy_pruned,10,easy,pruned,19
314,5bc4f225,validatedCorrect,10_hard_pruned,10,hard,pruned,14
315,5cd6bb63,wrong,10_easy_full,10,easy,full,45
316,5ce612bc,solvedCorrect,6_hard_full,6,hard,full,14
317,5dbfe29c,wrong,6_hard_pruned,6,hard,pruned,13
318,5dd4c056,wrong,6_hard_full,6,hard,full,7
319,5dd4e3a2,wrong,6_hard_pruned,6,hard,pruned,12
320,5de11557,validatedCorrect,6_easy_full,6,easy,full,47
321,5de15d4b,wrong,10_easy_pruned,10,easy,pruned,1
322,5eb14b17,solvedCorrect,10_medium_full,10,medium,full,34
323,5edbbf73,wrong,6_hard_full,6,hard,full,13
324,5ee23430,validatedCorrect,6_easy_pruned,6,easy,pruned,79
325,5efbf191,validatedCorrect,10_medium_pruned,10,medium,pruned,15
326,5fa1b8b9,wrong,10_easy_full,10,easy,full,7
327,5fa651bb,wrong,6_hard_pruned,6,hard,pruned,28
328,5fd6115c,wrong,6_hard_full,6,hard,full,1
329,60e580ea,wrong,6_easy_pruned,6,easy,pruned,1
330,60e6bcce,wrong,10_easy_pruned,10,easy,pruned,53
331,61c6d297,solvedCorrect,10_medium_pruned,10,medium,pruned,22
332,61d43874,wrong,10_medium_full,10,medium,full,1
333,61e65cc1,wrong,6_hard_pruned,6,hard,pruned,73
334,62b5140d,wrong,6_easy_pruned,6,easy,pruned,1
335,62e2950a,validatedCorrect,6_easy_pruned,6,easy,pruned,21
336,62e6aa66,wrong,10_hard_pruned,10,hard,pruned,36
337,63a146c7,wrong,10_medium_full,10,medium,full,30
338,63c4bfcb,wrong,6_hard_full,6,hard,full,9
339,63e5efe1,validatedCorrect,6_hard_full,6,hard,full,17
340,63e6cf13,solvedCorrect,10_medium_pruned,10,medium,pruned,23
341,64e6ee98,wrong,10_hard_full,10,hard,full,1
342,64f61543,wrong,6_hard_full,6,hard,full,11
343,65afea1f,wrong,6_hard_pruned,6,hard,pruned,7
