,fitted_heuristic,log_likelihood,userid
569,non-linear,-3.48094574387,c0dfd341
570,blocking,-2.87765219654,c6aad6d0
571,blocking,-2.30295486369,c8c4f85a
572,non-linear,-3.67738405862,cccfd3ac
573,blocking,-2.8994516486,cff10c9a
574,non-linear,-3.92593499385,d0e6841e
575,non-linear,-3.3815722054,d4cbca4e
576,blocking,-2.27334858334,d6c10e9a
577,non-linear,-2.99983587957,dacfd3d4
578,blocking,-2.28784314174,daf74d3f
579,non-linear,-3.4156492757,e6abcdb2
580,blocking,-2.93907091292,e9bbf006
581,blocking,-2.16625892168,f1fbe0de
582,blocking,-4.09247953478,f5dac888
583,non-linear,-3.1520358993,fcf4f6d3
584,non-linear,-3.31697010867,fedbec09
585,density,-4.0306238439,2fd101b0
586,interaction,-1.21207180275,39afd1eb
587,non-linear,-3.6024780001,3ab7160d
588,blocking,-3.61421938203,43dbc360
589,non-linear,-3.3315465615,46c12352
590,non-linear,-3.28039531017,47dbc824
591,blocking,-2.049998613,4eb4f441
592,density,-3.73973566819,4ecfea32
593,non-linear,-2.49438574456,4fb692a0
594,blocking,-3.1525677903,5aebf3c2
595,linear,-3.48670912835,76bfdf0b
596,density,-3.69967233444,89cbfdf9
597,blocking,-2.86510380354,8defd34b
598,blocking,-2.56536663014,92f69945
599,non-linear,-2.98257168528,a7bfd4fc
600,blocking,-2.02542148716,acb11b17
601,blocking,-2.13159513687,b9e10f8b
602,non-linear,-3.64249013504,c3dfd812
603,interaction,-1.84581879156,c7c6f18d
604,density,-3.66396498427,cdc50047
605,blocking,-2.66699334974,ceafe698
606,non-linear,-1.4892269905,cec10cc8
607,non-linear,-4.08757934712,d5aff345
608,density,-3.08112103207,e2bbe5e1
609,non-linear,-2.60435416804,eec719ce
610,blocking,-2.9685388865,f8efd664
611,interaction,-2.18513914944,fdc4f07b
612,interaction,-1.92588452925,18c75602
613,blocking,-2.31249487372,33bbca9a
614,interaction,-2.46964070337,34d51755
615,blocking,-2.22866424504,36ebe4da
616,blocking,-2.57573650632,38cbc1f6
617,density,-3.43714177924,39b67ab6
618,blocking,-2.54464275878,48ec02bc
619,blocking,-2.44687663978,4cb73467
620,blocking,-2.49074809224,4cffe209
621,blocking,-2.85864432167,4de4f27d
622,blocking,-2.86624290675,54d4fd9d
623,blocking,-3.16008691657,54f6b927
624,blocking,-2.12463340681,72e6961c
625,density,-3.48008759354,76abf978
626,blocking,-2.06896046088,81a10227
627,non-linear,-3.9145453038,81a6c621
628,blocking,-2.49063367364,85e50169
629,blocking,-1.68172357174,89fbc220
630,blocking,-2.4029294062,93c70cc1
631,blocking,-2.16461612903,96abd246
632,interaction,-1.67041240488,9ea4fe94
633,blocking,-3.08759407612,a0a4f4ea
634,density,-2.2827554079,a5e116c5
635,blocking,-2.39449104602,a7b511d6
636,blocking,-2.74593539349,b0d5043d
637,interaction,-2.65656501737,b3dbd892
638,blocking,-2.27350927928,b9bbc96c
639,interaction,-2.1887703834,bca124ea
640,interaction,-2.56735136761,bfabcc7d
641,blocking,-2.45641572799,c6c100be
642,interaction,-2.68818292322,e0a10efa
643,blocking,-3.17405024431,e3a4effd
644,blocking,-1.78751041426,e5b69f84
645,blocking,-2.06764607029,eaaff660
646,blocking,-2.16178906534,f8e11654
647,blocking,-1.72237238353,19b680e2
648,blocking,-3.41542861549,29e72a67
649,interaction,-1.70681148415,2bd72f3e
650,blocking,-2.50534021291,33a74451
651,density,-2.50162433309,3ed1161d
652,interaction,-0.580053443142,42f75809
653,blocking,-1.64648816312,43c516b5
654,interaction,-2.99654791308,43cad2c3
655,blocking,-1.68537541766,4fba815c
656,blocking,-2.16786782055,5efbf191
657,blocking,-1.66157467353,6db76212
658,blocking,-1.59080706601,71ebc315
659,blocking,-3.19104839265,76f6a1e9
660,blocking,-2.7872297956,93ebead7
661,blocking,-1.42307739564,94a4f5d4
662,blocking,-1.35773016209,95e69707
663,blocking,-2.20581448892,9ba1165f
664,interaction,-2.11143303755,9da51cdd
665,blocking,-2.78600613604,9dd11e8e
666,blocking,-2.03617491207,a9cbcabb
667,blocking,-2.1179286264,abd12ee2
668,blocking,-2.53392646906,b0c6f3a8
669,blocking,-1.13184534219,bdd7483e
670,blocking,-1.64135040518,cefc077d
671,blocking,-2.8550947107,d0f687f1
672,interaction,-1.27619461466,d1bbc1e6
