iteration,board,shutter_size,max_moves,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
7,6_hard_full,3,50,shutter,blocking,False,True,2,square,2,True,32,27,0,"[[0.03333333333333333, -2e-05, 0.03333333333333333, 0.06666666666666667, -1e-05, 0.0], [0.06666666666666667, -2e-05, -1e-05, -2e-05, 0.06666666666666667, 0.03333333333333333], [0.03333333333333333, -1e-05, 0.0, 0.1, 0.0, 0.0], [0.0, -1e-05, 0.06666666666666667, -2e-05, 0.1, 0.03333333333333333], [0.06666666666666667, -1e-05, 0.03333333333333333, 0.13333333333333333, 0.03333333333333333, 0.03333333333333333], [0.03333333333333333, -2e-05, 0.0, 0.03333333333333333, -2e-05, 0.0]]"
7,6_hard_pruned,3,50,shutter,blocking,False,True,2,square,2,True,41,6,0,"[[0.0, -2e-05, 0.0, -1e-05, -1e-05, 0.03125], [0.09375, -2e-05, -1e-05, -2e-05, 0.09375, 0.0625], [0.03125, -1e-05, 0.09375, 0.09375, 0.03125, 0.03125], [-2e-05, -1e-05, 0.125, -2e-05, 0.09375, 0.0], [0.0, -1e-05, 0.03125, 0.125, 0.0, 0.03125], [0.03125, -2e-05, 0.0, 0.0, -2e-05, 0.0]]"
8,6_easy_full,3,50,shutter,blocking,False,True,2,square,2,True,50,24,1,"[[0.15625, -1e-05, 0.15625, -2e-05, 0.1875, 0.125], [0.09375, -2e-05, -1e-05, -1e-05, 0.125, 0.03125], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0625], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, 0.03125], [-1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.03125], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
8,6_easy_pruned,3,50,shutter,blocking,False,True,2,square,2,True,17,12,1,"[[0.08333333333333333, -1e-05, -2e-05, -2e-05, 0.16666666666666666, 0.16666666666666666], [0.08333333333333333, -2e-05, -1e-05, -1e-05, 0.08333333333333333, 0.08333333333333333], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.08333333333333333], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.08333333333333333, 0.16666666666666666], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
8,6_hard_full,3,50,shutter,blocking,False,True,2,square,2,True,50,3,0,"[[0.046511627906976744, -2e-05, 0.023255813953488372, 0.09302325581395349, -1e-05, 0.06976744186046512], [0.046511627906976744, -2e-05, -1e-05, -2e-05, 0.13953488372093023, 0.046511627906976744], [0.046511627906976744, -1e-05, 0.023255813953488372, 0.046511627906976744, 0.09302325581395349, 0.023255813953488372], [0.023255813953488372, -1e-05, 0.023255813953488372, -2e-05, 0.06976744186046512, 0.0], [0.023255813953488372, -1e-05, 0.046511627906976744, 0.046511627906976744, 0.046511627906976744, 0.023255813953488372], [0.0, -2e-05, 0.0, 0.0, -2e-05, 0.0]]"
8,6_hard_pruned,3,50,shutter,blocking,False,True,2,square,2,True,26,11,0,"[[0.0, -2e-05, 0.05263157894736842, -1e-05, -1e-05, 0.10526315789473684], [0.0, -2e-05, -1e-05, -2e-05, 0.05263157894736842, 0.05263157894736842], [0.0, -1e-05, 0.0, 0.05263157894736842, 0.10526315789473684, 0.15789473684210525], [-2e-05, -1e-05, 0.05263157894736842, -2e-05, 0.21052631578947367, 0.05263157894736842], [0.0, -1e-05, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842], [0.0, -2e-05, 0.0, 0.0, -2e-05, 0.0]]"
9,6_easy_full,3,50,shutter,blocking,False,True,2,square,2,True,26,12,1,"[[0.05555555555555555, -1e-05, 0.05555555555555555, -2e-05, 0.1111111111111111, 0.16666666666666666], [0.0, -2e-05, -1e-05, -1e-05, 0.05555555555555555, 0.05555555555555555], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.1111111111111111], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, 0.16666666666666666], [-1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.16666666666666666], [0.0, 0.0, 0.0, 0.0, 0.0, 0.05555555555555555]]"
9,6_easy_pruned,3,50,shutter,blocking,False,True,2,square,2,True,13,12,1,"[[0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.1111111111111111], [0.0, -2e-05, -1e-05, -1e-05, 0.0, 0.1111111111111111], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.1111111111111111], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.1111111111111111, 0.3333333333333333], [0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.1111111111111111]]"
9,6_hard_full,3,50,shutter,blocking,False,True,2,square,2,True,50,30,0,"[[0.023255813953488372, -2e-05, 0.046511627906976744, 0.06976744186046512, -1e-05, 0.023255813953488372], [0.0, -2e-05, -1e-05, -2e-05, 0.023255813953488372, 0.06976744186046512], [0.046511627906976744, -1e-05, 0.0, 0.0, 0.023255813953488372, 0.09302325581395349], [0.046511627906976744, -1e-05, 0.046511627906976744, -2e-05, 0.09302325581395349, 0.046511627906976744], [0.046511627906976744, -1e-05, 0.09302325581395349, 0.046511627906976744, 0.023255813953488372, 0.023255813953488372], [0.0, -2e-05, 0.023255813953488372, 0.046511627906976744, -2e-05, 0.046511627906976744]]"
9,6_hard_pruned,3,50,shutter,blocking,False,True,2,square,2,True,40,6,0,"[[0.0, -2e-05, 0.03125, -1e-05, -1e-05, 0.03125], [0.09375, -2e-05, -1e-05, -2e-05, 0.09375, 0.03125], [0.0, -1e-05, 0.03125, 0.09375, 0.03125, 0.03125], [-2e-05, -1e-05, 0.15625, -2e-05, 0.09375, 0.0], [0.0, -1e-05, 0.03125, 0.125, 0.0, 0.0625], [0.03125, -2e-05, 0.0, 0.03125, -2e-05, 0.0]]"
10,6_easy_full,3,50,shutter,blocking,False,True,2,square,2,True,50,24,1,"[[0.09090909090909091, -1e-05, 0.030303030303030304, -2e-05, 0.15151515151515152, 0.12121212121212122], [0.12121212121212122, -2e-05, -1e-05, -1e-05, 0.12121212121212122, 0.06060606060606061], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.06060606060606061], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, 0.030303030303030304], [-1e-05, 0.0, -2e-05, -2e-05, 0.030303030303030304, 0.09090909090909091], [0.0, 0.0, 0.0, 0.0, 0.030303030303030304, 0.06060606060606061]]"
10,6_easy_pruned,3,50,shutter,blocking,False,True,2,square,2,True,20,12,1,"[[0.15384615384615385, -1e-05, -2e-05, -2e-05, 0.07692307692307693, 0.23076923076923078], [0.07692307692307693, -2e-05, -1e-05, -1e-05, 0.15384615384615385, 0.07692307692307693], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.07692307692307693], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.07692307692307693, -2e-05, -2e-05, 0.0, 0.07692307692307693], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
10,6_hard_full,3,50,shutter,blocking,False,True,2,square,2,True,50,28,0,"[[0.0625, -2e-05, 0.041666666666666664, 0.041666666666666664, -1e-05, 0.020833333333333332], [0.0, -2e-05, -1e-05, -2e-05, 0.041666666666666664, 0.041666666666666664], [0.10416666666666667, -1e-05, 0.020833333333333332, 0.041666666666666664, 0.020833333333333332, 0.0625], [0.08333333333333333, -1e-05, 0.0, -2e-05, 0.020833333333333332, 0.020833333333333332], [0.08333333333333333, -1e-05, 0.10416666666666667, 0.020833333333333332, 0.0, 0.020833333333333332], [0.0625, -2e-05, 0.020833333333333332, 0.0625, -2e-05, 0.0]]"
10,6_hard_pruned,3,50,shutter,blocking,False,True,2,square,2,True,30,34,0,"[[0.045454545454545456, -2e-05, 0.13636363636363635, -1e-05, -1e-05, 0.13636363636363635], [0.045454545454545456, -2e-05, -1e-05, -2e-05, 0.18181818181818182, 0.045454545454545456], [0.0, -1e-05, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456], [-2e-05, -1e-05, 0.09090909090909091, -2e-05, 0.09090909090909091, 0.0], [0.0, -1e-05, 0.0, 0.0, 0.0, 0.0], [0.0, -2e-05, 0.0, 0.045454545454545456, -2e-05, 0.0]]"
11,6_easy_full,3,50,shutter,blocking,False,True,2,square,2,True,32,24,1,"[[0.047619047619047616, -1e-05, 0.047619047619047616, -2e-05, 0.047619047619047616, 0.09523809523809523], [0.047619047619047616, -2e-05, -1e-05, -1e-05, 0.047619047619047616, 0.09523809523809523], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.09523809523809523], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, 0.047619047619047616], [-1e-05, 0.0, -2e-05, -2e-05, 0.09523809523809523, 0.14285714285714285], [0.0, 0.0, 0.0, 0.0, 0.047619047619047616, 0.14285714285714285]]"
