position,solved,time_rel,userid,prev_action,board_name,player,time_between,time,time_prev_move,move_number,first_move_in_path,move_number_in_path,condition
0_3,validatedCorrect,119183,32ebf2e8,click,logs/6_hard_full_dec19,1,5.376,1513616510686,1513616505310,17,False,3,"6,hard,full"
3_0,validatedCorrect,121974,32ebf2e8,click,logs/6_hard_full_dec19,2,2.791,1513616513477,1513616510686,18,False,4,"6,hard,full"
4_3,validatedCorrect,124670,32ebf2e8,click,logs/6_hard_full_dec19,1,2.696,1513616516173,1513616513477,19,False,5,"6,hard,full"
1_0,validatedCorrect,131486,32ebf2e8,click,logs/6_hard_full_dec19,2,6.816,1513616522989,1513616516173,20,False,6,"6,hard,full"
2_0,validatedCorrect,132128,32ebf2e8,click,logs/6_hard_full_dec19,1,0.642,1513616523631,1513616522989,21,False,7,"6,hard,full"
4_4,validatedCorrect,142430,32ebf2e8,click,logs/6_hard_full_dec19,2,10.302,1513616533933,1513616523631,22,False,8,"6,hard,full"
0_3,validatedCorrect,152815,32ebf2e8,reset,logs/6_hard_full_dec19,1,4.376,1513616544318,1513616539942,23,True,1,"6,hard,full"
3_0,validatedCorrect,155159,32ebf2e8,click,logs/6_hard_full_dec19,2,2.344,1513616546662,1513616544318,24,False,2,"6,hard,full"
0_2,validatedCorrect,162271,32ebf2e8,click,logs/6_hard_full_dec19,1,7.112,1513616553774,1513616546662,25,False,3,"6,hard,full"
0_5,validatedCorrect,163443,32ebf2e8,click,logs/6_hard_full_dec19,2,1.172,1513616554946,1513616553774,26,False,4,"6,hard,full"
2_2,validatedCorrect,165045,32ebf2e8,click,logs/6_hard_full_dec19,1,1.602,1513616556548,1513616554946,27,False,5,"6,hard,full"
3_2,validatedCorrect,168172,32ebf2e8,click,logs/6_hard_full_dec19,2,3.127,1513616559675,1513616556548,28,False,6,"6,hard,full"
2_3,validatedCorrect,175675,32ebf2e8,click,logs/6_hard_full_dec19,1,7.503,1513616567178,1513616559675,29,False,7,"6,hard,full"
2_0,validatedCorrect,177535,32ebf2e8,click,logs/6_hard_full_dec19,2,1.86,1513616569038,1513616567178,30,False,8,"6,hard,full"
2_4,validatedCorrect,181170,32ebf2e8,click,logs/6_hard_full_dec19,1,3.635,1513616572673,1513616569038,31,False,9,"6,hard,full"
3_0,validatedCorrect,54462,38ebbf94,,logs/6_hard_full_dec19,1,54.435,1513603203060,1513603148625,1,True,1,"6,hard,full"
0_3,validatedCorrect,58793,38ebbf94,click,logs/6_hard_full_dec19,2,4.331,1513603207391,1513603203060,2,False,2,"6,hard,full"
0_3,validatedCorrect,64299,38ebbf94,reset,logs/6_hard_full_dec19,1,1.102,1513603212897,1513603211795,3,True,1,"6,hard,full"
3_0,validatedCorrect,66949,38ebbf94,click,logs/6_hard_full_dec19,2,2.65,1513603215547,1513603212897,4,False,2,"6,hard,full"
0_2,validatedCorrect,70289,38ebbf94,click,logs/6_hard_full_dec19,1,3.34,1513603218887,1513603215547,5,False,3,"6,hard,full"
0_5,validatedCorrect,72897,38ebbf94,click,logs/6_hard_full_dec19,2,2.608,1513603221495,1513603218887,6,False,4,"6,hard,full"
2_2,validatedCorrect,75561,38ebbf94,click,logs/6_hard_full_dec19,1,2.664,1513603224159,1513603221495,7,False,5,"6,hard,full"
3_2,validatedCorrect,79742,38ebbf94,click,logs/6_hard_full_dec19,2,4.181,1513603228340,1513603224159,8,False,6,"6,hard,full"
4_2,validatedCorrect,93066,38ebbf94,click,logs/6_hard_full_dec19,1,13.324,1513603241664,1513603228340,9,False,7,"6,hard,full"
2_0,validatedCorrect,98142,38ebbf94,click,logs/6_hard_full_dec19,2,5.076,1513603246740,1513603241664,10,False,8,"6,hard,full"
4_0,validatedCorrect,100222,38ebbf94,click,logs/6_hard_full_dec19,1,2.08,1513603248820,1513603246740,11,False,9,"6,hard,full"
4_3,validatedCorrect,102108,38ebbf94,click,logs/6_hard_full_dec19,2,1.886,1513603250706,1513603248820,12,False,10,"6,hard,full"
2_3,validatedCorrect,104472,38ebbf94,click,logs/6_hard_full_dec19,1,2.364,1513603253070,1513603250706,13,False,11,"6,hard,full"
2_4,validatedCorrect,108760,38ebbf94,click,logs/6_hard_full_dec19,2,4.288,1513603257358,1513603253070,14,False,12,"6,hard,full"
0_2,validatedCorrect,121153,38ebbf94,reset,logs/6_hard_full_dec19,1,7.315,1513603269751,1513603262436,15,True,1,"6,hard,full"
2_2,validatedCorrect,123946,38ebbf94,click,logs/6_hard_full_dec19,2,2.793,1513603272544,1513603269751,16,False,2,"6,hard,full"
0_3,validatedCorrect,131808,38ebbf94,click,logs/6_hard_full_dec19,1,7.862,1513603280406,1513603272544,17,False,3,"6,hard,full"
2_2,validatedCorrect,137303,38ebbf94,reset,logs/6_hard_full_dec19,1,1.108,1513603285901,1513603284793,18,True,1,"6,hard,full"
0_2,validatedCorrect,140882,38ebbf94,click,logs/6_hard_full_dec19,2,3.579,1513603289480,1513603285901,19,False,2,"6,hard,full"
0_3,validatedCorrect,141951,38ebbf94,click,logs/6_hard_full_dec19,1,1.069,1513603290549,1513603289480,20,False,3,"6,hard,full"
3_0,validatedCorrect,145999,38ebbf94,click,logs/6_hard_full_dec19,2,4.048,1513603294597,1513603290549,21,False,4,"6,hard,full"
2_2,validatedCorrect,150033,38ebbf94,reset,logs/6_hard_full_dec19,1,1.351,1513603298631,1513603297280,22,True,1,"6,hard,full"
3_2,validatedCorrect,154631,38ebbf94,click,logs/6_hard_full_dec19,2,4.598,1513603303229,1513603298631,23,False,2,"6,hard,full"
0_3,validatedCorrect,161953,38ebbf94,click,logs/6_hard_full_dec19,1,7.322,1513603310551,1513603303229,24,False,3,"6,hard,full"
3_0,validatedCorrect,165177,38ebbf94,click,logs/6_hard_full_dec19,2,3.224,1513603313775,1513603310551,25,False,4,"6,hard,full"
0_2,validatedCorrect,170752,38ebbf94,click,logs/6_hard_full_dec19,1,5.575,1513603319350,1513603313775,26,False,5,"6,hard,full"
0_2,validatedCorrect,179834,38ebbf94,reset,logs/6_hard_full_dec19,1,3.783,1513603328432,1513603324649,27,True,1,"6,hard,full"
2_2,validatedCorrect,181037,38ebbf94,click,logs/6_hard_full_dec19,2,1.203,1513603329635,1513603328432,28,False,2,"6,hard,full"
0_3,validatedCorrect,200140,38ebbf94,click,logs/6_hard_full_dec19,1,19.103,1513603348738,1513603329635,29,False,3,"6,hard,full"
