board_name,heuristic,path,move_number_in_path,prob_path
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1]]",17,6.45e-27
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2]]",16,3.35e-25
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1]]",15,9e-24
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2]]",14,9e-20
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1]]",13,2.02e-18
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2]]",12,2.02e-18
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1]]",11,4.7700000000000003e-17
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2]]",10,1.34e-15
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1]]",9,4.66e-13
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2]]",8,3.4900000000000004e-11
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1]]",7,1.1299999999999999e-08
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2]]",6,8.790000000000001e-07
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1]]",5,0.000243723
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2]]",4,0.01422683
