userid,board_name,solved,explore_time,size,type,condition,exploit_time,explore_time_sec,id_fake
89cbc391,10_easy_full,wrong,14244,10,easy,full,7731,14.244,730
94abbfb2,6_easy_pruned,validatedCorrect,14245,6,easy,pruned,2651,14.245,731
e2bbe5e1,10_easy_pruned,wrong,14247,10,easy,pruned,8821,14.247,732
edf12206,10_hard_full,validatedCorrect,14280,10,hard,full,0,14.28,733
11dfe866,6_easy_pruned,validatedCorrect,14300,6,easy,pruned,10187,14.3,734
69bad0fe,6_hard_full,wrong,14308,6,hard,full,4667,14.308,735
6cc4f8b6,10_easy_full,wrong,14311,10,easy,full,11590,14.311,736
acc6e9d4,10_easy_full,wrong,14328,10,easy,full,11530,14.328,737
d2ac158a,10_hard_full,wrong,14333,10,hard,full,7172,14.333,738
a0a4f4ea,10_medium_full,wrong,14354,10,medium,full,3739,14.354,739
d5aff345,10_easy_pruned,validatedCorrect,14379,10,easy,pruned,10911,14.379,740
fdaa7ebb,6_hard_pruned,wrong,14381,6,hard,pruned,12943,14.381,741
89cbc391,10_easy_full,wrong,14383,10,easy,full,13824,14.383,742
8aa6d830,10_hard_pruned,wrong,14399,10,hard,pruned,11508,14.399,743
89cbfdf9,10_easy_pruned,wrong,14403,10,easy,pruned,2516,14.403,744
6cd50fc7,10_easy_full,wrong,14426,10,easy,full,13016,14.426,745
9da51cdd,10_medium_pruned,solvedCorrect,14443,10,medium,pruned,12982,14.443,746
b0d518a1,6_hard_full,wrong,14463,6,hard,full,7890,14.463,747
fedbec09,10_easy_full,wrong,14467,10,easy,full,11428,14.467,748
7acbc3e2,6_easy_pruned,validatedCorrect,14485,6,easy,pruned,11801,14.485,749
3ac5170c,10_easy_full,validatedCorrect,14523,10,easy,full,8262,14.523,750
c8c4f85a,10_easy_full,validatedCorrect,14611,10,easy,full,1236,14.611,751
89cbfdf9,10_easy_pruned,wrong,14614,10,easy,pruned,12632,14.614,752
94e4c554,6_hard_full,wrong,14622,6,hard,full,13552,14.622,753
f6fbf6b1,6_hard_full,wrong,14647,6,hard,full,10760,14.647,754
4cffe209,10_medium_full,wrong,14647,10,medium,full,5136,14.647,755
2aabe76a,6_easy_full,validatedCorrect,14663,6,easy,full,12793,14.663,756
9db10b00,6_easy_pruned,validatedCorrect,14671,6,easy,pruned,13209,14.671,757
b5b6dcbc,10_hard_full,solvedCorrect,14676,10,hard,full,13470,14.676,758
f5dac888,10_easy_full,wrong,14710,10,easy,full,13662,14.71,759
f6fbf6b1,6_hard_full,wrong,14728,6,hard,full,6473,14.728,760
30e4feac,6_hard_pruned,wrong,14790,6,hard,pruned,12208,14.79,761
fdc4f07b,10_easy_pruned,validatedCorrect,14790,10,easy,pruned,12589,14.79,762
a3eacaa9,10_hard_full,wrong,14801,10,hard,full,4938,14.801,763
29e72a67,10_medium_pruned,validatedCorrect,14828,10,medium,pruned,12991,14.828,764
4ed755f1,6_easy_full,validatedCorrect,14912,6,easy,full,5018,14.912,765
19a105e3,6_easy_pruned,validatedCorrect,14926,6,easy,pruned,13676,14.926,766
d5aff345,10_easy_pruned,validatedCorrect,14929,10,easy,pruned,6368,14.929,767
75bbec9c,10_easy_full,wrong,14939,10,easy,full,1925,14.939,768
ada4c06f,6_hard_full,wrong,14958,6,hard,full,13481,14.958,769
54d4fd9d,10_medium_full,wrong,14969,10,medium,full,4307,14.969,770
cfd6ff5a,6_easy_full,wrong,14976,6,easy,full,12238,14.976,771
38abe966,6_easy_full,solvedCorrect,14994,6,easy,full,10531,14.994,772
72caeffe,10_easy_full,wrong,15046,10,easy,full,8866,15.046,773
32b10037,6_easy_full,wrong,15065,6,easy,full,2410,15.065,774
f7ebbfe9,10_hard_full,solvedCorrect,15086,10,hard,full,10035,15.086,775
94d6ef33,6_hard_full,wrong,15109,6,hard,full,0,15.109,776
70bffd4d,10_easy_full,wrong,15139,10,easy,full,13960,15.139,777
7dea8d37,10_hard_pruned,wrong,15163,10,hard,pruned,9571,15.163,778
54d4fd9d,10_medium_full,wrong,15167,10,medium,full,13335,15.167,779
cee4bfa4,6_hard_full,wrong,15216,6,hard,full,6844,15.216,780
e2bbe5e1,10_easy_pruned,wrong,15237,10,easy,pruned,11763,15.237,781
1ff4f828,10_hard_full,wrong,15255,10,hard,full,4634,15.255,782
28d4fefb,10_hard_pruned,solvedCorrect,15301,10,hard,pruned,9840,15.301,783
9dc50a3d,6_hard_full,solvedCorrect,15313,6,hard,full,11696,15.313,784
23b6924e,10_easy_full,solvedCorrect,15331,10,easy,full,8903,15.331,785
76f6a1e9,10_medium_pruned,wrong,15338,10,medium,pruned,10212,15.338,786
ada4c06f,6_hard_full,wrong,15346,6,hard,full,9442,15.346,787
67abc3ab,6_easy_pruned,wrong,15433,6,easy,pruned,14590,15.433,788
70da8cfb,6_hard_full,wrong,15445,6,hard,full,5945,15.445,789
9da51cdd,10_medium_pruned,solvedCorrect,15478,10,medium,pruned,13143,15.478,790
c3dfd812,10_easy_pruned,validatedCorrect,15479,10,easy,pruned,1486,15.479,791
58d72aaf,10_easy_full,wrong,15494,10,easy,full,4235,15.494,792
dfe6bee3,6_hard_full,wrong,15521,6,hard,full,14353,15.521,793
89cbfdf9,10_easy_pruned,wrong,15538,10,easy,pruned,0,15.538,794
