userid,board,solved,correct,explore_time,exploit_time,num_unique_first_moves,num_resets,num_moves_win_score,mean_score,num_restarts,solution_time,median_score,number_of_moves
17e120dd,6_hard_full,solvedCorrect,wrong,51.6598,47.634,0.157894737,0.076923077,0.166666667,0.654899739,0.142857143,0.575432552,0.278266824,0.224852071
26dbf6e9,6_hard_full,wrong,wrong,11.0555,9.976,0.052631579,0.038461538,0.166666667,0.684515464,0.023809524,0.125289143,0.284274188,0.071005917
32ebf2e8,6_hard_full,validatedCorrect,correct,42.62033333,33.491,0.105263158,0.038461538,0.166666667,0.448221726,0.047619048,0.258137705,0.273371105,0.171597633
38ebbf94,6_hard_full,validatedCorrect,correct,23.85175,21.13275,0.157894737,0.057692308,0.001,0.448032504,0.095238095,0.209437686,0.129008499,0.159763314
3df11bae,6_hard_full,wrong,wrong,62.777,52.5685,0.052631579,0.019230769,0.166666667,0.585942652,0.023809524,0.556438792,0.273371105,0.130177515
67eac875,6_hard_full,wrong,wrong,10.94471429,7.326857143,0.210526316,0.115384615,0.25,0.616798131,0.142857143,0.277094561,0.157907368,0.278106509
69bad0fe,6_hard_full,wrong,wrong,19.2918,15.95626667,0.315789474,0.269230769,0.333333333,0.681836302,0.5,0.787198144,0.278266824,0.49112426
70da8cfb,6_hard_full,wrong,wrong,33.62075,25.9875,0.157894737,0.057692308,0.333333333,0.65505189,0.142857143,0.363427822,0.278266824,0.177514793
87b50908,6_hard_full,validatedCorrect,correct,14.59666667,11.3515,0.105263158,0.096153846,0.25,0.733457297,0.119047619,0.184617519,0.290281552,0.159763314
8fc76287,6_hard_full,solvedCorrect,wrong,32.73628571,22.84785714,0.157894737,0.115384615,0.5,0.476512987,0.142857143,0.55006473,0.278266824,0.331360947
8fcbec83,6_hard_full,validatedCorrect,correct,21.54666667,10.20266667,0.315789474,0.153846154,0.001,0.3628166,0.214285714,0.750363505,0.078583642,0.218934911
91cfd7fb,6_hard_full,wrong,wrong,126.292,120.919,0.157894737,0.019230769,0.25,0.558505622,0.119047619,0.723177052,0.278266824,0.25443787
94d6ef33,6_hard_full,wrong,wrong,26.73021429,8.179071429,0.263157895,0.25,0.083333333,0.514286912,0.333333333,0.724616309,0.278266824,0.284023669
9adbc2df,6_hard_full,wrong,wrong,22.85,16.8585,0.210526316,0.057692308,0.083333333,0.668444787,0.071428571,0.278412773,0.150704819,0.076923077
9dc50a3d,6_hard_full,solvedCorrect,wrong,25.08272727,17.55509091,0.315789474,0.192307692,0.5,0.424163213,0.30952381,0.619544663,0.098781906,0.402366864
a2f6ba1d,6_hard_full,wrong,wrong,42.635,9.179,0.001,0.001,0.166666667,0.447735625,0.001,0.187625935,0.290281552,0.023668639
b0d518a1,6_hard_full,solvedCorrect,wrong,16.1385,9.753777778,0.421052632,0.326923077,0.166666667,0.472671888,0.428571429,0.697708851,0.278266824,0.384615385
bcdfd2df,6_hard_full,wrong,wrong,52.8198,24.018,0.263157895,0.076923077,0.166666667,0.288631957,0.119047619,0.620355076,0.100102908,0.295857988
bed50a1d,6_hard_full,wrong,wrong,9.63875,7.85025,0.052631579,0.057692308,0.25,0.38176983,0.071428571,0.362279369,0.278266824,0.136094675
c7a67aab,6_hard_full,validatedCorrect,correct,13.2924,10.5273,0.052631579,0.173076923,0.25,0.448033675,0.214285714,0.262084959,0.278266824,0.289940828
c8a4fa50,6_hard_full,wrong,wrong,49.68971429,44.24957143,0.210526316,0.115384615,0.083333333,0.417268011,0.238095238,0.745629457,0.237986934,0.307692308
dbe71b15,6_hard_full,wrong,wrong,6.196,4.979,0.105263158,0.001,0.166666667,0.684597917,0.023809524,0.062444552,0.34954331,0.071005917
dcc4f10e,6_hard_full,wrong,wrong,14.205,10.011,0.001,0.001,0.25,0.558523083,0.023809524,0.069863736,0.278266824,0.076923077
dfe6bee3,6_hard_full,wrong,wrong,21.94866667,16.956,0.210526316,0.096153846,0.25,0.593793774,0.119047619,0.262380191,0.290281552,0.189349112
efebc5bb,6_hard_full,wrong,wrong,38.514,27.155,0.052631579,0.001,0.001,0.263828045,0.001,0.636501322,0.050991501,0.041420118
f3dbeb7e,6_hard_full,wrong,wrong,36.555,33.17833333,0.157894737,0.038461538,0.083333333,0.304104645,0.071428571,0.353530165,0.278266824,0.124260355
f6fbf6b1,6_hard_full,wrong,wrong,50.564125,42.79525,0.368421053,0.134615385,0.5,0.391924757,0.19047619,0.772612199,0.085694051,0.514792899
fac10d6e,6_hard_full,wrong,wrong,51.848,47.147,0.157894737,0.019230769,0.166666667,0.511412174,0.047619048,0.308510214,0.067958606,0.142011834
2afbbf79,6_hard_pruned,wrong,wrong,21.97466667,17.13566667,0.157894737,0.096153846,0.333333333,0.404214341,0.071428571,0.177092052,0.088925283,0.213017751
2ff50f64,6_hard_pruned,wrong,wrong,7.371,4.595,0.105263158,0.001,0.083333333,0.723913486,0.023809524,0.001,0.183441131,0.023668639
30e4feac,6_hard_pruned,wrong,wrong,16.37666667,12.59233333,0.157894737,0.038461538,0.083333333,0.355957151,0.071428571,0.310467603,0.103003772,0.094674556
5adff9a5,6_hard_pruned,wrong,wrong,12.00528571,7.933,0.263157895,0.115384615,0.166666667,0.448133468,0.166666667,0.278643054,0.275818964,0.118343195
6dd103e2,6_hard_pruned,validatedCorrect,correct,24.3085,16.29675,0.105263158,0.057692308,0.333333333,0.448141462,0.095238095,0.20521439,0.265518948,0.171597633
7dd704e0,6_hard_pruned,validatedCorrect,correct,16.60794118,13.98782353,0.263157895,0.326923077,1,0.643929646,0.380952381,0.766372468,0.278266824,0.538461538
81c11c9f,6_hard_pruned,validatedCorrect,correct,21.071,17.914,0.052631579,0.001,0.166666667,0.559028482,0.001,0.315219365,0.400766752,0.076923077
92a74a76,6_hard_pruned,validatedCorrect,correct,18.4646,16.256,0.052631579,0.076923077,0.5,0.590020772,0.095238095,0.348338507,0.278266824,0.195266272
a0f4f1bf,6_hard_pruned,wrong,wrong,55.787,47.298,0.105263158,0.076923077,0.333333333,0.335049634,0.119047619,0.529729139,0.110777302,0.24852071
aafbd6ab,6_hard_pruned,wrong,wrong,29.302,21.355,0.210526316,0.057692308,0.083333333,0.448230144,0.095238095,0.268172646,0.269445027,0.106508876
b0e1157c,6_hard_pruned,wrong,wrong,73.25,62.6545,0.052631579,0.019230769,0.166666667,0.6554554,0.047619048,0.518544269,0.390164841,0.082840237
b9e512db,6_hard_pruned,wrong,wrong,23.9515,15.593,0.105263158,0.019230769,0.166666667,0.613798423,0.047619048,0.131427019,0.263339452,0.106508876
c7fffe38,6_hard_pruned,wrong,wrong,44.91866667,30.95266667,0.105263158,0.038461538,0.25,0.448019855,0.071428571,0.333736325,0.278266824,0.147928994
d4fac87b,6_hard_pruned,wrong,wrong,64.566,55.003,0.105263158,0.001,0.166666667,0.309938022,0.023809524,0.153799712,0.206002269,0.059171598
e9dbbf8a,6_hard_pruned,validatedCorrect,correct,28.957,12.924,0.105263158,0.019230769,0.166666667,0.551445528,0.023809524,0.165560284,0.269445027,0.082840237
fcaffad4,6_hard_pruned,wrong,wrong,57.2,48.53366667,0.210526316,0.038461538,0.5,0.447838122,0.119047619,0.404559565,0.075497521,0.390532544
fdaa7ebb,6_hard_pruned,wrong,wrong,13.18173684,5.749157895,0.473684211,0.346153846,0.25,0.282219249,0.452380952,0.433433269,0.088615439,0.343195266
13f4ff5a,10_hard_full,wrong,wrong,27.15766667,24.528,0.157894737,0.038461538,0.166666667,0.448755799,0.095238095,0.349194681,0.628342921,0.142011834
1ff4f828,10_hard_full,wrong,wrong,19.402,10.448,0.315789474,0.038461538,0.166666667,0.613695722,0.19047619,0.450248216,0.181884142,0.106508876
23dbc11c,10_hard_full,wrong,wrong,37.5435,19.098,0.105263158,0.038461538,0.166666667,0.263760089,0.023809524,0.163568943,0.036881154,0.094674556
2fb4f99a,10_hard_full,validatedCorrect,correct,51.44,34.302,0.052631579,0.001,0.166666667,0.599280803,0.001,0.080374,0.736589028,0.053254438
65f68460,10_hard_full,solvedCorrect,wrong,16.2575,15.1965,0.001,0.019230769,0.166666667,0.448792703,0.023809524,0.079430733,0.736589028,0.059171598
75ffd9e8,10_hard_full,validatedCorrect,correct,13.456,10.06533333,0.368421053,0.096153846,0.083333333,0.211851648,0.142857143,0.345310902,0.09454779,0.153846154
7cf6845b,10_hard_full,wrong,wrong,33.76357143,17.79985714,0.368421053,0.115384615,0.083333333,0.494132111,0.166666667,0.56474072,0.065281455,0.201183432
84dbf4f9,10_hard_full,wrong,wrong,27.37466667,10.64733333,0.105263158,0.038461538,0.166666667,0.44873024,0.047619048,0.35089817,0.424501286,0.082840237
87cfed83,10_hard_full,validatedCorrect,correct,1.603,0,0.001,0.001,0.001,0.449813529,0.001,0.197002508,0.736589028,0.001
8bc69c49,10_hard_full,solvedCorrect,wrong,12.95557895,8.142052632,0.684210526,0.346153846,0.166666667,0.550512743,0.452380952,0.489763563,0.182011331,0.467455621
