,userid,win_score,Unnamed: 0,board_size,blocking_score,Density,Linear,Non-linear,Interaction,Forcing,interaction_blind,blocking_blind
112,17e120dd,500,7877.5,6,50.33333333,-2.805443168,-2.405784286,-2.35397862,-2.194696673,-2.554198891,-2.690397209,-2.856802448
113,17e120dd,750,11135.5,6,50.33333333,-2.815420676,-2.4149934,-2.363650471,-2.220134104,-2.556915816,-2.768054933,-2.923963232
114,17e120dd,1000,14393.5,6,50.33333333,-2.822532975,-2.421714836,-2.370608424,-2.239178809,-2.563061169,-2.823844197,-2.97402686
115,17e120dd,1250,17380,6,160,-2.82806365,-2.427008806,-2.376046001,-2.254380754,-2.960380609,-2.706673565,-3.065697907
116,17e120dd,1500,20095,6,160,-2.83258972,-2.431376148,-2.380509799,-2.267025979,-2.958069573,-2.74175853,-3.093995249
117,17e120dd,1750,22810,6,160,-2.83642064,-2.435093234,-2.384296136,-2.277849213,-2.957538812,-2.771594961,-3.118771559
118,17e120dd,2000,25525,6,160,-2.839741782,-2.438328749,-2.387583787,-2.287308782,-2.958073246,-2.797551256,-3.140807451
119,17e120dd,2250,28240,6,160,-2.842673021,-2.44119324,-2.390488943,-2.295709588,-2.959267621,-2.820521719,-3.160649783
120,17e120dd,2500,30955,6,160,-2.845296361,-2.443763087,-2.393091396,-2.303264634,-2.960878738,-2.84112311,-3.178696463
121,18a695e2,25,1637.5,10,50.33333333,-3.226016901,-4.223078733,-4.016708632,-3.945492437,-4.009705313,-2.899811349,-3.020487767
122,18a695e2,250,4895.5,10,50.33333333,-3.3169025,-4.172665812,-4.041988201,-4.023758087,-4.165196687,-2.948727661,-3.158107116
123,18a695e2,500,8153.5,10,50.33333333,-3.355588746,-4.189224824,-4.073535498,-4.115046025,-4.214886596,-3.013880928,-3.202407808
124,18a695e2,750,11411.5,10,50.33333333,-3.379035489,-4.204102361,-4.094427989,-4.178109858,-4.258171072,-3.058342065,-3.237433618
125,18a695e2,1000,14669.5,10,50.33333333,-3.395903592,-4.216409526,-4.109983143,-4.225989431,-4.294359711,-3.09192259,-3.265598893
126,18a695e2,1250,17656,10,160,-3.409085934,-4.226758188,-4.122365815,-4.264537807,-4.567059002,-3.117308146,-3.518865879
127,18a695e2,1500,20371,10,160,-3.419907547,-4.235647951,-4.132649249,-4.296788861,-4.584981546,-3.13903578,-3.533960122
128,18a695e2,1750,23086,10,160,-3.429086779,-4.243425598,-4.141441553,-4.324507777,-4.601725792,-3.15777959,-3.547681407
129,18a695e2,2000,25801,10,160,-3.43705703,-4.250332487,-4.149120219,-4.348809998,-4.617341411,-3.174259363,-3.560223685
130,18a695e2,2250,28516,10,160,-3.444099989,-4.256541037,-4.155935561,-4.370444747,-4.63192356,-3.188962763,-3.571755996
131,18a695e2,2500,31231,10,160,-3.450409099,-4.262177917,-4.162062052,-4.38993935,-4.645574755,-3.202235328,-3.582419258
132,18c75602,25,1826.5,10,50.33333333,-4.174727845,-2.842117196,-2.598010159,-2.005616738,-2.100088834,-1.804880847,-1.890128135
133,18c75602,250,5084.5,10,50.33333333,-4.162878159,-2.796942935,-2.570505108,-1.871044794,-2.041445853,-1.679407541,-1.815614486
134,18c75602,500,8342.5,10,50.33333333,-4.162067205,-2.790732243,-2.567953565,-1.854468306,-2.012657503,-1.664702131,-1.78788925
135,18c75602,750,11600.5,10,50.33333333,-4.161792142,-2.788353692,-2.567054556,-1.848216302,-2.000491795,-1.659233429,-1.776246743
136,18c75602,1000,14858.5,10,50.33333333,-4.161653697,-2.78709289,-2.566595163,-1.844925564,-1.993694566,-1.656373257,-1.769763557
137,18c75602,1250,17845,10,160,-4.161570335,-2.786311247,-2.56631625,-1.842893802,-2.280614369,-1.620711495,-1.944051461
138,18c75602,1500,20560,10,160,-4.161514637,-2.785779074,-2.566128916,-1.841514227,-2.274832881,-1.619519698,-1.938366616
139,18c75602,1750,23275,10,160,-4.161474791,-2.785393324,-2.565994414,-1.84051614,-2.270470055,-1.618658927,-1.934080571
140,18c75602,2000,25990,10,160,-4.161444874,-2.785100855,-2.565893157,-1.839760484,-2.267057082,-1.618008058,-1.93073008
141,18c75602,2250,28705,10,160,-4.161421584,-2.784871471,-2.565814174,-1.839168478,-2.264312373,-1.617498644,-1.928037215
142,18c75602,2500,31420,10,160,-4.161402941,-2.784686743,-2.565750844,-1.838692145,-2.262056168,-1.617089085,-1.925824723
143,18dac9ef,25,1362.5,6,50.33333333,-2.556612588,-3.315791524,-3.041204824,-3.119803452,-2.599103103,-3.01453828,-2.506405098
144,18dac9ef,250,4620.5,6,50.33333333,-2.528205525,-3.163868908,-2.956866674,-2.98853026,-2.373181659,-2.930593122,-2.339335359
145,18dac9ef,500,7878.5,6,50.33333333,-2.526502547,-3.150813606,-2.950951879,-2.977946495,-2.362597894,-2.924712575,-2.333454811
146,18dac9ef,750,11136.5,6,50.33333333,-2.52593165,-3.146265335,-2.94894076,-2.974290343,-2.358941741,-2.922713331,-2.331455568
147,18dac9ef,1000,14394.5,6,50.33333333,-2.525645589,-3.143951815,-2.947927565,-2.972436893,-2.357088291,-2.921706165,-2.330448401
148,18dac9ef,1250,17381,6,160,-2.525473756,-3.142550747,-2.947317175,-2.971316522,-2.176777881,-2.921099422,-2.166579983
149,18dac9ef,1500,20096,6,160,-2.525359119,-3.141611219,-2.946909212,-2.970566106,-2.176027465,-2.920693901,-2.166174462
150,18dac9ef,1750,22811,6,160,-2.525277194,-3.140937415,-2.946617299,-2.970028365,-2.175489725,-2.920403739,-2.1658843
151,18dac9ef,2000,25526,6,160,-2.525215729,-3.140430569,-2.946398084,-2.969624109,-2.175085468,-2.920185841,-2.165666402
152,18dac9ef,2250,28241,6,160,-2.52516791,-3.140035464,-2.946227417,-2.969309122,-2.174770481,-2.920016201,-2.165496762
153,18dac9ef,2500,30956,6,160,-2.525129646,-3.139718818,-2.946090779,-2.969056774,-2.174518133,-2.919880385,-2.165360946
154,19a105e3,25,1705.5,6,50.33333333,-2.531266751,-2.203635839,-2.06023506,-2.21026065,-2.176191502,-3.890644601,-4.008405332
155,19a105e3,250,4963.5,6,50.33333333,-2.562921544,-2.220175234,-2.08617599,-2.361079068,-2.275400663,-4.044887223,-4.23232089
156,19a105e3,500,8221.5,6,50.33333333,-2.574734564,-2.2308992,-2.097603616,-2.419396574,-2.298372486,-4.110682257,-4.281447871
157,19a105e3,750,11479.5,6,50.33333333,-2.581785807,-2.237579641,-2.104524438,-2.454392774,-2.318828004,-4.151114275,-4.315148176
158,19a105e3,1000,14737.5,6,50.33333333,-2.586828194,-2.242435129,-2.109501241,-2.479472615,-2.3358928,-4.18039221,-4.340762451
159,19a105e3,1250,17724,6,160,-2.590755964,-2.246250275,-2.113389541,-2.49903153,-2.456744729,-4.034210071,-4.373247537
160,19a105e3,1500,20439,6,160,-2.593973723,-2.249392748,-2.116580936,-2.515066752,-2.463514737,-4.052077042,-4.386835645
161,19a105e3,1750,23154,6,160,-2.59669927,-2.25206442,-2.119287627,-2.528656084,-2.470147683,-4.067385131,-4.398949792
162,19a105e3,2000,25869,6,160,-2.599063395,-2.254388084,-2.121637597,-2.540447827,-2.4765181,-4.080776462,-4.409864508
163,19a105e3,2250,28584,6,160,-2.601150821,-2.256444007,-2.123714004,-2.550862447,-2.482585597,-4.092678149,-4.41978896
164,19a105e3,2500,31299,6,160,-2.603019582,-2.258287546,-2.125573946,-2.560188216,-2.488346186,-4.103388729,-4.428884116
165,19b680e2,25,1865.5,10,50.33333333,-4.551270997,-2.898994711,-2.576433571,-2.46718399,-2.189833252,-2.369013489,-2.10541771
166,19b680e2,250,5123.5,10,50.33333333,-4.521783539,-2.788109422,-2.508266161,-2.259635639,-1.861787263,-2.179402021,-1.804970004
167,19b680e2,500,8381.5,10,50.33333333,-4.519760711,-2.772911328,-2.501917954,-2.23137237,-1.814550872,-2.155043952,-1.760024818
168,19b680e2,750,11639.5,10,50.33333333,-4.519074439,-2.767095785,-2.499679872,-2.220661998,-1.794618068,-2.145981672,-1.741219206
169,19b680e2,1000,14897.5,10,50.33333333,-4.518728993,-2.764014372,-2.498535929,-2.215012434,-1.783491841,-2.14124134,-1.730768791
170,19b680e2,1250,17884,10,160,-4.518520978,-2.762104478,-2.497841307,-2.211519931,-1.629994007,-2.138325112,-1.595606999
171,19b680e2,1500,20599,10,160,-4.518381989,-2.760804352,-2.497374717,-2.209146563,-1.620690401,-2.136349655,-1.586516441
172,19b680e2,1750,23314,10,160,-4.518282557,-2.75986205,-2.497039696,-2.2074285,-1.613677076,-2.134922853,-1.579671768
173,19b680e2,2000,26029,10,160,-4.518207898,-2.75914767,-2.49678747,-2.206127186,-1.608195273,-2.133843961,-1.574326814
174,19b680e2,2250,28744,10,160,-4.51814978,-2.758587418,-2.496590721,-2.205107352,-1.603789859,-2.132999536,-1.570034678
175,19b680e2,2500,31459,10,160,-4.518103254,-2.75813626,-2.496432958,-2.204286567,-1.60017061,-2.132320628,-1.566510754
176,1bd72c42,25,1638.5,10,50.33333333,-3.082972839,-3.762371153,-3.370415836,-3.106487071,-2.977462633,-3.030354425,-2.906783653
177,1bd72c42,250,4896.5,10,50.33333333,-3.011352407,-3.469748906,-3.191902675,-2.834065131,-2.571459114,-2.766904802,-2.5280489
178,1bd72c42,500,8154.5,10,50.33333333,-3.006509672,-3.428980244,-3.175209617,-2.787130053,-2.506025998,-2.723100572,-2.46463272
179,1bd72c42,750,11412.5,10,50.33333333,-3.004869014,-3.413308206,-3.169320594,-2.768670571,-2.478161096,-2.70607194,-2.437808033
180,1bd72c42,1000,14670.5,10,50.33333333,-3.00404361,-3.404986231,-3.166309754,-2.758759932,-2.462540423,-2.696981134,-2.422825163
181,1bd72c42,1250,17657,10,160,-3.003546728,-3.399821594,-3.16448125,-2.752568912,-2.308616109,-2.691321457,-2.289284144
182,1bd72c42,1500,20372,10,160,-3.003214786,-3.396302889,-3.163252894,-2.748332467,-2.296798304,-2.687457357,-2.277683706
183,1bd72c42,1750,23087,10,160,-3.002977347,-3.393751078,-3.162370855,-2.745250534,-2.287904153,-2.68465085,-2.268961463
184,1bd72c42,2000,25802,10,160,-3.002799082,-3.391815623,-3.161706763,-2.742907512,-2.280961501,-2.682519819,-2.262158185
185,1bd72c42,2250,28517,10,160,-3.002660322,-3.390297213,-3.161188719,-2.741065993,-2.275388289,-2.680846508,-2.256700256
186,1bd72c42,2500,31232,10,160,-3.002549245,-3.38907413,-3.160773315,-2.739580471,-2.27081396,-2.679497706,-2.252222873
187,1cdbeb89,25,1604.5,10,50.33333333,-3.020424886,-3.589059119,-3.323601453,-2.565173188,-2.768781463,-2.703950654,-2.953533008
188,1cdbeb89,250,4862.5,10,50.33333333,-3.020424886,-3.589059119,-3.323601453,-2.565173188,-3.112448064,-2.703950654,-3.333927451
189,1cdbeb89,500,8120.5,10,50.33333333,-3.020424886,-3.589059119,-3.323601453,-2.565173188,-3.112448064,-2.703950654,-3.333927451
190,1cdbeb89,750,11378.5,10,50.33333333,-3.020424886,-3.589059119,-3.323601453,-2.565173188,-3.112448064,-2.703950654,-3.333927451
191,1cdbeb89,1000,14636.5,10,50.33333333,-3.020424886,-3.589059119,-3.323601453,-2.565173188,-3.112448064,-2.703950654,-3.333927451
192,1cdbeb89,1250,17623,10,160,-3.020424886,-3.589059119,-3.323601453,-2.565173188,-3.835066281,-2.703950654,-4.122169117
193,1cdbeb89,1500,20338,10,160,-3.020424886,-3.589059119,-3.323601453,-2.565173188,-3.835066281,-2.703950654,-4.122169117
194,1cdbeb89,1750,23053,10,160,-3.020424886,-3.589059119,-3.323601453,-2.565173188,-3.835066281,-2.703950654,-4.122169117
195,1cdbeb89,2000,25768,10,160,-3.020424886,-3.589059119,-3.323601453,-2.565173188,-3.835066281,-2.703950654,-4.122169117
