userid,board_name,board_size,board_type,condition,fitted_heuristic,blocking_score,win_score,density,linear,non-linear,interaction,blocking,interaction_blind,blocking_blind
1dac01e7,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.901291598,-1.830982841,-1.667013879,-1.526489302,-1.45831268,-1.42761731,-1.366921458
25b4e27c,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.909894197,-3.051224006,-2.950865099,-3.010844729,-2.959332442,-2.372271472,-2.327092546
25cfdeaf,6_hard_pruned,6,hard,pruned,interaction_blind,0.05,25,-2.588061232,-2.025703685,-1.963439056,-1.854506124,-1.866642611,-1.841274156,-1.865694575
28e6483c,6_hard_pruned,6,hard,pruned,interaction_blind,0.05,25,-1.979593648,-2.206439195,-2.108758324,-1.894065089,-1.971420127,-1.562253099,-1.619398465
2ab4ecbb,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-3.042041362,-2.836240541,-2.77216217,-2.815377181,-2.796251008,-2.396899842,-2.314950325
2afbbf79,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.718366348,-2.435239676,-2.370411669,-2.331797653,-2.301347397,-2.287021449,-2.257661113
2ca66220,6_hard_pruned,6,hard,pruned,interaction_blind,0.05,25,-2.598291111,-2.588514274,-2.623670746,-2.513899633,-2.594890926,-1.839589983,-1.876294938
2cb650ed,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.778817819,-2.474927805,-2.337214289,-2.188300782,-2.151374698,-1.722643412,-1.680376403
2fa647f5,6_hard_pruned,6,hard,pruned,non-linear,0.05,25,-2.499515292,-2.548307993,-2.417652888,-2.444731458,-2.500833065,-2.484125042,-2.513719083
2ff50f64,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.640531992,-2.23801875,-2.137273196,-2.0520673,-2.01590771,-1.91645546,-1.869620877
30c4e230,6_hard_pruned,6,hard,pruned,interaction,0.05,25,-2.906973069,-2.84176695,-2.839483404,-2.735745381,-2.739500892,-2.769402451,-2.743583355
30e4feac,6_hard_pruned,6,hard,pruned,interaction_blind,0.05,25,-2.796259618,-3.366689844,-3.425820179,-3.681984939,-3.652917255,-2.632657814,-2.665970878
33e649bd,6_hard_pruned,6,hard,pruned,density,0.05,25,-1.958518833,-2.661737569,-2.564109597,-2.449385224,-2.519659326,-2.074870918,-2.122492056
3ad4e7d3,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.729315093,-1.522822176,-1.287042284,-0.89411447,-0.861446502,-0.837648289,-0.806150223
3ef64929,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.698216948,-2.804075209,-2.607591965,-2.28015212,-2.252928813,-2.23309697,-2.206848581
3fa64b7b,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.577688383,-3.265065207,-2.744126258,-2.234043307,-2.073196278,-2.093421355,-1.936886603
40e4e2b8,6_hard_pruned,6,hard,pruned,density,0.05,25,-1.961811728,-2.376602265,-2.250275537,-2.25835243,-2.324393923,-1.976933911,-2.01697857
43e64821,6_hard_pruned,6,hard,pruned,blocking_blind,0.05,25,-2.830101212,-2.83118223,-2.740321307,-2.743787384,-2.727077557,-2.716393987,-2.708728795
44a65230,6_hard_pruned,6,hard,pruned,interaction_blind,0.05,25,-2.243922337,-2.303126227,-2.223865229,-2.122670507,-2.195999427,-1.640238929,-1.703828166
45b64f9c,6_hard_pruned,6,hard,pruned,interaction,0.05,25,-2.209130538,-1.852274839,-1.753633381,-1.536089723,-1.580032604,-1.809893422,-1.865341973
