,board,heuristic,likelihood_linear,likelihoods_block,likelihoods_block_dens,likelihoods_density,likelihoods_int_dens,likelihoods_interaction,likelihoods_linear_dens,userid
94,6_hard_pruned,density,-3.44013081306,-3.42051292046,-3.03000904897,-2.84075836606,-3.03000904897,-3.42051292046,-3.06933472763,43e64821
95,6_hard_pruned,density,-2.80242525627,-2.84299372535,-2.34118782259,-2.27351089079,-2.34118782259,-2.84299372535,-2.36280018053,4ca65156
96,6_hard_pruned,linear_dens,-2.82830357605,-2.87315521749,-2.70791975593,-3.18255686025,-2.70791975593,-2.87315521749,-2.70634470694,4cb651bd
97,6_hard_pruned,blocking_dens,-2.80283600413,-2.76911966097,-2.13206838941,-2.14559447249,-2.13206838941,-2.76911966097,-2.22929765507,4ee64c2a
98,6_hard_pruned,blocking_dens,-4.03075630258,-3.99014294043,-3.88714485942,-4.09528913585,-3.88714485942,-3.99014294043,-3.96411507064,53a654e5
99,6_hard_pruned,blocking,-2.82782889227,-2.82121184009,-3.0847851789,-3.21025880817,-3.0847851789,-2.82121184009,-3.18909567918,53d65632
100,6_hard_pruned,blocking,-2.31538086454,-2.20628526696,-2.49498385125,-2.6555907862,-2.49498385125,-2.20628526696,-2.62973956423,5adff9a5
101,6_hard_pruned,linear,-3.3779320107,-3.4485486423,-3.69944225218,-3.40586321553,-3.69944225218,-3.4485486423,-3.66784772866,5fa651bb
102,6_hard_pruned,density,-3.55893559537,-3.64773083771,-3.59430092985,-3.49012121035,-3.59430092985,-3.64773083771,-3.60267145977,61e65cc1
103,6_hard_pruned,linear,-3.54903555912,-3.61685871024,-3.55770457017,-3.70056043611,-3.55770457017,-3.61685871024,-3.56573739147,67f64a50
104,6_hard_pruned,density,-3.30377446957,-3.32189715114,-2.67250695203,-2.54697757732,-2.67250695203,-3.32189715114,-2.70583416988,68c659b8
105,6_hard_pruned,blocking_dens,-2.64650009748,-2.7180993718,-2.28912323944,-2.29953682937,-2.28912323944,-2.7180993718,-2.29853461615,6dd103e2
106,6_hard_pruned,blocking_dens,-1.98009312393,-1.98385774638,-1.72150404915,-1.86503533819,-1.72150404915,-1.98385774638,-1.75641290295,7dd704e0
107,6_hard_pruned,blocking_dens,-1.31832701248,-1.26187721627,-0.913690600336,-1.10325065961,-0.913690600336,-1.26187721627,-1.01035778731,81c11c9f
108,6_hard_pruned,blocking_dens,-2.61618976853,-2.57432475865,-2.23739812079,-2.26646473956,-2.23739812079,-2.57432475865,-2.33517254781,92a74a76
109,6_hard_pruned,linear,-1.88254565046,-1.89703848993,-1.89703848993,-2.59177382172,-1.89703848993,-1.89703848993,-1.88254565046,95a648a3
110,6_hard_pruned,linear,-5.21429931973,-5.33226273713,-5.33321561178,-5.30450132144,-5.33321561178,-5.33226273713,-5.33284929907,9dd66bae
111,6_hard_pruned,blocking,-2.85038103065,-2.80268717489,-3.29245693282,-3.14559023613,-3.29245693282,-2.80268717489,-3.33909838918,a0d659c9
112,6_hard_pruned,linear,-3.39010600854,-3.45572600492,-3.52237616458,-3.59320792952,-3.52237616458,-3.45572600492,-3.48271564311,a0f4f1bf
113,6_hard_pruned,blocking_dens,-2.70050059649,-2.6906383989,-2.62885310167,-2.84600331495,-2.62885310167,-2.6906383989,-2.63786567975,a2ebe618
114,6_hard_pruned,density,-2.56766247513,-2.5661029847,-2.36862151642,-2.30223148627,-2.36862151642,-2.5661029847,-2.41388205253,aafbd6ab
115,6_hard_pruned,density,-3.68449334402,-3.73530605465,-2.83757630752,-2.81332692928,-2.83757630752,-3.73530605465,-2.83666983706,aed647d3
116,6_hard_pruned,density,-1.85935735171,-1.89052349559,-1.59162296723,-1.57803845983,-1.59162296723,-1.89052349559,-1.58301556439,b9e512db
117,6_hard_pruned,density,-2.99758418296,-3.00790692741,-2.64517500311,-2.60302156882,-2.64517500311,-3.00790692741,-2.71466030453,c7fffe38
118,6_hard_pruned,density,-2.97300070384,-3.04056455435,-2.95740722215,-2.77976564428,-2.95740722215,-3.04056455435,-2.93783275592,c9f64da2
119,6_hard_pruned,blocking_dens,-2.58671090602,-2.69190539936,-2.40411782857,-2.74231254034,-2.40411782857,-2.69190539936,-2.4051142019,d2f65bb5
120,6_hard_pruned,blocking_dens,-3.96090025923,-4.12046795715,-3.68123226342,-3.94502176435,-3.68123226342,-4.12046795715,-3.68306525176,d4fac87b
121,6_hard_pruned,linear_dens,-2.03930781095,-2.1360697024,-1.97204860469,-2.15662655953,-1.97204860469,-2.1360697024,-1.96770394447,dbe65101
122,6_hard_pruned,blocking_dens,-4.07855821989,-4.14799372373,-3.72860426186,-4.17197837518,-3.72860426186,-4.14799372373,-3.74581735189,dec64994
123,6_hard_pruned,density,-3.12016231037,-3.15174389229,-2.66442055539,-2.58415670585,-2.66442055539,-3.15174389229,-2.64735569418,e1a64c7d
124,6_hard_pruned,blocking_dens,-3.20216339696,-3.41863918957,-2.29880907623,-2.83635747523,-2.29880907623,-3.41863918957,-2.31938236766,e2b655ad
125,6_hard_pruned,linear,-2.5436694457,-2.56032160414,-2.55361112635,-2.92843200628,-2.55361112635,-2.56032160414,-2.62356703143,e9dbbf8a
126,6_hard_pruned,blocking,-2.35711741658,-2.25457319341,-2.47896878142,-2.84711255309,-2.47896878142,-2.25457319341,-2.58397684942,e9e64bef
127,6_hard_pruned,density,-3.15443277739,-3.31616484278,-2.59984549245,-2.45411230916,-2.59984549245,-3.31616484278,-2.5546978998,f1f65080
128,6_hard_pruned,blocking_dens,-3.24757834711,-3.30858405629,-2.88007845223,-2.9856972275,-2.88007845223,-3.30858405629,-2.91308349265,f6b64ced
129,6_hard_pruned,linear_dens,-3.98027180638,-4.04554378126,-3.37163115313,-3.41074072389,-3.37163115313,-4.04554378126,-3.36350749019,fcaffad4
130,6_hard_pruned,density,-4.33976639186,-4.41053427243,-3.72572809394,-3.6375511623,-3.72572809394,-4.41053427243,-3.70594139141,fdaa7ebb
131,6_hard_pruned,blocking_dens,-2.40181228057,-2.4514559349,-2.40140106045,-2.50878203867,-2.40140106045,-2.4514559349,-2.41252326589,fde6491d
132,10_hard_full,blocking_dens,-3.2800058631,-3.01826157921,-2.77595412573,-3.32949148419,-2.77595412573,-3.01826157921,-3.02156588665,13f4ff5a
133,10_hard_full,blocking_dens,-3.36936844409,-3.18445480825,-2.60477115709,-2.77160280601,-2.60477115709,-3.18445480825,-2.80762309487,1ff4f828
134,10_hard_full,blocking,-3.01057731888,-2.87822578343,-3.3175796526,-3.36271852998,-3.3175796526,-2.87822578343,-3.40111055515,21abc061
135,10_hard_full,density,-5.00090245954,-4.90668987492,-4.7427854948,-4.67610689281,-4.7427854948,-4.90668987492,-4.79448277296,23dbc11c
136,10_hard_full,blocking_dens,-1.99394345678,-1.64929041303,-1.2555873821,-1.80454885581,-1.2555873821,-1.64929041303,-1.60024042584,2fb4f99a
137,10_hard_full,blocking,-2.33936577882,-1.84612727688,-1.89186675117,-2.68086790256,-1.89186675117,-1.84612727688,-2.3851052531,65f68460
138,10_hard_full,blocking_dens,-4.34829112431,-4.22195924863,-3.86758085344,-3.89383291987,-3.86758085344,-4.22195924863,-3.97944577459,75ffd9e8
139,10_hard_full,density,-4.2099021448,-4.13166549407,-3.70264483826,-3.60465955161,-3.70264483826,-4.13166549407,-3.80913063736,7cf6845b
140,10_hard_full,blocking_dens,-3.07843298263,-2.72783667568,-2.16951885156,-2.69214981603,-2.16951885156,-2.72783667568,-2.48764485892,84dbf4f9
141,10_hard_full,blocking,-2.82141617196,-1.74992266714,-1.74992266714,-3.24356843746,-1.74992266714,-1.74992266714,-2.82141617196,87cfed83
142,10_hard_full,blocking_dens,-3.49455231543,-3.45605802586,-3.16134392181,-3.21703113768,-3.16134392181,-3.45605802586,-3.20277841751,8bc69c49
143,10_hard_full,blocking,-2.13864241962,-1.80984614726,-1.91065338947,-2.459733356,-1.91065338947,-1.80984614726,-2.21417701038,98d105c1
144,10_hard_full,blocking,-2.19039658609,-2.05958372864,-2.66035193918,-2.89054189331,-2.66035193918,-2.05958372864,-2.67593590687,9befd8ad
145,10_hard_full,blocking_dens,-3.55133135001,-3.25966861351,-3.02404724572,-3.13192926573,-3.02404724572,-3.25966861351,-3.27392863631,a3eacaa9
146,10_hard_full,blocking_dens,-3.46024561651,-3.34186460504,-2.74228292125,-2.80036819202,-2.74228292125,-3.34186460504,-2.84463549166,a4f74985
147,10_hard_full,blocking_dens,-2.22956206925,-1.81660471404,-1.19792852257,-1.87488745287,-1.19792852257,-1.81660471404,-1.61088587778,abc728e1
148,10_hard_full,blocking,-2.69527567866,-2.56101134295,-3.14999279984,-3.42860996936,-3.14999279984,-2.56101134295,-3.22886656774,aceaccbc
149,10_hard_full,blocking,-3.84551954671,-3.83801059861,-3.90961135738,-4.29711025248,-3.90961135738,-3.83801059861,-3.95638508431,add50f98
150,10_hard_full,linear,-3.62870168563,-3.68899824512,-3.88885080281,-4.01700064493,-3.88885080281,-3.68899824512,-3.79842686557,b5b6dcbc
151,10_hard_full,blocking_dens,-2.64884816292,-2.42036377687,-1.99067086614,-2.43012214862,-1.99067086614,-2.42036377687,-2.20437018894,d2ac158a
152,10_hard_full,blocking_dens,-3.57644500825,-3.60965453932,-3.56733825094,-4.01559395742,-3.56733825094,-3.60965453932,-3.65121774312,edf12206
153,10_hard_full,blocking_dens,-4.30764299256,-4.32338553925,-3.61849524991,-3.83604584704,-3.61849524991,-4.32338553925,-3.69526157583,f0ebc21e
154,10_hard_full,blocking_dens,-4.78804468293,-4.8582306629,-3.81520210901,-4.10962336136,-3.81520210901,-4.8582306629,-3.88797403891,f6fbf7bf
155,10_hard_full,blocking,-4.28334554009,-4.28299647837,-4.30681044137,-4.29897581523,-4.30681044137,-4.28299647837,-4.35104233005,f7ebbfe9
156,10_hard_pruned,blocking_dens,-3.19192672262,-2.88455899823,-2.45745546699,-3.10489123346,-2.45745546699,-2.88455899823,-2.74083095988,13b7468e
