,board,missed_win,player
395,6_hard_full,1,2.0
396,6_hard_full,0,1.0
397,6_hard_full,0,1.0
398,6_hard_full,1,2.0
399,6_hard_full,1,1.0
400,6_hard_full,1,1.0
401,6_hard_full,1,2.0
402,6_hard_full,0,1.0
403,6_hard_full,0,2.0
404,6_hard_full,0,2.0
405,6_hard_full,0,2.0
406,6_hard_full,0,2.0
407,6_hard_full,0,2.0
408,6_hard_full,0,2.0
409,6_hard_full,0,2.0
410,6_hard_full,0,2.0
411,6_hard_full,1,2.0
412,6_hard_full,0,1.0
413,6_hard_full,0,1.0
414,6_hard_full,1,1.0
415,6_hard_full,1,1.0
416,6_hard_full,1,2.0
417,6_hard_full,1,2.0
418,6_hard_full,0,1.0
419,6_hard_full,0,1.0
420,6_hard_full,0,1.0
421,6_hard_full,1,1.0
422,6_hard_full,0,2.0
423,6_hard_full,1,2.0
424,6_hard_full,1,2.0
425,6_hard_full,1,1.0
426,6_hard_full,0,2.0
427,6_hard_full,1,2.0
428,6_hard_full,1,2.0
429,6_hard_full,1,2.0
430,6_hard_full,1,2.0
431,6_hard_full,1,2.0
432,6_hard_full,0,1.0
433,6_hard_full,0,2.0
434,6_hard_full,1,2.0
435,6_hard_full,1,2.0
436,6_hard_full,1,1.0
437,6_hard_full,1,1.0
438,6_hard_full,0,2.0
439,6_hard_full,0,2.0
440,6_hard_full,0,2.0
441,6_hard_full,1,2.0
442,6_hard_full,1,2.0
443,6_hard_full,0,2.0
444,6_hard_full,1,2.0
445,6_hard_full,1,2.0
446,6_hard_full,0,2.0
447,6_hard_full,0,2.0
448,6_hard_full,1,2.0
449,6_hard_full,1,2.0
450,6_hard_full,1,1.0
451,6_hard_full,1,2.0
452,6_hard_full,1,1.0
453,6_hard_full,1,2.0
454,6_hard_full,1,2.0
455,6_hard_full,1,1.0
456,6_hard_full,0,2.0
457,6_hard_full,1,2.0
458,6_hard_full,1,2.0
459,6_hard_full,1,2.0
460,6_hard_full,1,2.0
461,6_hard_full,1,2.0
