possible_moves,board_name,time_rel,move_ranking,solved,top_score,userid,prev_action,score_move,player,time_between,position,time,time_prev_move,move_number,first_move_in_path,move_number_in_path,condition,second_score
21,logs/6_hard_full_dec19,259485,1,wrong,50002.846371882086,22dac859,click,2.6805555555555554,1,14.782,0_3,1513540161896,1513540147114,26,False,5,"6,hard,full",2.6805555555555554
20,logs/6_hard_full_dec19,261528,18,wrong,0,22dac859,click,-5001.126666666666,2,2.043,3_0,1513540163939,1513540161896,27,False,6,"6,hard,full",-0.1111111111111111
25,logs/6_hard_full_dec19,290095,3,wrong,4.215193452380952,22dac859,undo,2.728560799319728,1,23.89,2_2,1513540192506,1513540168616,28,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,292971,19,wrong,0,22dac859,click,-3.289115646258503,2,2.876,2_0,1513540195382,1513540192506,29,False,2,"6,hard,full",-0.1111111111111111
23,logs/6_hard_full_dec19,294813,3,wrong,50000.555555555555,22dac859,click,3.688108701814059,1,1.842,2_4,1513540197224,1513540195382,30,False,3,"6,hard,full",9.528560090702948
22,logs/6_hard_full_dec19,296227,20,wrong,0,22dac859,click,-5000.666371882086,2,1.414,2_3,1513540198638,1513540197224,31,False,4,"6,hard,full",-0.1111111111111111
21,logs/6_hard_full_dec19,298134,1,wrong,50000.61892361111,22dac859,click,5.736371882086168,1,1.907,4_2,1513540200545,1513540198638,32,False,5,"6,hard,full",5.736371882086168
20,logs/6_hard_full_dec19,299678,18,wrong,-0.1111111111111111,22dac859,click,-5008.618923611111,2,1.544,3_2,1513540202089,1513540200545,33,False,6,"6,hard,full",-0.1111111111111111
19,logs/6_hard_full_dec19,306473,2,wrong,50003.125,22dac859,click,3.0700000000000003,1,6.795,4_4,1513540208884,1513540202089,34,False,7,"6,hard,full",3.3055555555555554
18,logs/6_hard_full_dec19,307800,17,wrong,-0.1111111111111111,22dac859,click,-5011.125,2,1.327,4_3,1513540210211,1513540208884,35,False,8,"6,hard,full",-0.1111111111111111
25,logs/6_hard_full_dec19,319954,3,wrong,4.215193452380952,22dac859,undo,2.728560799319728,1,5.976,2_2,1513540222365,1513540216389,36,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,345510,23,wrong,0,22dac859,click,-50001.166371882086,2,25.556,2_3,1513540247921,1513540222365,37,False,2,"6,hard,full",-0.1111111111111111
23,logs/6_hard_full_dec19,348340,2,wrong,50000.61892361111,22dac859,click,3.9221889172335604,1,2.83,4_3,1513540250751,1513540247921,38,False,3,"6,hard,full",9.042743764172336
22,logs/6_hard_full_dec19,352347,20,wrong,-0.1111111111111111,22dac859,click,-50000.61892361111,2,4.007,3_2,1513540254758,1513540250751,39,False,4,"6,hard,full",-0.1111111111111111
25,logs/6_hard_full_dec19,362916,0,wrong,4.215193452380952,22dac859,undo,4.215193452380952,1,3.309,2_3,1513540265327,1513540262018,40,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,365401,22,wrong,0,22dac859,click,-50001.166371882086,2,2.485,2_2,1513540267812,1513540265327,41,False,2,"6,hard,full",-0.16666666666666666
