userid,board_name,board_size,board_type,condition,solved,action,time,time_rel,player,score_move,score_move_non_zero,move_ranking,top_possible_score,second_possible_score,num_possible_moves,delta_score,deltaScoreByScore,path,move_prob,path_prob,path_number,board_state,position,time_from_action,time_from_click,prev_action,move_number,move_number_in_path,first_move_in_path,time_prev_action
eba732b3,6_hard_pruned,6,hard,pruned,validatedCorrect,reset,1.51232E+12,71253,1,15.25,15.25,,,,,15.25,1,"[[0, 2, 1]]",0.234004438,0.234004438,1,"[[0, 2, 1, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,38.34,38.34,click,,1,,1.51232E+12
f1f65080,6_hard_pruned,6,hard,pruned,validatedCorrect,reset,1.52209E+12,337384,2,-1,-1,,,,,-17.06947988,-17.06947988,"[[2, 3, 1], [3, 2, 2], [3, 4, 1], [4, 5, 2]]",1,4.49E-08,2,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 1, 0, 0], [2, 1, 2, 2, 1, 0], [0, 1, 0, 0, 0, 2], [0, 2, 0, 0, 2, 0]]",,3.652,3.652,click,,4,,1.52209E+12
f1f65080,6_hard_pruned,6,hard,pruned,validatedCorrect,reset,1.52209E+12,346642,2,-11.25,-11.25,,,,,-13.58458617,-1.20751877,"[[2, 4, 1], [2, 3, 2]]",0.001115351,4.00E-05,3,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 2, 1, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,3.841,3.841,click,,2,,1.52209E+12
f6b64ced,6_hard_pruned,6,hard,pruned,wrong,reset,1.52209E+12,30240,2,-8.157467404,-8.157467404,,,,,-29.92021259,-3.667831093,"[[0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2]]",1,0.06850889,1,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [0, 1, 1, 0, 0, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,3.049,3.049,click,,4,,1.52209E+12
f6b64ced,6_hard_pruned,6,hard,pruned,wrong,reset,1.52209E+12,49370,1,10000,10000,,,,,0,0,"[[4, 2, 1], [2, 0, 2], [4, 3, 1], [4, 4, 2], [4, 0, 1]]",0.498230251,3.58E-07,2,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [2, 1, 0, 0, 0, 0], [2, 1, 0, 2, 0, 0], [1, 1, 1, 1, 2, 0], [0, 2, 0, 0, 2, 0]]",,5.017,5.017,click,,5,,1.52209E+12
f6b64ced,6_hard_pruned,6,hard,pruned,wrong,reset,1.52209E+12,59246,2,-16.14,-16.14,,,,,9983.86,618.5786865,"[[4, 2, 1], [4, 0, 2], [5, 3, 1], [2, 0, 2], [4, 3, 1], [4, 4, 2]]",0.000403249,1.02E-11,3,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [2, 1, 0, 0, 0, 0], [2, 1, 0, 2, 0, 0], [2, 1, 1, 1, 2, 0], [0, 2, 0, 1, 2, 0]]",,3.823,3.823,click,,6,,1.52209E+12
f6b64ced,6_hard_pruned,6,hard,pruned,wrong,reset,1.52209E+12,74787,2,-11.25,-11.25,,,,,-22.25,-1.977777778,"[[4, 2, 1], [2, 0, 2], [4, 0, 1], [4, 3, 2]]",1,1.58E-08,4,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [2, 1, 0, 0, 0, 0], [2, 1, 0, 2, 0, 0], [1, 1, 1, 2, 0, 0], [0, 2, 0, 0, 2, 0]]",,7.426,7.426,click,,4,,1.52209E+12
f6b64ced,6_hard_pruned,6,hard,pruned,wrong,reset,1.52209E+12,94775,1,10000,10000,,,,,0,0,"[[3, 2, 1], [1, 0, 2], [2, 2, 1], [0, 2, 2], [4, 2, 1]]",0.49809835,6.78E-08,5,"[[0, 2, 2, 1, 1, 0], [2, 2, 1, 2, 0, 0], [0, 1, 1, 0, 0, 0], [2, 1, 1, 2, 0, 0], [0, 1, 1, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,1.253,1.253,click,,5,,1.52209E+12
f6b64ced,6_hard_pruned,6,hard,pruned,wrong,reset,1.52209E+12,108853,2,-1,-1,,,,,9999,9999,"[[2, 2, 1], [2, 0, 2], [2, 3, 1], [2, 4, 2], [3, 4, 1], [4, 5, 2]]",3.32E-05,7.31E-15,6,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [2, 1, 1, 1, 2, 0], [2, 1, 0, 2, 1, 0], [0, 1, 0, 0, 0, 2], [0, 2, 0, 0, 2, 0]]",,2.935,2.935,click,,6,,1.52209E+12
f6b64ced,6_hard_pruned,6,hard,pruned,wrong,reset,1.52209E+12,110726,1,5.457121599,5.457121599,,,,,5.457121599,1,"[[2, 2, 1]]",0.08373729,0.08373729,7,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 1, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,1.205,1.205,click,,1,,1.52209E+12
