,max_moves,noise_sig,k,shutter_size,board,numberOfHeuristicComp,numberOfHeuristicComp_sem,correct,correct_sem,inverse_computation
819,50,1.5,3,1.0,6_easy_pruned,84.8710526316,0.969034101844,0.728947368421,0.0228325961557,0.0117825803851
820,50,1.5,3,1.0,6_hard_full,406.536842105,6.6325160085,0.178947368421,0.0196892218186,0.00245980166231
821,50,1.5,3,1.0,6_hard_pruned,324.357894737,4.93349840531,0.173684210526,0.0194595857191,0.00308301421432
822,50,1.5,3,2.0,10_easy_full,1546.01590457,16.6324078323,0.178926441352,0.0171071016879,0.00064682387616
823,50,1.5,3,2.0,10_easy_pruned,856.888667992,12.0900284176,0.371769383698,0.021569719675,0.00116701274898
824,50,1.5,3,2.0,10_hard_full,1957.172,16.7397671561,0.156,0.0162436360284,0.000510941296933
825,50,1.5,3,2.0,10_hard_pruned,1583.492,18.6055645961,0.114,0.0142271861466,0.000631515662851
826,50,1.5,3,2.0,10_medium_full,1679.51503006,14.9348940573,0.0801603206413,0.0121680538052,0.000595409973773
827,50,1.5,3,2.0,10_medium_pruned,917.264529058,11.4077662148,0.324649298597,0.0209825004309,0.001090198049
828,50,1.5,3,2.0,6_easy_full,204.9,2.96684474728,0.389473684211,0.025047918905,0.00488042947779
829,50,1.5,3,2.0,6_easy_pruned,104.247368421,1.31018556691,0.752631578947,0.0221637754634,0.00959256828394
830,50,1.5,3,2.0,6_hard_full,560.578947368,9.94296630929,0.142105263158,0.0179350453165,0.00178387005915
831,50,1.5,3,2.0,6_hard_pruned,467.894736842,7.39987641885,0.15,0.018341526913,0.00213723284589
832,50,1.5,5,0.0,10_easy_full,520.586,2.92431264006,0.168,0.0167365535415,0.00192091220279
833,50,1.5,5,0.0,10_easy_pruned,359.744,5.01898968348,0.362,0.0215136625276,0.00277975449208
834,50,1.5,5,0.0,10_hard_full,531.898,2.49693663859,0.168,0.0167365535415,0.0018800597107
835,50,1.5,5,0.0,10_hard_pruned,539.442,2.80755445112,0.082,0.0122822517241,0.00185376741151
836,50,1.5,5,0.0,10_medium_full,598.018,2.14425535187,0.082,0.0122822517241,0.00167219046918
837,50,1.5,5,0.0,10_medium_pruned,393.07,3.99308146664,0.238,0.0190640729582,0.00254407611876
838,50,1.5,5,0.0,6_easy_full,111.676,0.988461511805,0.43,0.0221626344267,0.00895447544683
839,50,1.5,5,0.0,6_easy_pruned,73.056,0.797512244144,0.708,0.0203543754805,0.013688129654
840,50,1.5,5,0.0,6_hard_full,233.274,1.77396385067,0.202,0.0179732600313,0.00428680435882
841,50,1.5,5,0.0,6_hard_pruned,216.422,1.74616666675,0.154,0.0161582851925,0.00462060234172
842,50,1.5,5,0.5,10_easy_full,1120.866,7.57662580607,0.188,0.0174906788803,0.000892167306351
843,50,1.5,5,0.5,10_easy_pruned,776.368,12.495343307,0.414,0.0220494979698,0.00128804896647
844,50,1.5,5,0.5,10_hard_full,1104.886,5.33401400625,0.148,0.0158964585613,0.00090507074938
845,50,1.5,5,0.5,10_hard_pruned,1120.566,6.79389824731,0.122,0.014651324945,0.00089240615903
846,50,1.5,5,0.5,10_medium_full,1306.808,4.78216860275,0.074,0.0117184745292,0.000765223353392
847,50,1.5,5,0.5,10_medium_pruned,848.4,9.7667108733,0.274,0.0199661035403,0.0011786892975
848,50,1.5,5,0.5,6_easy_full,179.558,1.56607485546,0.496,0.022382357782,0.00556923111195
849,50,1.5,5,0.5,6_easy_pruned,116.87,1.31533966597,0.794,0.0181047940373,0.00855651578677
850,50,1.5,5,0.5,6_hard_full,407.604,3.192754568,0.14,0.0155332728403,0.00245336159606
851,50,1.5,5,0.5,6_hard_pruned,396.34,3.51629940748,0.164,0.0165758111424,0.00252308623909
852,50,1.5,5,1.0,10_easy_full,1366.852,7.97823116593,0.216,0.0184219090614,0.000731608103877
853,50,1.5,5,1.0,10_easy_pruned,919.752,14.9795052036,0.366,0.0215642768502,0.00108724960642
854,50,1.5,5,1.0,10_hard_full,1374.28,6.17997243672,0.164,0.0165758111424,0.000727653753238
855,50,1.5,5,1.0,10_hard_pruned,1396.174,7.93429578142,0.1,0.0134298444311,0.00071624310437
