time_before,time_before_sec
2496,2.496
1552,1.552
5937,5.937
4061,4.061
669,0.669
1193,1.193
176219,176.219
4073,4.073
3369,3.369
4664,4.664
2300,2.3
1465,1.465
1530,1.53
107742,107.742
72055,72.055
1080,1.08
8100,8.1
3184,3.184
26341,26.341
3123,3.123
10052,10.052
3793,3.793
6539,6.539
2474,2.474
7683,7.683
6772,6.772
7848,7.848
8703,8.703
843,0.843
16437,16.437
2674,2.674
31552,31.552
10069,10.069
13587,13.587
3839,3.839
8225,8.225
5595,5.595
1058,1.058
1463,1.463
5898,5.898
1605,1.605
2211,2.211
36562,36.562
5473,5.473
1147,1.147
46537,46.537
5516,5.516
9183,9.183
7818,7.818
12036,12.036
3003,3.003
1620,1.62
818,0.818
1728,1.728
4565,4.565
80247,80.247
13135,13.135
16487,16.487
4626,4.626
10339,10.339
6126,6.126
77650,77.65
4376,4.376
10364,10.364
10440,10.44
68210,68.21
19317,19.317
18512,18.512
1644,1.644
42700,42.7
11157,11.157
4477,4.477
1773,1.773
4293,4.293
15237,15.237
7532,7.532
2731,2.731
2229,2.229
3909,3.909
1236,1.236
4188,4.188
2740,2.74
4318,4.318
2300,2.3
6821,6.821
848,0.848
14220,14.22
1627,1.627
9622,9.622
13093,13.093
17841,17.841
7528,7.528
16552,16.552
24293,24.293
18262,18.262
7000,7
9394,9.394
6421,6.421
22227,22.227
16214,16.214
5929,5.929
6598,6.598
8039,8.039
4822,4.822
9292,9.292
2460,2.46
36559,36.559
2637,2.637
1291,1.291
18540,18.54
4089,4.089
7709,7.709
6512,6.512
9696,9.696
18382,18.382
7660,7.66
13857,13.857
1880,1.88
20456,20.456
1069,1.069
26440,26.44
11866,11.866
10298,10.298
5834,5.834
7909,7.909
5740,5.74
2365,2.365
4118,4.118
3110,3.11
5465,5.465
2919,2.919
5352,5.352
3740,3.74
11511,11.511
12640,12.64
3112,3.112
8093,8.093
7038,7.038
94084,94.084
4087,4.087
1010,1.01
1423,1.423
1589,1.589
1627,1.627
7857,7.857
6012,6.012
6091,6.091
2024,2.024
1143,1.143
2351,2.351
6601,6.601
4596,4.596
13871,13.871
6504,6.504
5991,5.991
5902,5.902
1688,1.688
10570,10.57
3394,3.394
3819,3.819
4567,4.567
4537,4.537
4762,4.762
3426,3.426
2375,2.375
6377,6.377
3937,3.937
8814,8.814
6007,6.007
209,0.209
271,0.271
3497,3.497
5035,5.035
3848,3.848
5032,5.032
405,0.405
5349,5.349
2743,2.743
7483,7.483
3404,3.404
1584,1.584
2882,2.882
568,0.568
4476,4.476
6337,6.337
3556,3.556
4727,4.727
1414,1.414
6307,6.307
2329,2.329
7729,7.729
2589,2.589
599,0.599
4316,4.316
3149,3.149
