userid,boardSize,condition,boardType,solvedCorrect,validatedCorrect,solutionTime,validationTime,actionsSolution,actionsValidation,time,solutionCorrect,validationCorrect,solutionAndValidationCorrect,solutionTimeMinutes
54d4fd9d,10,full,medium,TRUE,FALSE,596860,74866,97,4,1.51119E+12,1,0,0,9.947666667
1de715c7,6,pruned,easy,FALSE,FALSE,80666,57797,6,0,1.51231E+12,0,0,0,1.344433333
11dfe866,6,pruned,easy,TRUE,TRUE,213868,46377,19,3,1.51191E+12,1,1,1,3.564466667
abc728e1,10,full,hard,TRUE,TRUE,190755,46492,15,5,1.51232E+12,1,1,1,3.17925
37bffc4e,10,full,easy,TRUE,TRUE,538974,103072,32,8,1.51192E+12,1,1,1,8.9829
dcc4f10e,6,full,hard,FALSE,FALSE,115551,50653,22,0,1.51119E+12,0,0,0,1.92585
54f6b927,10,full,medium,FALSE,FALSE,209765,107731,36,0,1.51229E+12,0,0,0,3.496083333
efd4fa4a,10,pruned,hard,FALSE,FALSE,313523,25138,36,0,1.51119E+12,0,0,0,5.225383333
b6a1020a,6,verify,hard,FALSE,FALSE,562778,34382,42,0,1.51192E+12,0,0,0,9.379633333
5dbfe29c,6,pruned,hard,FALSE,FALSE,226369,59550,43,0,1.51191E+12,0,0,0,3.772816667
e1b6994c,10,pruned,medium,TRUE,TRUE,70664,45258,3,3,1.51228E+12,1,1,1,1.177733333
7dd704e0,6,pruned,hard,TRUE,TRUE,409764,23533,101,4,1.51231E+12,1,1,1,6.8294
3cb51601,10,verify,easy,FALSE,FALSE,136904,49784,11,0,1.5112E+12,0,0,0,2.281733333
bcdfd2df,6,full,hard,FALSE,FALSE,527864,48492,61,0,1.5119E+12,0,0,0,8.797733333
13f4ff5a,10,full,hard,FALSE,FALSE,311356,43447,28,0,1.5112E+12,0,0,0,5.189266667
92d1148b,6,verify,hard,TRUE,FALSE,53742,99712,14,6,1.51192E+12,1,0,0,0.8957
59d51c4c,6,full,easy,FALSE,FALSE,185365,11317,35,0,1.5112E+12,0,0,0,3.089416667
daf74d3f,10,full,easy,TRUE,TRUE,222013,57411,13,5,1.51233E+12,1,1,1,3.700216667
75ffd9e8,10,full,hard,FALSE,FALSE,346631,22973,31,0,1.51191E+12,0,0,0,5.777183333
76bfdf0b,10,pruned,easy,FALSE,FALSE,607700,83240,43,0,1.51191E+12,0,0,0,10.12833333
32b10037,6,full,easy,FALSE,FALSE,587130,38151,80,0,1.51192E+12,0,0,0,9.7855
29e72a67,10,pruned,medium,FALSE,FALSE,586688,36512,118,0,1.51232E+12,0,0,0,9.778133333
6bf51f66,6,full,hard,FALSE,FALSE,90770,65327,14,0,1.5112E+12,0,0,0,1.512833333
edc12671,10,verify,hard,TRUE,FALSE,306854,81810,20,5,1.51193E+12,1,0,0,5.114233333
cdc514e1,10,pruned,hard,FALSE,FALSE,594371,9898,71,0,1.5112E+12,0,0,0,9.906183333
d1f5198a,10,pruned,hard,FALSE,FALSE,76640,68471,0,0,1.5112E+12,0,0,0,1.277333333
44b696ef,10,pruned,easy,FALSE,FALSE,81242,27101,2,0,1.51228E+12,0,0,0,1.354033333
18c75602,10,full,medium,TRUE,TRUE,271822,40575,35,4,1.51233E+12,1,1,1,4.530366667
2bd72f3e,10,pruned,medium,TRUE,TRUE,93047,76947,7,3,1.51232E+12,1,1,1,1.550783333
fcf4f6d3,10,full,easy,FALSE,FALSE,389048,40868,29,0,1.51119E+12,0,0,0,6.484133333
28a1081a,10,verify,medium,TRUE,TRUE,137691,70661,44,6,1.51192E+12,1,1,1,2.29485
41f104b8,10,verify,hard,FALSE,FALSE,143169,35289,7,0,1.51192E+12,0,0,0,2.38615
50f6b001,10,pruned,hard,FALSE,FALSE,280469,35978,32,0,1.51229E+12,0,0,0,4.674483333
add50f98,10,full,hard,FALSE,FALSE,383130,64810,22,0,1.5112E+12,0,0,0,6.3855
7ef11f8d,10,pruned,hard,FALSE,FALSE,349329,60605,35,0,1.51192E+12,0,0,0,5.82215
93c70cc1,10,full,medium,TRUE,TRUE,282721,125996,21,9,1.51231E+12,1,1,1,4.712016667
81a10227,10,full,medium,TRUE,FALSE,206954,128295,30,22,1.51192E+12,1,0,0,3.449233333
17e120dd,6,full,hard,TRUE,FALSE,418239,98258,43,5,1.51192E+12,1,0,0,6.97065
d0e6841e,10,full,easy,TRUE,TRUE,537262,142307,81,15,1.51228E+12,1,1,1,8.954366667
9effe013,10,verify,hard,TRUE,TRUE,233229,37479,21,4,1.51191E+12,1,1,1,3.88715
d0a1059e,10,verify,medium,TRUE,FALSE,134750,53814,17,2,1.51192E+12,1,0,0,2.245833333
fcb764e3,10,pruned,hard,TRUE,TRUE,254277,23724,35,4,1.51234E+12,1,1,1,4.23795
92a70054,10,full,easy,FALSE,FALSE,538884,60889,50,0,1.51231E+12,0,0,0,8.9814
e6efec72,10,pruned,hard,TRUE,FALSE,584816,57640,53,4,1.51191E+12,1,0,0,9.746933333
d6c10e9a,10,full,easy,FALSE,FALSE,606531,47392,51,0,1.51192E+12,0,0,0,10.10885
e0a10efa,10,full,medium,TRUE,FALSE,131089,49031,11,4,1.51192E+12,1,0,0,2.184816667
e9b10766,10,pruned,medium,TRUE,TRUE,178163,19864,18,3,1.51192E+12,1,1,1,2.969383333
19e11a15,6,verify,hard,FALSE,FALSE,240467,26256,41,0,1.51192E+12,0,0,0,4.007783333
8bc69c49,10,full,hard,FALSE,FALSE,399725,20320,84,0,1.51228E+12,0,0,0,6.662083333
16f6e58d,10,pruned,hard,FALSE,FALSE,563425,88170,56,0,1.5123E+12,0,0,0,9.390416667
3ca4fb54,10,verify,hard,FALSE,FALSE,95670,42666,0,0,1.51119E+12,0,0,0,1.5945
c8afed22,6,pruned,easy,TRUE,FALSE,457405,51816,44,5,1.51191E+12,1,0,0,7.623416667
33a74451,10,pruned,medium,TRUE,TRUE,373311,117892,65,9,1.51233E+12,1,1,1,6.22185
26e680e4,10,full,easy,FALSE,FALSE,553103,43925,59,0,1.51228E+12,0,0,0,9.218383333
16e512d0,6,pruned,easy,TRUE,TRUE,200549,27000,30,3,1.5112E+12,1,1,1,3.342483333
eaaff660,10,full,medium,FALSE,FALSE,153334,66064,18,0,1.51191E+12,0,0,0,2.555566667
96afd320,6,pruned,easy,TRUE,TRUE,221900,54543,21,3,1.5119E+12,1,1,1,3.698333333
4ed755f1,6,full,easy,TRUE,FALSE,106640,59549,9,4,1.51233E+12,1,0,0,1.777333333
12f3a1f3,10,verify,medium,FALSE,FALSE,130563,108715,1,0,1.51111E+12,0,0,0,2.17605
2defedbb,10,verify,hard,TRUE,TRUE,404671,45631,68,9,1.51191E+12,1,1,1,6.744516667
e1efebd5,10,verify,medium,TRUE,FALSE,297757,46292,44,3,1.51191E+12,1,0,0,4.962616667
5de11557,6,full,easy,TRUE,TRUE,424004,24896,50,4,1.51192E+12,1,1,1,7.066733333
9da51cdd,10,pruned,medium,TRUE,TRUE,274582,67879,53,6,1.5112E+12,1,1,1,4.576366667
5adff9a5,6,pruned,hard,FALSE,FALSE,257748,32249,25,0,1.51191E+12,0,0,0,4.2958
3ff4fc88,6,verify,easy,FALSE,FALSE,44182,43317,16,0,1.51119E+12,0,0,0,0.736366667
b4a4f22a,10,full,easy,FALSE,FALSE,604723,64718,70,0,1.51119E+12,0,0,0,10.07871667
73cfde1f,10,verify,easy,FALSE,FALSE,18994,14988,13,0,1.51191E+12,0,0,0,0.316566667
