,Unnamed: 0,board_name,path,move_number_in_path,count,participants_prob,heuristic,prob_path
107,21,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2]]",6,1,0.006622516556291391,interaction,7.01e-08
108,21,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2]]",6,1,0.006622516556291391,linear,1.05e-07
109,21,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2]]",6,1,0.006622516556291391,non-linear,3.3e-07
110,22,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1]]",5,1,0.004807692307692308,blocking,3.6e-05
111,22,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1]]",5,1,0.004807692307692308,density,5.71e-09
112,22,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1]]",5,1,0.004807692307692308,interaction,1.02e-05
113,22,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1]]",5,1,0.004807692307692308,linear,3.28e-06
114,22,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1]]",5,1,0.004807692307692308,non-linear,1.19e-05
115,23,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2]]",4,2,0.007042253521126761,blocking,3.6e-05
116,23,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2]]",4,2,0.007042253521126761,density,2.38e-07
117,23,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2]]",4,2,0.007042253521126761,interaction,1.02e-05
118,23,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2]]",4,2,0.007042253521126761,linear,3.28e-06
119,23,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2]]",4,2,0.007042253521126761,non-linear,1.19e-05
120,24,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1]]",3,10,0.029411764705882356,blocking,0.000388548
121,24,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1]]",3,10,0.029411764705882356,density,4.92e-06
122,24,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1]]",3,10,0.029411764705882356,interaction,0.000130986
123,24,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1]]",3,10,0.029411764705882356,linear,8.51e-05
124,24,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1]]",3,10,0.029411764705882356,non-linear,0.000242783
125,25,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 9, 1]]",3,1,0.0029411764705882357,blocking,9.75e-06
126,25,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 9, 1]]",3,1,0.0029411764705882357,density,1.97e-06
127,25,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 9, 1]]",3,1,0.0029411764705882357,interaction,2.56e-06
128,25,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 9, 1]]",3,1,0.0029411764705882357,linear,1.05e-06
129,25,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 9, 1]]",3,1,0.0029411764705882357,non-linear,2.68e-06
130,26,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [0, 8, 1]]",5,1,0.004807692307692308,blocking,5.15e-05
131,26,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [0, 8, 1]]",5,1,0.004807692307692308,density,1.1e-09
132,26,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [0, 8, 1]]",5,1,0.004807692307692308,interaction,4.23e-06
133,26,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [0, 8, 1]]",5,1,0.004807692307692308,linear,6.690000000000001e-07
134,26,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [0, 8, 1]]",5,1,0.004807692307692308,non-linear,5.33e-06
135,27,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [0, 9, 1]]",5,1,0.004807692307692308,blocking,1.42e-06
136,27,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [0, 9, 1]]",5,1,0.004807692307692308,density,7.31e-10
137,27,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [0, 9, 1]]",5,1,0.004807692307692308,interaction,1.17e-07
138,27,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [0, 9, 1]]",5,1,0.004807692307692308,linear,1.36e-08
139,27,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [0, 9, 1]]",5,1,0.004807692307692308,non-linear,8.220000000000001e-08
140,28,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [0, 8, 2], [0, 9, 1]]",7,1,0.009708737864077669,blocking,1.4199999999999997e-11
141,28,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [0, 8, 2], [0, 9, 1]]",7,1,0.009708737864077669,density,1.08e-12
142,28,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [0, 8, 2], [0, 9, 1]]",7,1,0.009708737864077669,interaction,1.4e-12
143,28,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [2, 8, 1], [0, 8, 2], [0, 9, 1]]",7,1,0.009708737864077669,linear,1.45e-12
