board_size,condition,board_type,actionsSolution,solutionCorrect,solutionAndValidationCorrect,timeMinutes,PercentCorrect,solutionAndValidationCorrectPercent,board,type,timePerMoveMinutes,timePerMove,size
6,truncated,medium,30,1,1,3.342483333,100,100,6 MC,MC,0.111416111,6.68496666,6
10,full,CV,18,0,0,2.555566667,0,0,10 DC,DC,0.141975926,8.51855556,10
6,truncated,medium,21,1,1,3.698333333,100,100,6 MC,MC,0.176111111,10.56666666,6
6,full,medium,9,1,0,1.777333333,100,0,6 MC,MC,0.197481481,11.84888886,6
6,full,medium,50,1,1,7.066733333,100,100,6 MC,MC,0.141334667,8.48008002,6
10,truncated,CV,53,1,1,4.576366667,100,100,10 DC,DC,0.086346541,5.18079246,10
6,truncated,hard,25,0,0,4.2958,0,0,6 HC,HC,0.171832,10.30992,6
10,full,medium,70,0,0,10.07871667,0,0,10 MC,MC,0.143981667,8.63890002,10
10,truncated,medium,8,1,1,2.052666667,100,100,10 MC,MC,0.256583333,15.39499998,10
10,truncated,hard,87,0,0,8.948733333,0,0,10 HC,HC,0.102859004,6.17154024,10
10,full,hard,38,0,0,9.1248,0,0,10 HC,HC,0.240126316,14.40757896,10
10,truncated,medium,18,0,0,2.938383333,0,0,10 MC,MC,0.163243519,9.79461114,10
6,truncated,hard,4,1,1,0.68805,100,100,6 HC,HC,0.1720125,10.32075,6
10,truncated,medium,31,1,1,4.361283333,100,100,10 MC,MC,0.140686559,8.44119354,10
10,full,medium,39,1,1,6.730933333,100,100,10 MC,MC,0.172588034,10.35528204,10
10,full,medium,85,0,0,6.257633333,0,0,10 MC,MC,0.073619216,4.41715296,10
10,truncated,CV,17,1,1,2.52595,100,100,10 DC,DC,0.148585294,8.91511764,10
10,truncated,medium,4,1,1,1.350466667,100,100,10 MC,MC,0.337616667,20.25700002,10
10,full,medium,86,0,0,9.510566667,0,0,10 MC,MC,0.110587985,6.6352791,10
6,truncated,hard,16,1,1,0.779233333,100,100,6 HC,HC,0.048702083,2.92212498,6
10,full,hard,37,0,0,7.74545,0,0,10 HC,HC,0.209336486,12.56018916,10
10,full,CV,13,0,0,1.6769,0,0,10 DC,DC,0.128992308,7.73953848,10
6,full,hard,48,1,1,6.152116667,100,100,6 HC,HC,0.128169097,7.69014582,6
6,full,medium,4,0,0,1.490216667,0,0,6 MC,MC,0.372554167,22.35325002,6
10,full,hard,33,0,0,3.0033,0,0,10 HC,HC,0.091009091,5.46054546,10
6,truncated,medium,35,1,1,2.533916667,100,100,6 MC,MC,0.072397619,4.34385714,6
10,full,medium,101,0,0,9.94635,0,0,10 MC,MC,0.098478713,5.90872278,10
6,full,hard,68,0,0,9.257933333,0,0,6 HC,HC,0.136146078,8.16876468,6
6,full,hard,14,0,0,1.042783333,0,0,6 HC,HC,0.074484524,4.46907144,6
10,truncated,medium,83,1,1,9.077833333,100,100,10 MC,MC,0.109371486,6.56228916,10
10,full,medium,74,0,0,10.0594,0,0,10 MC,MC,0.135937838,8.15627028,10
