,size,type,condition,board,heuristic_name,moves,userid,board_size,board_type,board_name,solved,action,solutionAndValidationCorrectPercent,solutionAndValidationCorrect,solutionCorrect,actionsSolution
180,10,MC,truncated,10 MC truncated,interaction,198,cfc46a6f,10,easy,10_easy_pruned,wrong,50,0,0,0,50
181,10,MC,truncated,10 MC truncated,interaction,198,d0d5a665,10,easy,10_easy_pruned,validatedCorrect,5,100,1,1,5
182,10,MC,truncated,10 MC truncated,interaction,198,d1e15779,10,easy,10_easy_pruned,validatedCorrect,28,100,1,1,28
183,10,MC,truncated,10 MC truncated,interaction,198,d5aff345,10,easy,10_easy_pruned,wrong,92,0,0,0,92
184,10,MC,truncated,10 MC truncated,interaction,198,dbc6ab5f,10,easy,10_easy_pruned,validatedCorrect,10,100,1,1,10
185,10,MC,truncated,10 MC truncated,interaction,198,e2bbe5e1,10,easy,10_easy_pruned,wrong,28,0,0,0,28
186,10,MC,truncated,10 MC truncated,interaction,198,eec719ce,10,easy,10_easy_pruned,validatedCorrect,22,100,1,1,22
187,10,MC,truncated,10 MC truncated,interaction,198,f3b14830,10,easy,10_easy_pruned,validatedCorrect,20,100,1,1,20
188,10,MC,truncated,10 MC truncated,interaction,198,f7b241ec,10,easy,10_easy_pruned,validatedCorrect,4,100,1,1,4
189,10,MC,truncated,10 MC truncated,interaction,198,f7e242af,10,easy,10_easy_pruned,wrong,3,0,0,0,3
190,10,MC,truncated,10 MC truncated,interaction,198,f8a4386a,10,easy,10_easy_pruned,wrong,3,0,0,0,3
191,10,MC,truncated,10 MC truncated,interaction,198,f8d586d5,10,easy,10_easy_pruned,validatedCorrect,3,100,1,1,3
192,10,MC,truncated,10 MC truncated,interaction,198,f8efd664,10,easy,10_easy_pruned,validatedCorrect,16,100,1,1,16
193,10,MC,truncated,10 MC truncated,interaction,198,fdc4f07b,10,easy,10_easy_pruned,validatedCorrect,28,100,1,1,28
194,10,MC,truncated,10 MC truncated,interaction,198,fec6b568,10,easy,10_easy_pruned,wrong,7,0,0,0,7
195,10,MC,truncated,10 MC truncated,interaction,198,fed230fb,10,easy,10_easy_pruned,wrong,3,0,0,0,3
196,10,HC,full,10 HC full,interaction,3243,10d437bd,10,hard,10_hard_full,wrong,9,0,0,0,9
197,10,HC,full,10 HC full,interaction,3243,13f4ff5a,10,hard,10_hard_full,wrong,26,0,0,0,26
