,fitted_heuristic,log_likelihood,userid
446,blocking,-1.8480758383333333,4eb4f441
447,linear,-3.0773648156153848,5aebf3c2
448,blocking,-1.364601518875,92f69945
449,blocking,-1.8480758383333333,acb11b17
450,blocking,-1.8423427622666668,b9e10f8b
451,blocking,-2.0061735751428573,c7c6f18d
452,interaction,-3.3341889323636367,ceafe698
453,blocking,-0.6689537040000001,cec10cc8
454,interaction,-2.8168202658666663,eec719ce
455,blocking,-1.5516963551818181,f8efd664
456,interaction,-2.9108370984210525,fdc4f07b
457,interaction,-1.9323843036363633,18c75602
458,blocking,-1.5158668693333335,33bbca9a
459,non-linear,-1.9891145082500001,34d51755
460,blocking,-1.9908286788333331,36ebe4da
461,blocking,-2.7374419487058823,38cbc1f6
462,blocking,-2.7122103100270265,48ec02bc
463,blocking,-2.173191113869565,4cb73467
464,blocking,-2.1842514433,4cffe209
465,blocking,-2.997307630612903,4de4f27d
466,blocking,-2.6844992998307684,54d4fd9d
467,blocking,-2.8648412118823536,54f6b927
468,interaction,-1.8250048693333334,72e6961c
469,blocking,-2.5895341805000003,81a10227
470,blocking,-2.0425202650625,85e50169
471,blocking,-2.5730345763333333,89fbc220
472,blocking,-2.3594222935833336,93c70cc1
473,blocking,-1.9472938390000003,96abd246
474,interaction,-2.3403998877142853,9ea4fe94
475,density,-2.4048486183333333,a5e116c5
476,blocking,-2.515336554588236,a7b511d6
477,blocking,-2.667779423857143,b3dbd892
478,blocking,-2.598451560181818,b9bbc96c
479,interaction,-2.647142015,bca124ea
480,interaction,-2.683923353142857,bfabcc7d
481,blocking,-2.329046403431373,c6c100be
482,blocking,-2.3781232858,e0a10efa
483,blocking,-0.96852221675,e5b69f84
484,blocking,-2.868535914,eaaff660
485,blocking,-2.1314075193793105,f8e11654
486,blocking,-2.2050174305555554,19b680e2
487,interaction,-0.8660707586666666,2bd72f3e
488,blocking,-2.304447453795455,33a74451
489,density,-2.99271738625,3ed1161d
490,interaction,-2.0279885839999996,42f75809
491,blocking,-2.0489221860000004,43c516b5
492,blocking,-1.0643408256666667,4fba815c
493,blocking,-2.4876354444,5efbf191
494,blocking,-1.549177132444444,6db76212
495,interaction,-1.2785807519999999,71ebc315
496,blocking,-2.7931262443928575,93ebead7
497,interaction,-1.4990261831428573,94a4f5d4
498,blocking,-1.5226718635714285,95e69707
499,blocking,-2.2058144889999998,9ba1165f
500,interaction,-1.9486649165428571,9da51cdd
501,blocking,-2.675917100294118,9dd11e8e
502,blocking,-1.4697926733333333,a9cbcabb
503,blocking,-2.9860970955000004,abd12ee2
504,blocking,-2.7782921000312504,b0c6f3a8
505,blocking,-1.52645442575,bdd7483e
506,blocking,-2.3802211284615384,cefc077d
507,blocking,-3.169979737653847,d0f687f1
508,interaction,-1.74663272175,d1bbc1e6
509,interaction,-0.5800534433333333,d8aacc7a
510,interaction,-2.671160325636364,daa11f50
511,blocking,-2.0763970342,e9b10766
512,blocking,-2.449544838483333,ecefd3a0
513,interaction,-1.7360358693846152,eefbf52d
514,interaction,-1.9225119631428573,17e120dd
515,density,-1.8666069929999998,18dac9ef
516,blocking,-2.0377362821428573,20bfd7bd
517,interaction,-1.665435590888889,26dbf6e9
518,blocking,-1.8117042739523814,32ebf2e8
519,non-linear,-1.8412405585000002,38ebbf94
520,blocking,-1.966994352625,3df11bae
521,linear,-2.3762376376666667,44a4fa14
522,interaction,-2.022576485,5edbbf73
523,linear,-2.7974971980588235,67eac875
524,blocking,-1.713622430949153,69bad0fe
525,interaction,-2.3606042278571424,6bf51f66
526,interaction,-1.7890900033636363,70da8cfb
527,interaction,-2.08912013555,87b50908
528,blocking,-1.8634988210749999,8fc76287
529,blocking,-1.8206581992903226,91cfd7fb
530,linear,-3.072155305391305,92b722f3
531,interaction,-2.1547633694,94d6ef33
532,density,-2.7146507735,9adbc2df
533,linear,-3.0090799693061223,9dc50a3d
534,density,-1.39248047825,a2f6ba1d
535,blocking,-3.103967229043479,b0d518a1
536,interaction,-1.5505029523333331,b7a4fe27
537,blocking,-1.0864860212222223,bae515f2
538,blocking,-1.7442327879411765,bed50a1d
539,density,-2.9416369767428576,c7a67aab
540,density,-2.9076624717837847,c8a4fa50
541,linear,-2.4057978257999997,cceac8ca
542,non-linear,-2.0596820348888887,dbe71b15
543,density,-2.2800923956,dcc4f10e
544,non-linear,-2.1790999406666662,dfcbf407
545,density,-2.4222732783913044,dfe6bee3
546,interaction,-2.344213512833333,eec7360c
547,linear,-2.3078661434999996,f3dbeb7e
548,linear,-2.888202249774194,f6fbf6b1
549,linear,-2.5746368995555553,fac10d6e
550,interaction,-0.38849990650000005,16d516ad
551,blocking,-1.5073208103888889,1dac01e7
552,linear,-1.851451376,25cfdeaf
553,linear,-2.6043960478076924,2afbbf79
554,blocking,-1.917264217,2ff50f64
555,density,-3.0819997085,30e4feac
556,interaction,-1.7805227663333334,49c72e9b
557,blocking,-1.661802594,4bca7fc9
558,density,-2.334158173333334,5adff9a5
559,blocking,-1.2010229941111112,5dbfe29c
560,blocking,-1.2960487972499999,6bb10472
561,linear,-2.3689166036190477,6dd103e2
562,interaction,-1.6556287027999996,7dd704e0
563,blocking,-1.2370845888,81c11c9f
564,interaction,-2.1007159195000003,92a74a76
565,interaction,-2.2681152997500003,a2ebe618
566,blocking,-1.8644919687857142,aafbd6ab
567,interaction,-1.2124055243636365,b0e1157c
568,blocking,-1.1735868157142857,b9e512db
569,blocking,-2.4873643459999997,c7fffe38
570,density,-2.6105520899999997,d4fac87b
571,non-linear,-1.9555817926666668,daefd33a
572,blocking,-1.12888640225,e1e500d7
573,non-linear,-2.2524034622727274,e9dbbf8a
574,density,-2.7880577458333335,fdaa7ebb
575,blocking,-2.1478413711666664,13f4ff5a
576,blocking,-0.9686805708333334,1df6940e
577,interaction,-2.6976007989999995,1ff4f828
578,blocking,-3.043233039958333,21abc061
579,blocking,-1.3275498778333332,28e67c08
580,blocking,-1.2039703947142857,2fb4f99a
581,blocking,-2.1627643535000005,65f68460
582,blocking,-1.5391932621818183,84dbf4f9
583,blocking,-1.3619112646666667,92e6f512
584,blocking,-2.0547243428,98d105c1
585,blocking,-1.7330993572,9befd8ad
586,blocking,-2.800229264058824,a3eacaa9
587,blocking,-2.6588335539166668,a4f74985
588,blocking,-1.1372980689999999,abc728e1
589,interaction,-2.3038385018750005,aceaccbc
590,blocking,-2.584855474,d2ac158a
591,interaction,-3.0359326821111114,13b7468e
592,blocking,-2.993354352571429,13dbbfb8
593,blocking,-2.4033270155,16f6e58d
594,blocking,-3.6527484520000004,1bd72c42
595,interaction,-2.9094511655625,28d4fefb
596,interaction,-1.2508272477500002,32fad07f
597,blocking,-2.9071349718666677,41bad9a2
598,blocking,-1.5522192786666666,5bc4f225
599,blocking,-2.130785129590909,7dea8d37
600,blocking,-1.8196588340217397,8aa6d830
601,blocking,-2.1091731487567573,8ea50714
602,blocking,-2.3557349924,98c10b8a
603,blocking,-3.011354528333333,acdac85f
604,interaction,-0.20422941333333333,bacbc468
605,interaction,-0.9875908203333333,bcf51783
606,blocking,-2.4840875139148944,cdc514e1
607,density,-2.6390338915,d9e4f7e5
608,blocking,-2.7082083288,e2b10de5
609,blocking,-2.3150511137777783,e6efec72
610,blocking,-1.4724107951111112,edfff93e
611,interaction,-3.5471440644999994,efd4fa4a
612,blocking,-2.3513457548125,f4c4f33c
613,blocking,-1.6824199245294118,fcb764e3
614,non-linear,-1.4113220561428572,25dfef96
615,non-linear,-1.6023647208823528,2aabe76a
616,linear,-2.2764998852941183,34cffc40
617,blocking,-0.5540343007272728,38abe966
618,interaction,-1.9240792252499999,3acff9fa
619,blocking,-0.9776334664,3bac0799
620,linear,-2.3652015165142863,3fcbc0ab
621,interaction,-1.381986021590909,40a74de0
622,density,-3.0195857538000004,4ed755f1
623,non-linear,-2.6265597840000003,59d51c4c
624,interaction,-0.0347259395,5acfeabc
625,non-linear,-2.58863125271875,5de11557
626,non-linear,-2.0117913837619046,6bca8117
627,density,-2.8536847247634425,86f6e2cb
628,interaction,-1.3860308736000002,8df4f6e8
