path,length,count,board
"[[1, 0, 1], [3, 2, 2]]",2,1,10_easy_full
"[[6, 3, 1], [5, 3, 2]]",2,2,10_easy_full
"[[6, 8, 1], [7, 4, 2], [4, 9, 1]]",3,1,10_easy_full
"[[5, 8, 1], [9, 8, 2], [9, 4, 1]]",3,3,10_easy_full
"[[8, 7, 1], [8, 5, 2]]",2,1,10_easy_full
"[[1, 0, 1], [9, 8, 2]]",2,11,10_easy_full
"[[8, 9, 1]]",1,25,10_easy_full
"[[6, 5, 1], [4, 4, 2]]",2,60,10_easy_full
"[[1, 8, 1], [1, 9, 2], [5, 4, 1]]",3,7,10_easy_full
"[[6, 7, 1], [7, 4, 2], [4, 9, 1]]",3,2,10_easy_full
"[[1, 9, 1], [1, 8, 2], [5, 4, 1]]",3,12,10_easy_full
"[[6, 3, 1], [7, 3, 2]]",2,12,10_easy_full
"[[8, 7, 1], [6, 5, 2]]",2,2,10_easy_full
"[[7, 2, 1], [9, 4, 2], [9, 3, 1], [9, 8, 2]]",4,1,10_easy_full
"[[7, 8, 1], [0, 2, 2]]",2,1,10_easy_full
"[[7, 5, 1], [9, 9, 2]]",2,2,10_easy_full
"[[5, 1, 1], [7, 7, 2]]",2,1,10_easy_full
"[[6, 4, 1], [9, 2, 2]]",2,2,10_easy_full
"[[7, 4, 1], [9, 4, 2]]",2,22,10_easy_full
"[[1, 0, 1], [5, 7, 2]]",2,1,10_easy_full
"[[7, 5, 1], [4, 8, 2]]",2,2,10_easy_full
"[[8, 7, 1], [7, 5, 2]]",2,1,10_easy_full
"[[0, 2, 1], [3, 0, 2]]",2,1,10_easy_full
"[[5, 3, 1], [7, 5, 2]]",2,1,10_easy_full
"[[5, 5, 1], [3, 2, 2]]",2,1,10_easy_full
"[[4, 9, 1], [0, 5, 2], [6, 8, 1]]",3,3,10_easy_full
"[[9, 1, 1], [8, 4, 2]]",2,3,10_easy_full
"[[0, 2, 1], [1, 9, 2]]",2,1,10_easy_full
"[[0, 2, 1], [5, 4, 2]]",2,3,10_easy_full
"[[5, 5, 1], [8, 5, 2]]",2,3,10_easy_full
"[[5, 3, 1], [4, 4, 2]]",2,3,10_easy_full
"[[4, 7, 1]]",1,54,10_easy_full
"[[4, 9, 1], [0, 5, 2], [5, 8, 1]]",3,8,10_easy_full
"[[9, 4, 1], [1, 0, 2]]",2,1,10_easy_full
"[[2, 0, 1], [5, 5, 2]]",2,1,10_easy_full
"[[5, 8, 1], [4, 4, 2]]",2,17,10_easy_full
"[[9, 8, 1], [1, 1, 2]]",2,1,10_easy_full
"[[4, 8, 1], [9, 3, 2]]",2,2,10_easy_full
"[[4, 2, 1]]",1,16,10_easy_full
"[[4, 4, 1], [7, 4, 2], [9, 4, 1]]",3,1,10_easy_full
"[[5, 5, 1], [4, 9, 2]]",2,1,10_easy_full
"[[8, 2, 1], [5, 4, 2]]",2,1,10_easy_full
"[[5, 4, 1], [9, 4, 2]]",2,61,10_easy_full
"[[8, 3, 1], [5, 3, 2], [7, 5, 1]]",3,1,10_easy_full
"[[1, 9, 1], [1, 8, 2], [8, 8, 1]]",3,3,10_easy_full
"[[8, 5, 1], [8, 7, 2]]",2,2,10_easy_full
"[[4, 4, 1], [8, 1, 2]]",2,1,10_easy_full
"[[7, 3, 1], [5, 7, 2]]",2,1,10_easy_full
"[[5, 7, 1], [3, 1, 2]]",2,1,10_easy_full
"[[6, 5, 1], [1, 1, 2], [1, 9, 1]]",3,1,10_easy_full
"[[8, 5, 1], [5, 7, 2]]",2,1,10_easy_full
"[[4, 9, 1], [0, 5, 2], [7, 9, 1]]",3,5,10_easy_full
"[[1, 8, 1], [1, 9, 2], [5, 7, 1]]",3,2,10_easy_full
"[[6, 4, 1], [8, 3, 2]]",2,1,10_easy_full
"[[2, 9, 1], [3, 0, 2]]",2,1,10_easy_full
"[[6, 7, 1], [8, 2, 2]]",2,2,10_easy_full
"[[7, 2, 1], [4, 7, 2], [4, 4, 1]]",3,1,10_easy_full
"[[2, 9, 1], [5, 5, 2]]",2,3,10_easy_full
"[[6, 3, 1], [7, 7, 2]]",2,1,10_easy_full
"[[1, 8, 1], [1, 9, 2], [3, 2, 1]]",3,1,10_easy_full
