run,chosen_moves,k,num_nodes_rollouts,board,num_nodes,correct
23,21,None,7008,6_hard_pruned,5001,0
24,21,None,7017,6_hard_pruned,5001,0
25,21,None,7014,6_hard_pruned,5000,0
26,21,None,7023,6_hard_pruned,5003,0
27,21,None,7081,6_hard_pruned,5001,0
28,21,None,7028,6_hard_pruned,5000,0
29,21,None,7040,6_hard_pruned,5002,0
30,21,None,7039,6_hard_pruned,5001,0
31,21,None,7060,6_hard_pruned,5000,0
32,21,None,7052,6_hard_pruned,5001,0
33,21,None,6932,6_hard_pruned,5001,0
34,21,None,6973,6_hard_pruned,5002,0
35,21,None,7070,6_hard_pruned,5000,0
36,21,None,7076,6_hard_pruned,5003,0
37,21,None,6999,6_hard_pruned,5003,0
38,21,None,7127,6_hard_pruned,5002,0
39,21,None,7050,6_hard_pruned,5003,0
40,21,None,7016,6_hard_pruned,5001,0
41,21,None,6937,6_hard_pruned,5000,0
42,21,None,7040,6_hard_pruned,5002,0
43,21,None,7064,6_hard_pruned,5001,0
44,21,None,6951,6_hard_pruned,5001,0
45,21,None,7044,6_hard_pruned,5001,0
46,15,None,6978,6_hard_pruned,5001,0
47,21,None,7014,6_hard_pruned,5000,0
48,21,None,7141,6_hard_pruned,5002,0
49,21,None,7025,6_hard_pruned,5002,0
50,21,None,7054,6_hard_pruned,5002,0
51,21,None,7094,6_hard_pruned,5002,0
52,21,None,6958,6_hard_pruned,5000,0
53,21,None,7017,6_hard_pruned,5001,0
54,21,None,7004,6_hard_pruned,5001,0
55,21,None,6967,6_hard_pruned,5000,0
56,21,None,7169,6_hard_pruned,5000,0
57,21,None,6965,6_hard_pruned,5003,0
58,21,None,6994,6_hard_pruned,5000,0
59,21,None,6935,6_hard_pruned,5000,0
60,21,None,7025,6_hard_pruned,5001,0
61,21,None,6942,6_hard_pruned,5002,0
62,21,None,6979,6_hard_pruned,5000,0
63,21,None,7069,6_hard_pruned,5002,0
64,15,None,7114,6_hard_pruned,5003,0
65,21,None,7002,6_hard_pruned,5002,0
66,21,None,6948,6_hard_pruned,5001,0
67,21,None,7058,6_hard_pruned,5003,0
68,21,None,7164,6_hard_pruned,5000,0
69,21,None,6916,6_hard_pruned,5004,0
70,21,None,7063,6_hard_pruned,5002,0
71,15,None,7021,6_hard_pruned,5001,0
72,21,None,6944,6_hard_pruned,5001,0
73,21,None,7047,6_hard_pruned,5001,0
74,21,None,6991,6_hard_pruned,5000,0
75,21,None,7052,6_hard_pruned,5000,0
76,21,None,7053,6_hard_pruned,5001,0
77,21,None,6998,6_hard_pruned,5001,0
78,21,None,6967,6_hard_pruned,5004,0
79,21,None,7015,6_hard_pruned,5000,0
80,21,None,7110,6_hard_pruned,5000,0
81,21,None,7014,6_hard_pruned,5002,0
82,21,None,6960,6_hard_pruned,5001,0
83,21,None,6997,6_hard_pruned,5001,0
84,21,None,7025,6_hard_pruned,5002,0
85,21,None,7030,6_hard_pruned,5001,0
86,21,None,7047,6_hard_pruned,5001,0
87,21,None,6998,6_hard_pruned,5002,0
88,21,None,6861,6_hard_pruned,5001,0
89,21,None,7079,6_hard_pruned,5002,0
90,21,None,6819,6_hard_pruned,5000,0
91,21,None,7033,6_hard_pruned,5002,0
92,15,None,7025,6_hard_pruned,5000,0
93,21,None,7092,6_hard_pruned,5003,0
94,21,None,7042,6_hard_pruned,5001,0
95,21,None,6925,6_hard_pruned,5002,0
96,21,None,7017,6_hard_pruned,5002,0
97,21,None,6984,6_hard_pruned,5001,0
98,21,None,6973,6_hard_pruned,5002,0
99,21,None,7194,6_hard_pruned,5002,0
0,66,None,12123,10_easy_full,5000,0
1,19,None,12123,10_easy_full,5001,0
2,66,None,12140,10_easy_full,5000,0
3,66,None,12159,10_easy_full,5000,0
4,66,None,12137,10_easy_full,5001,0
5,66,None,12144,10_easy_full,5000,0
6,66,None,12063,10_easy_full,5000,0
7,66,None,12116,10_easy_full,5000,0
8,66,None,12113,10_easy_full,5000,0
9,55,None,12106,10_easy_full,5000,0
10,50,None,12084,10_easy_full,5001,1
11,66,None,12098,10_easy_full,5000,0
12,59,None,12105,10_easy_full,5000,0
13,66,None,12114,10_easy_full,5000,0
14,55,None,12114,10_easy_full,5000,0
15,60,None,12119,10_easy_full,5000,0
16,66,None,12117,10_easy_full,5000,0
17,50,None,12075,10_easy_full,5000,1
18,66,None,12136,10_easy_full,5001,0
19,95,None,12096,10_easy_full,5000,0
20,66,None,12133,10_easy_full,5000,0
21,86,None,12116,10_easy_full,5001,0
22,66,None,12147,10_easy_full,5001,0
23,66,None,12085,10_easy_full,5000,0
24,66,None,12141,10_easy_full,5000,0
25,66,None,12151,10_easy_full,5000,0
26,66,None,12125,10_easy_full,5000,0
27,55,None,12143,10_easy_full,5000,0
28,66,None,12113,10_easy_full,5000,0
29,66,None,12134,10_easy_full,5000,0
30,2,None,12133,10_easy_full,5000,0
31,66,None,12146,10_easy_full,5000,0
32,55,None,12139,10_easy_full,5000,0
33,66,None,12143,10_easy_full,5000,0
34,55,None,12122,10_easy_full,5000,0
35,66,None,12125,10_easy_full,5000,0
36,10,None,12171,10_easy_full,5000,0
37,66,None,12169,10_easy_full,5000,0
38,66,None,12116,10_easy_full,5000,0
39,55,None,12146,10_easy_full,5000,0
40,20,None,12148,10_easy_full,5001,1
41,66,None,12128,10_easy_full,5000,0
42,66,None,12151,10_easy_full,5001,0
43,55,None,12108,10_easy_full,5000,0
44,66,None,12137,10_easy_full,5000,0
45,48,None,12125,10_easy_full,5000,0
46,66,None,12146,10_easy_full,5000,0
47,55,None,12165,10_easy_full,5000,0
48,29,None,12184,10_easy_full,5000,0
49,2,None,12114,10_easy_full,5000,0
50,55,None,12139,10_easy_full,5001,0
51,100,None,12156,10_easy_full,5000,0
52,66,None,12139,10_easy_full,5000,0
53,4,None,12084,10_easy_full,5000,0
54,55,None,12113,10_easy_full,5000,0
55,66,None,12108,10_easy_full,5001,0
56,66,None,12099,10_easy_full,5001,0
57,55,None,12139,10_easy_full,5000,0
58,66,None,12135,10_easy_full,5000,0
59,70,None,12119,10_easy_full,5000,0
60,66,None,12113,10_easy_full,5000,0
61,55,None,12096,10_easy_full,5001,0
62,66,None,12089,10_easy_full,5000,0
63,55,None,12104,10_easy_full,5001,0
64,55,None,12128,10_easy_full,5000,0
65,55,None,12172,10_easy_full,5000,0
66,55,None,12117,10_easy_full,5000,0
67,66,None,12145,10_easy_full,5000,0
68,66,None,12116,10_easy_full,5000,0
69,66,None,12143,10_easy_full,5001,0
70,70,None,12102,10_easy_full,5000,0
71,66,None,12106,10_easy_full,5000,0
72,53,None,12089,10_easy_full,5000,0
73,66,None,12150,10_easy_full,5001,0
74,55,None,12121,10_easy_full,5001,0
75,66,None,12100,10_easy_full,5000,0
76,48,None,12131,10_easy_full,5001,0
77,55,None,12152,10_easy_full,5000,0
78,66,None,12118,10_easy_full,5000,0
79,66,None,12176,10_easy_full,5000,0
80,66,None,12137,10_easy_full,5001,0
81,66,None,12156,10_easy_full,5000,0
82,66,None,12153,10_easy_full,5000,0
83,66,None,12136,10_easy_full,5000,0
84,66,None,12171,10_easy_full,5000,0
85,66,None,12140,10_easy_full,5000,0
86,66,None,12118,10_easy_full,5000,0
87,66,None,12065,10_easy_full,5000,0
88,55,None,12130,10_easy_full,5000,0
89,66,None,12134,10_easy_full,5001,0
90,66,None,12121,10_easy_full,5000,0
91,66,None,12136,10_easy_full,5000,0
92,55,None,12153,10_easy_full,5000,0
93,49,None,12154,10_easy_full,5000,0
94,66,None,12114,10_easy_full,5001,0
95,66,None,12094,10_easy_full,5000,0
96,55,None,12109,10_easy_full,5000,0
97,66,None,12098,10_easy_full,5000,0
98,66,None,12166,10_easy_full,5000,0
99,88,None,12091,10_easy_full,5000,0
0,30,None,7397,10_easy_pruned,5001,0
1,66,None,7407,10_easy_pruned,5001,0
2,66,None,7407,10_easy_pruned,5000,0
3,66,None,7404,10_easy_pruned,5000,0
