action,delta_score
reset,0
reset,-15.59582055
reset,-10001.54006
reset,-10001.18243
reset,-10001.18243
reset,0
reset,-10000
reset,0
reset,-4.199606965
reset,-13.37494942
reset,-4.623586557
reset,1.048611111
reset,-2.25
reset,1.638463719
reset,-2.25
reset,-2.972222222
reset,-1.048611111
reset,0
reset,9.89712632
reset,-0.236759718
reset,-11.1546712
reset,15.01993241
reset,9988.386995
reset,-10004.7886
reset,10001.16582
reset,-10001.98298
reset,9988.386995
reset,-3.888463719
reset,-1.201388889
reset,-3.111111111
reset,-2.25
reset,1.618055556
reset,5.280177146
reset,-3.111111111
reset,2.666848542
reset,5.740311791
reset,5.740311791
reset,-9999.545017
reset,5.740311791
reset,-2.25
reset,-4.623586557
reset,0
reset,0.903985261
reset,-10016.2962
reset,16.4440438
reset,1.048611111
reset,-10000.3125
reset,0
reset,-10000.97222
reset,-10000.97222
reset,-3.888463719
reset,-0.806354875
reset,0.565264561
reset,2.776284466
reset,1.547380952
reset,3.286066699
reset,16.4440438
reset,-2.25
reset,0.183004535
reset,-4.278463719
reset,0
reset,2.416848542
reset,0.923539293
reset,-1.8125
reset,-1.111111111
reset,-1.379722222
reset,0
reset,0
reset,0.721111111
reset,-1.983651263
reset,-33.42366827
reset,-3.044571979
reset,1.470833333
reset,0.111111111
reset,-2.25
reset,2.111111111
reset,0.300871137
reset,-0.298611111
reset,-0.861111111
reset,-1.78
reset,0.444444444
reset,9995.211405
reset,-3.964466617
reset,-1.78
reset,-1.918843068
reset,-1.78
reset,9975.50606
reset,0
reset,-0.684245562
reset,2.909636719
reset,-1.618055556
reset,-0.25
reset,-10000
reset,22.1189484
reset,0
reset,-10001.18243
reset,-4.683196776
reset,0.173611111
reset,0
reset,-10001.77486
reset,-1.923611111
reset,5.906207483
reset,18.08739796
reset,9997.826389
reset,-0.972222222
reset,0.069876223
reset,-1.0625
reset,-2.367664869
reset,1.704635746
reset,0.35414966
reset,-14.06262468
reset,20000
reset,-4.124949416
reset,-2.25
reset,0.75
reset,0.138888889
reset,0.097222222
reset,-1.301718157
reset,-10000.99008
reset,0
reset,0
reset,-1.8125
reset,2.527959653
reset,-1.618055556
reset,-1.628657871
reset,2.527959653
reset,-1.42780894
reset,-0.871944914
reset,2.916848542
reset,1.25
reset,-2.899727891
reset,-0.644702398
reset,0
reset,-6.201165922
reset,1.638888889
reset,-3.111111111
reset,0.991182929
reset,9980.388889
reset,0
reset,0.173611111
reset,9980.388889
reset,4.365667525
reset,1.7889437
reset,1.943909217
reset,0.203354131
reset,-1.179684888
reset,-15.47207245
reset,-10002.29685
reset,20000
reset,0
reset,-10006.01392
reset,-2.25
reset,9980.388889
reset,0
reset,-1.071084175
reset,-0.888888889
reset,-2.25
reset,-10000.55556
reset,-0.647530693
reset,0
reset,0
reset,0
reset,0.621763039
reset,0.573148137
reset,1.859139731
reset,-2.476678005
reset,0.535685941
reset,-0.888888889
reset,-0.030946712
reset,-1.371873096
reset,-3.111111111
reset,0
reset,0.788021542
reset,-4.644631016
reset,1.1511678
reset,-1.918843068
reset,-1.97972977
reset,-0.057376692
