board,max_moves,noise_sig,shutter_size,numberOfHeuristicComp,correct
6_easy_pruned,50,1.0,1.0,132.83,0.83
6_easy_pruned,50,1.0,2.0,167.042,0.832
6_easy_pruned,50,1.5,0.0,73.056,0.708
6_easy_pruned,50,1.5,0.5,116.87,0.794
6_easy_pruned,50,1.5,1.0,136.39,0.778
6_easy_pruned,50,1.5,2.0,168.304,0.786
6_easy_pruned,100,0.5,0.0,70.886,0.834
6_easy_pruned,100,0.5,1.0,126.346,0.878
6_easy_pruned,100,0.5,2.0,164.512,0.876
6_easy_pruned,100,1.0,0.0,71.356,0.764
6_easy_pruned,100,1.0,1.0,130.952,0.826
6_easy_pruned,100,1.0,2.0,167.092,0.826
6_easy_pruned,100,1.5,0.0,74.132,0.66
6_easy_pruned,100,1.5,1.0,134.574,0.78
6_easy_pruned,100,1.5,2.0,169.676,0.776
6_hard_full,30,0.5,0.0,162.42,0.202
6_hard_full,30,0.5,0.5,279.188,0.17
6_hard_full,30,0.5,1.0,331.886,0.13
6_hard_full,30,0.5,2.0,462.848,0.122
6_hard_full,30,1.0,0.0,160.262,0.162
6_hard_full,30,1.0,0.5,274.488,0.126
6_hard_full,30,1.0,1.0,327.812,0.136
6_hard_full,30,1.0,2.0,462.64,0.12
6_hard_full,30,1.5,0.0,159.338,0.132
6_hard_full,30,1.5,0.5,271.88,0.122
6_hard_full,30,1.5,1.0,326.066,0.128
6_hard_full,30,1.5,2.0,460.064,0.118
6_hard_full,50,0.5,0.0,238.858,0.246
6_hard_full,50,0.5,0.5,407.346,0.15
6_hard_full,50,0.5,1.0,485.618,0.152
6_hard_full,50,0.5,2.0,711.15,0.13
6_hard_full,50,1.0,0.0,235.626,0.236
6_hard_full,50,1.0,0.5,406.384,0.17
6_hard_full,50,1.0,1.0,490.466,0.152
6_hard_full,50,1.0,2.0,715.39,0.132
6_hard_full,50,1.5,0.0,233.274,0.202
6_hard_full,50,1.5,0.5,407.604,0.14
6_hard_full,50,1.5,1.0,486.808,0.132
6_hard_full,50,1.5,2.0,707.078,0.134
6_hard_full,100,0.5,0.0,382.194,0.28
6_hard_full,100,0.5,1.0,736.086,0.176
6_hard_full,100,0.5,2.0,1107.776,0.132
6_hard_full,100,1.0,0.0,380.002,0.202
6_hard_full,100,1.0,1.0,737.49,0.172
6_hard_full,100,1.0,2.0,1091.596,0.144
6_hard_full,100,1.5,0.0,376.874,0.216
6_hard_full,100,1.5,1.0,744.608,0.156
6_hard_full,100,1.5,2.0,1094.134,0.134
6_hard_pruned,30,0.5,0.0,148.392,0.17
6_hard_pruned,30,0.5,0.5,270.168,0.194
6_hard_pruned,30,0.5,1.0,322.034,0.172
6_hard_pruned,30,0.5,2.0,447.22,0.17
6_hard_pruned,30,1.0,0.0,147.268,0.144
6_hard_pruned,30,1.0,0.5,264.058,0.146
6_hard_pruned,30,1.0,1.0,319.888,0.154
6_hard_pruned,30,1.0,2.0,444.116,0.164
6_hard_pruned,30,1.5,0.0,146.71,0.172
6_hard_pruned,30,1.5,0.5,267.166,0.152
6_hard_pruned,30,1.5,1.0,319.336,0.156
6_hard_pruned,30,1.5,2.0,446.368,0.104
6_hard_pruned,50,0.5,0.0,216.124,0.192
6_hard_pruned,50,0.5,0.5,404.274,0.2
6_hard_pruned,50,0.5,1.0,480.582,0.184
6_hard_pruned,50,0.5,2.0,678.266,0.166
6_hard_pruned,50,1.0,0.0,216.522,0.194
6_hard_pruned,50,1.0,0.5,392.818,0.178
