size,type,condition,board_x,heuristic_name,moves,board_size,board_type,actionsSolution,solutionCorrect,solutionAndValidationCorrect,timeMinutes,PercentCorrect,solutionAndValidationCorrectPercent,board_y,timePerMoveMinutes,timePerMove,moves_type
10,DC,truncated,10 DC truncated,interaction,255,10,CV,17,1,1,2.0063,100,100,10 DC,0.118017647,7.08105882,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,41,1,1,6.385066667,100,100,10 DC,0.155733333,9.34399998,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,12,1,1,0.851266667,100,100,10 DC,0.070938889,4.25633334,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,14,1,1,1.2724,100,100,10 DC,0.090885714,5.45314284,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,16,0,0,1.203266667,0,0,10 DC,0.075204167,4.51225002,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,9,0,0,0.62685,0,0,10 DC,0.06965,4.179,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,6,1,1,1.219966667,100,100,10 DC,0.203327778,12.19966668,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,2,1,0,2.71255,100,0,10 DC,1.356275,81.3765,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,25,0,0,2.2183,0,0,10 DC,0.088732,5.32392,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,17,1,1,2.41105,100,100,10 DC,0.141826471,8.50958826,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,16,1,1,1.773233333,100,100,10 DC,0.110827083,6.64962498,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,95,0,0,9.372333333,0,0,10 DC,0.09865614,5.9193684,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,6,1,1,0.952433333,100,100,10 DC,0.158738889,9.52433334,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,50,0,0,10.14926667,0,0,10 DC,0.202985333,12.17911998,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,41,0,0,10.06283333,0,0,10 DC,0.245434959,14.72609754,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,10,1,1,1.5461,100,100,10 DC,0.15461,9.2766,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,13,1,0,3.033633333,100,0,10 DC,0.23335641,14.0013846,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,19,0,0,4.987433333,0,0,10 DC,0.262496491,15.74978946,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,23,0,0,1.0024,0,0,10 DC,0.043582609,2.61495654,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,11,1,1,1.296566667,100,100,10 DC,0.117869697,7.07218182,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,4,0,0,1.329083333,0,0,10 DC,0.332270833,19.93624998,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,34,1,1,2.81165,100,100,10 DC,0.082695588,4.96173528,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,55,1,1,4.610616667,100,100,10 DC,0.083829394,5.02976364,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,51,1,0,6.379566667,100,0,10 DC,0.125089542,7.50537252,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,3,1,1,1.177733333,100,100,10 DC,0.392577778,23.55466668,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,118,0,0,9.778133333,0,0,10 DC,0.082865537,4.97193222,participant
