,move_limit,noise,k,board,tradeoff
527,100,1.0,5,6_easy_pruned,1
528,100,1.0,5,6_hard_full,0
529,100,1.0,5,6_hard_pruned,0
530,100,1.0,10,10_easy_full,0
531,100,1.0,10,10_easy_pruned,0
532,100,1.0,10,10_hard_full,0
533,100,1.0,10,10_hard_pruned,0
534,100,1.0,10,10_medium_full,0
535,100,1.0,10,10_medium_pruned,0
536,100,1.0,10,6_easy_full,1
537,100,1.0,10,6_easy_pruned,1
538,100,1.0,10,6_hard_full,0
539,100,1.0,10,6_hard_pruned,0
540,100,1.25,5,10_easy_full,0
541,100,1.25,5,10_easy_pruned,1
542,100,1.25,5,10_hard_full,0
543,100,1.25,5,10_hard_pruned,0
544,100,1.25,5,10_medium_full,0
545,100,1.25,5,10_medium_pruned,0
546,100,1.25,5,6_easy_full,0
547,100,1.25,5,6_easy_pruned,1
548,100,1.25,5,6_hard_full,0
549,100,1.25,5,6_hard_pruned,0
550,100,1.25,10,10_easy_full,1
551,100,1.25,10,10_easy_pruned,1
552,100,1.25,10,10_hard_full,0
553,100,1.25,10,10_hard_pruned,0
554,100,1.25,10,10_medium_full,0
555,100,1.25,10,10_medium_pruned,0
556,100,1.25,10,6_easy_full,1
557,100,1.25,10,6_easy_pruned,0
558,100,1.25,10,6_hard_full,0
559,100,1.25,10,6_hard_pruned,0
560,100,1.5,5,10_easy_full,0
561,100,1.5,5,10_easy_pruned,0
562,100,1.5,5,10_hard_full,0
563,100,1.5,5,10_hard_pruned,1
564,100,1.5,5,10_medium_full,0
565,100,1.5,5,10_medium_pruned,0
566,100,1.5,5,6_easy_full,1
567,100,1.5,5,6_easy_pruned,1
568,100,1.5,5,6_hard_full,0
569,100,1.5,5,6_hard_pruned,0
570,100,1.5,10,10_easy_full,0
571,100,1.5,10,10_easy_pruned,0
572,100,1.5,10,10_hard_full,0
573,100,1.5,10,10_hard_pruned,0
574,100,1.5,10,10_medium_full,0
575,100,1.5,10,10_medium_pruned,1
576,100,1.5,10,6_easy_full,1
577,100,1.5,10,6_easy_pruned,1
578,100,1.5,10,6_hard_full,0
579,100,1.5,10,6_hard_pruned,0
580,100,1.75,5,10_easy_full,0
581,100,1.75,5,10_easy_pruned,0
582,100,1.75,5,10_hard_full,0
583,100,1.75,5,10_hard_pruned,0
584,100,1.75,5,10_medium_full,0
585,100,1.75,5,10_medium_pruned,0
586,100,1.75,5,6_easy_full,0
587,100,1.75,5,6_easy_pruned,1
588,100,1.75,5,6_hard_full,0
589,100,1.75,5,6_hard_pruned,0
590,100,1.75,10,10_easy_full,0
591,100,1.75,10,10_easy_pruned,1
592,100,1.75,10,10_hard_full,0
593,100,1.75,10,10_hard_pruned,1
594,100,1.75,10,10_medium_full,0
595,100,1.75,10,10_medium_pruned,0
596,100,1.75,10,6_easy_full,1
597,100,1.75,10,6_easy_pruned,1
598,100,1.75,10,6_hard_full,0
599,100,1.75,10,6_hard_pruned,0
600,100,2.0,5,10_easy_full,0
601,100,2.0,5,10_easy_pruned,0
602,100,2.0,5,10_hard_full,0
603,100,2.0,5,10_hard_pruned,0
604,100,2.0,5,10_medium_full,0
605,100,2.0,5,10_medium_pruned,0
606,100,2.0,5,6_easy_full,1
607,100,2.0,5,6_easy_pruned,1
608,100,2.0,5,6_hard_full,0
609,100,2.0,5,6_hard_pruned,0
610,100,2.0,10,10_easy_full,0
611,100,2.0,10,10_easy_pruned,1
612,100,2.0,10,10_hard_full,1
613,100,2.0,10,10_hard_pruned,0
614,100,2.0,10,10_medium_full,0
615,100,2.0,10,10_medium_pruned,0
616,100,2.0,10,6_easy_full,1
617,100,2.0,10,6_easy_pruned,0
618,100,2.0,10,6_hard_full,0
619,100,2.0,10,6_hard_pruned,0
620,100,2.25,5,10_easy_full,0
621,100,2.25,5,10_easy_pruned,1
622,100,2.25,5,10_hard_full,0
623,100,2.25,5,10_hard_pruned,0
624,100,2.25,5,10_medium_full,1
625,100,2.25,5,10_medium_pruned,0
626,100,2.25,5,6_easy_full,0
627,100,2.25,5,6_easy_pruned,1
628,100,2.25,5,6_hard_full,0
629,100,2.25,5,6_hard_pruned,1
630,100,2.25,10,10_easy_full,1
631,100,2.25,10,10_easy_pruned,0
632,100,2.25,10,10_hard_full,0
633,100,2.25,10,10_hard_pruned,0
634,100,2.25,10,10_medium_full,0
635,100,2.25,10,10_medium_pruned,0
636,100,2.25,10,6_easy_full,1
637,100,2.25,10,6_easy_pruned,1
638,100,2.25,10,6_hard_full,0
639,100,2.25,10,6_hard_pruned,0
640,100,2.5,5,10_easy_full,0
641,100,2.5,5,10_easy_pruned,0
642,100,2.5,5,10_hard_full,0
643,100,2.5,5,10_hard_pruned,0
644,100,2.5,5,10_medium_full,0
645,100,2.5,5,10_medium_pruned,0
646,100,2.5,5,6_easy_full,0
