,AssignmentId,Unnamed: 0,WorkerId,actionsSolution,actionsValidation,actions_solution,actions_validation,board_size,board_type,bonus,condition,solved_correct,time,timeSolution,timeValidation,time_solution,time_validation,timestamp,userid,validated_correct
51,386CSBG1O0TPMRTA4R866XS0L3CQ65,51,A2OFN0A5CPLH57,,,74.0,4.0,10,medium,0,full,True,1554480000000.0,,,404950.0,45146.0,,28a580c4,False
52,3RWE2M8QWIH95JU3MA08T2N43P40NS,52,AECIP6RO3TXXW,,,45.0,4.0,10,easy,0,full,True,1554480000000.0,,,488504.0,34832.0,,d3c580d5,True
53,3FK0YFF9P0N26P4SRYAOOC77JOIVVV,53,A20OTKDR12JSD7,,,42.0,0.0,6,easy,0,full,False,1554480000000.0,,,600542.0,86416.0,,22f580c9,False
54,3NG53N1RLWQRQTBJXTQFQ6YHM2H8PJ,54,A23Q978GYHTPD3,,,2.0,3.0,10,medium,0,pruned,True,1554480000000.0,,,64552.0,19381.0,,f4f58309,True
55,3Z3ZLGNNSJ1QP86SLPA8ZUGGBCB3QD,55,A3ACUGH5N9VQO2,,,20.0,4.0,6,easy,0,full,True,1554480000000.0,,,257824.0,76689.0,,e4c58238,True
56,3A0EX8ZRN9V4151RRS68UZHUYD4YB1,56,A1D2K63U3LCO3F,,,54.0,0.0,10,hard,0,pruned,False,1554480000000.0,,,40472.0,44998.0,,27e58321,False
57,340UGXU9DZ82TAFSM80JSQ5O5H9VU6,57,AVJUIF9QHQRY8,,,109.0,0.0,6,easy,0,pruned,False,1554480000000.0,,,513613.0,83585.0,,3cf580c7,False
58,3FTOP5WARGVDMT3I7C8G0V6NU5Z0JO,58,A3G9BVVZ14580D,,,6.0,3.0,10,medium,0,pruned,True,1554480000000.0,,,87367.0,77652.0,,3db583aa,False
59,3TPZPLC3M1J5PW5DLCVJZPQ66GP3PM,59,AIK9W79I4TPJW,,,59.0,0.0,6,easy,0,full,False,1554480000000.0,,,613383.0,166315.0,,33c5818d,False
60,3NG53N1RLWQRQTBJXTQFQ6YHM2HP80,60,A95RHRMLHT89M,,,12.0,6.0,10,hard,0,full,True,1554480000000.0,,,40536.0,48876.0,,19d58478,False
61,3GM6G9ZBKO443A6U8B9I0Y09VARMTQ,61,AAXX5LDVJ32F8,,,60.0,4.0,10,easy,0,full,True,1554480000000.0,,,560462.0,36367.0,,ebb5828a,True
62,3HMIGG0U4MDLZ73KOGMY3XRTQ7K8YD,62,A3HNEYFOIJWPH1,,,3.0,0.0,6,easy,0,pruned,False,1554480000000.0,,,38140.0,45604.0,,fbb58502,False
63,3WRFBPLXRBV5MBT05XIRV0LB61O3NQ,63,A1X8YRYS8MBDWX,,,10.0,0.0,6,easy,0,pruned,False,1554480000000.0,,,349374.0,51357.0,,93f5811e,False
64,3II4UPYCOKEO708PEEGKC32S2PZQDX,64,AVU225KQH0N7O,,,90.0,0.0,10,medium,0,full,False,1554480000000.0,,,356191.0,69419.0,,c5d58198,False
65,3TEM0PF1Q640J73QXGM5XXBAPL2D0N,65,A36AB7LJRSNHQM,,,2.0,0.0,10,hard,0,full,False,1554480000000.0,,,91299.0,46436.0,,aeb5862d,False
66,3QHK8ZVMINPK16US8DHI0RFYPY1LBX,66,A2NXHJ905WLGAA,,,4.0,0.0,6,easy,0,pruned,False,1554480000000.0,,,32472.0,17856.0,,1ba58665,False
67,39O5D9O87UZMV7W9G79DFPRZ7XA3C8,67,A1ZHVMG4DXPLHL,,,17.0,26.0,10,hard,0,pruned,True,1554480000000.0,,,270124.0,130646.0,,56b584cf,True
68,3P529IW9KZSAEN68DF3EJH6J4WTFL9,68,A3QA0Y16Q4273V,,,6.0,3.0,10,easy,0,pruned,True,1554480000000.0,,,173180.0,26953.0,,f8d586d5,True
69,33L7PJKHCH5PIL4QEAZZVGZEB528TO,69,AFCMHQWCV6N02,,,8.0,3.0,10,easy,0,pruned,True,1554480000000.0,,,258566.0,79843.0,,23a58279,True
70,33L7PJKHCH5PIL4QEAZZVGZEB51T88,70,ALYR5CI2SM2JC,,,14.0,0.0,10,hard,0,full,False,1554480000000.0,,,130486.0,45295.0,,72d587f7,False
71,39JEC7537V867GYS0HFJYKJIYH3CVE,71,A3HKMZ9ML9EPUY,,,10.0,4.0,10,hard,0,pruned,True,1554480000000.0,,,93297.0,38996.0,,99b587e6,True
72,3ZV9H2YQQEEV952EXY9ERJY2ZDRW39,72,A2CAVHHY7X7YBP,,,54.0,34.0,10,medium,0,pruned,True,1554480000000.0,,,519798.0,129906.0,,4fa58511,True
73,3BV8HQ2ZZX8XZBMTFVBKGXDVHLR6AF,73,A1QA5EWFMNKGTA,,,17.0,4.0,6,easy,0,full,True,1554480000000.0,,,189319.0,38443.0,,d0a58874,True
74,3NVC2EB65R6ZYAXECZR2CGJIALRY3A,74,A35565UGJN9V6Q,,,16.0,0.0,10,medium,0,pruned,True,1554480000000.0,,,18604.0,2023.0,,87c5895b,False
75,33OOO72IVISRUOU3VMF4X2VX1WMTCE,75,A17PAE30BGBO1T,,,96.0,0.0,6,easy,0,full,False,1554480000000.0,,,593506.0,116097.0,,91f586cc,False
76,3KAKFY4PGV9D8AI98H5ZQSPUK2U3IA,76,A2D0QT8HAGV27Z,,,11.0,3.0,6,easy,0,pruned,True,1554480000000.0,,,70218.0,30545.0,,47a58969,True
77,39U1BHVTDMY3HOYK2T434ZR3VJJ3T0,77,ALARJPFSEZGGI,,,14.0,3.0,6,easy,0,pruned,True,1554480000000.0,,,87832.0,30424.0,,bad589c5,True
78,3Y9N9SS8LZIW0Z2NG34OZV9HSXMD3I,78,A23EEEX9LR9X6Z,,,27.0,0.0,10,medium,0,full,False,1554480000000.0,,,178741.0,82643.0,,6dd588e6,False
79,3GNA64GUZFBT3NTWZ8Y1ERE0P81Q5P,79,A3O0QZQ4V2IXT7,,,67.0,3.0,10,medium,0,pruned,True,1554480000000.0,,,420803.0,25509.0,,77d58870,True
80,3ZY8KE4ISKAA1H8B5ZGEIP8Z2W3VQ1,80,A1PMZUBGXFANCI,,,24.0,0.0,10,easy,0,full,False,1554480000000.0,,,161295.0,14469.0,,efa589db,False
81,3EKVH9QMEZB7FH64C3QJGL4PMJT2D3,81,A2VXEPC4KG1CWU,,,55.0,4.0,6,easy,0,full,True,1554480000000.0,,,410545.0,40266.0,,24e58a14,True
82,3NQL1CS15SFJAJZXW9X8VBB115KVY4,82,AG6WV3WODQ7IN,,,108.0,4.0,10,hard,0,pruned,True,1554480000000.0,,,537600.0,57111.0,,4cf589a5,True
83,3MX2NQ3YCA1DCKU8LMTT8ZATMBP5X2,83,A2UIGDOLX5RV95,,,4.0,0.0,10,medium,0,full,False,1554480000000.0,,,31347.0,25427.0,,adf58cf8,False
84,30JNVC0ORAR5JGDR0AZA3OHQUHWQHA,84,AK1Q45RF8A87Z,,,81.0,0.0,10,medium,0,pruned,False,1554490000000.0,,,582069.0,67466.0,,7ce58b1e,False
85,34YB12FSQZV0Y5KOOBAB1FLK5HXMGX,85,A3F7FH2NDBBN1M,,,9.0,4.0,10,medium,0,pruned,True,1554490000000.0,,,54072.0,42506.0,,e4f58f31,True
86,3GA6AFUKOPVDCF7P2ZNEQGOFKPF3HH,86,A194UMZESQE6BS,,,10.0,4.0,6,easy,0,full,True,1554490000000.0,,,121039.0,43933.0,,75d58ff2,True
87,37C0GNLMHGAVXIP5Z52M6YL12OO6DH,87,ASHG4UDKXYBPK,,,2.0,0.0,10,medium,0,full,False,1554490000000.0,,,64965.0,29627.0,,84a58fb6,False
88,3S06PH7KSSB0QWO8TZQ5B2UKUD8D1Q,88,A2NEFRREWF33YP,,,8.0,4.0,10,hard,0,pruned,True,1554490000000.0,,,107560.0,81708.0,,86b58ffd,True
89,3VJ40NV2QJUS3DR6LROVS2PEQAHTON,89,A1LSGYXKP6O1B8,,,71.0,0.0,10,hard,0,pruned,False,1554490000000.0,,,578521.0,83655.0,,4ac58df4,False
90,3HFNH7HEMILRJKIGG4HSIO5PFHFQG7,90,A3037FNBVPPAY9,,,9.0,0.0,10,medium,0,full,True,1554490000000.0,,,104857.0,10264.0,,1fa5910b,False
91,34J10VATJG55FBOB6SHV30I5UU7QIZ,91,A002160837SWJFPIAI7L7,,,38.0,0.0,10,medium,0,full,False,1554490000000.0,,,435361.0,22552.0,,92f58f05,False
92,358UUM7WR0A82SMF0G2YH121C1GR7Q,92,A2ENGC389KC9U2,,,21.0,4.0,10,hard,0,pruned,True,1554490000000.0,,,92192.0,25117.0,,80e591d4,True
93,37ZHEEHM6XTGJQ1DPQ12Z3ZL6NY730,93,A239EUWY6SNDEZ,,,11.0,0.0,6,easy,0,full,False,1554490000000.0,,,74141.0,12668.0,,55a59255,False
94,3OS46CRSLG6HRZPRQQ2GCKR82V36VR,94,A1DDBGQDMZZ1VW,,,18.0,0.0,10,easy,0,pruned,False,1554490000000.0,,,178110.0,92394.0,,2ac591b0,False
95,39RP059MEI047OCD8PIX04UNP49BM9,95,A27CB6JIC5MZFR,,,18.0,0.0,10,hard,0,pruned,False,1554490000000.0,,,179671.0,35731.0,,37d59204,False
96,32RIADZISTBNKK49D74W4ZNN7174S5,96,A327B4TX5I7VUS,,,33.0,0.0,10,hard,0,full,False,1554490000000.0,,,357460.0,124331.0,,b2f58fbd,False
97,3N1FSUEFL67HIVLRGH97901N6XID43,97,A2GTJ0BD4CG1A2,,,74.0,4.0,10,medium,0,full,True,1554490000000.0,,,434579.0,37179.0,,dae59162,True
98,3RWE2M8QWIH95JU3MA08T2N43PD0N1,98,AO7H4R6FJ7LC1,,,2.0,3.0,10,medium,0,pruned,True,1554490000000.0,,,128367.0,44576.0,,e1f593de,True
99,3II4UPYCOKEO708PEEGKC32S2P9DQU,99,A3DKYNYN50FYFY,,,10.0,4.0,6,easy,0,full,True,1554490000000.0,,,245260.0,28346.0,,46d5945f,True
100,3HUTX6F6VVUYJEXT2C4ZRFGOQYA2OC,100,A23QEQYCRJS9NI,,,11.0,0.0,10,easy,0,pruned,False,1554490000000.0,,,133465.0,725994.0,,9fa593df,False
101,3GGAI1SQEW5NHT4JMPESBO057PBCMJ,101,A1GPZ5REMDQZ0L,,,15.0,4.0,6,easy,0,full,True,1554490000000.0,,,99131.0,19854.0,,a8b597cd,True
102,3DI28L7YXBL5I228PU1PHKC5UQV1EV,102,A3AO6M3YRN6PVV,,,2.0,0.0,10,hard,0,pruned,False,1554490000000.0,,,78344.0,66725.0,,86f596b5,False
103,3SB5N7Y3O4B3VRDHZ6ND3IE72DPG07,103,A3L2FPKRD46FRW,,,130.0,0.0,10,hard,0,full,False,1554490000000.0,,,528827.0,16805.0,,dbc59105,False
104,3DEL4X4EL7SBE84SWOYQJW8MHHDXYW,104,A1YBJN6WT3X8B5,,,49.0,0.0,6,easy,0,full,False,1554490000000.0,,,352625.0,56859.0,,a9d5979e,False
105,3UN61F00HXWTFO8WCNN1JHO5LVO5RS,105,A2HHK2B1GUH9GX,,,100.0,0.0,10,easy,0,full,False,1554490000000.0,,,354540.0,13537.0,,3dc59c17,False
106,3018Q3ZVOJXQLUKD7JEIRS4RD85ARH,106,A2BBDH8DZD77AU,,,4.0,3.0,6,easy,0,pruned,True,1554490000000.0,,,40698.0,23776.0,,e2b59d5d,False
107,3STRJBFXOXY9DM6RNZW2LL8566JTKH,107,A2TDEX0T7XEPLU,,,4.0,5.0,10,hard,0,pruned,True,1554490000000.0,,,101031.0,59206.0,,daa59c50,False
108,36V4Q8R5ZL7RBUE2R7FNVTPMB49QMZ,108,A1LA6CIGBNDOH9,,,32.0,3.0,10,medium,0,pruned,True,1554490000000.0,,,196544.0,44829.0,,34b59cc7,True
109,3U0SRXB7CECX5DE2GNJNDYORCF8RNM,109,AMDKQKEILEP2N,,,14.0,4.0,6,easy,0,full,True,1554490000000.0,,,309535.0,61301.0,,abf59f0c,False
