userid,key,value,boardSize,condition,boardType,time
9cf22841,clickPos,1_5_1,6,pruned,easy,1558194556821
9cf22841,reset,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194576662
9cf22841,click,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,1,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194584796
9cf22841,clickPos,4_1_1,6,pruned,easy,1558194584797
9cf22841,click,"[[0,1,2,2,2,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,1,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194594420
9cf22841,clickPos,0_4_2,6,pruned,easy,1558194594421
9cf22841,click,"[[0,1,2,2,2,1],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,1,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194600148
9cf22841,clickPos,0_5_1,6,pruned,easy,1558194600149
9cf22841,reset,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194605113
9cf22841,click,"[[0,1,2,2,0,0],[0,2,1,1,1,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194626930
9cf22841,clickPos,1_4_1,6,pruned,easy,1558194626930
9cf22841,undoPos,1_4_2,6,pruned,easy,1558194641036
9cf22841,undo,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194641036
9cf22841,click,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,1,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194651682
9cf22841,clickPos,4_4_1,6,pruned,easy,1558194651683
9cf22841,click,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,2,1,1,2,1],[1,0,2,2,1,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194658730
9cf22841,clickPos,3_1_2,6,pruned,easy,1558194658731
9cf22841,undoPos,4_4_1,6,pruned,easy,1558194664652
9cf22841,undo,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,1,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194664653
9cf22841,click,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,2,1,1,2,1],[1,0,2,2,1,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194665691
9cf22841,clickPos,3_1_2,6,pruned,easy,1558194665692
9cf22841,undoPos,4_4_1,6,pruned,easy,1558194667317
9cf22841,undo,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,1,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194667317
9cf22841,undoPos,4_4_2,6,pruned,easy,1558194667597
9cf22841,undo,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194667597
9cf22841,click,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,1,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194668540
9cf22841,clickPos,3_1_1,6,pruned,easy,1558194668540
9cf22841,click,"[[0,1,2,2,2,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,1,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194674507
9cf22841,clickPos,0_4_2,6,pruned,easy,1558194674508
9cf22841,click,"[[0,1,2,2,2,1],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,1,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194676187
9cf22841,clickPos,0_5_1,6,pruned,easy,1558194676188
9cf22841,click,"[[0,1,2,2,2,1],[0,2,1,1,2,0],[1,2,2,2,1,0],[2,1,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194683643
9cf22841,clickPos,1_4_2,6,pruned,easy,1558194683644
9cf22841,click,"[[0,1,2,2,2,1],[0,2,1,1,2,1],[1,2,2,2,1,0],[2,1,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194684235
9cf22841,clickPos,1_5_1,6,pruned,easy,1558194684236
9cf22841,click,"[[0,1,2,2,2,1],[0,2,1,1,2,1],[1,2,2,2,1,0],[2,1,1,1,2,1],[1,2,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194686796
9cf22841,clickPos,4_1_2,6,pruned,easy,1558194686796
9cf22841,reset,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194689957
9cf22841,click,"[[0,1,2,2,0,0],[0,2,1,1,1,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194695003
9cf22841,clickPos,1_4_1,6,pruned,easy,1558194695004
9cf22841,reset,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194697661
9cf22841,click,"[[0,1,2,2,0,0],[0,2,1,1,0,1],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194698835
9cf22841,clickPos,1_5_1,6,pruned,easy,1558194698836
9cf22841,click,"[[0,1,2,2,0,0],[0,2,1,1,2,1],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194700859
9cf22841,clickPos,1_4_2,6,pruned,easy,1558194700860
9cf22841,click,"[[0,1,2,2,0,0],[0,2,1,1,2,1],[1,2,2,2,1,1],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194704492
9cf22841,clickPos,2_5_1,6,pruned,easy,1558194704493
